p,v,cp,rcp,a,ba,sa,hl,pcp,t
18000.0,2000,-700.0,0.0,SD,12000.0,18100.0,False,0.0,14:18:20
18000.0,2000,-700.0,0.0,SD,12000.0,16100.0,False,0.0,14:18:08
18000.0,1000,-700.0,0.0,SD,12000.0,14100.0,False,0.0,14:17:58
18000.0,1000,-700.0,0.0,SD,12000.0,13100.0,False,0.0,14:13:45
18000.0,1000,-700.0,0.0,SD,12000.0,12100.0,False,0.0,14:12:15
18000.0,400,-700.0,0.0,SD,12000.0,11100.0,False,0.0,13:59:05
18000.0,900,-700.0,0.0,SD,12000.0,10700.0,False,0.0,13:56:15
18000.0,900,-700.0,0.0,BU,12000.0,9800.0,False,0.0,13:54:20
18000.0,200,-700.0,0.0,BU,11100.0,9800.0,False,-200.0,13:47:54
18200.0,100,-500.0,0.0,BU,10900.0,9800.0,False,0.0,13:45:36
18200.0,1000,-500.0,0.0,BU,10800.0,9800.0,False,200.0,13:44:14
18000.0,1000,-700.0,0.0,BU,9800.0,9800.0,False,0.0,13:42:27
18000.0,1200,-700.0,0.0,SD,8800.0,9800.0,False,0.0,13:38:30
18000.0,900,-700.0,0.0,BU,8800.0,8600.0,False,0.0,13:38:19
18000.0,600,-700.0,0.0,BU,7900.0,8600.0,False,0.0,13:37:24
18000.0,400,-700.0,0.0,BU,7300.0,8600.0,False,0.0,13:28:48
18000.0,100,-700.0,0.0,BU,6900.0,8600.0,False,0.0,13:27:33
18000.0,4200,-700.0,0.0,BU,6800.0,8600.0,False,0.0,13:24:21
18000.0,1000,-700.0,0.0,BU,2600.0,8600.0,False,0.0,13:00:02
18000.0,100,-700.0,0.0,BU,1600.0,8600.0,False,0.0,13:00:01
18000.0,3200,-700.0,0.0,SD,1500.0,8600.0,False,-200.0,11:29:01
18200.0,200,-500.0,0.0,BU,1500.0,5400.0,False,0.0,11:12:55
18200.0,100,-500.0,0.0,SD,1300.0,5400.0,False,0.0,11:12:36
18200.0,500,-500.0,0.0,SD,1300.0,5300.0,False,0.0,11:11:44
18200.0,300,-500.0,0.0,BU,1300.0,4800.0,False,-100.0,11:00:55
18300.0,500,-400.0,0.0,SD,1000.0,4800.0,False,100.0,11:00:05
18200.0,100,-500.0,0.0,SD,1000.0,4300.0,False,100.0,10:44:33
18100.0,100,-600.0,0.0,SD,1000.0,4200.0,False,100.0,10:31:19
18000.0,1000,-700.0,0.0,SD,1000.0,4100.0,False,0.0,10:27:23
18000.0,1300,-700.0,0.0,SD,1000.0,3100.0,False,0.0,10:22:10
18000.0,800,-700.0,0.0,BU,1000.0,1800.0,False,0.0,10:17:42
18000.0,100,-700.0,0.0,BU,200.0,1800.0,False,0.0,10:17:24
18000.0,900,-700.0,0.0,SD,100.0,1800.0,False,-300.0,10:17:15
18300.0,900,-400.0,0.0,SD,100.0,900.0,False,-400.0,10:16:37
18700.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,10:12:36
