p,v,cp,rcp,a,ba,sa,hl,pcp,t
4000.0,100,-100.0,0.0,BU,388100.0,328300.0,False,0.0,14:22:03
4000.0,24300,-100.0,0.0,BU,388000.0,328300.0,False,0.0,14:21:44
4000.0,4900,-100.0,0.0,BU,363700.0,328300.0,False,0.0,14:18:33
4000.0,600,-100.0,0.0,SD,358800.0,328300.0,False,0.0,14:17:13
4000.0,100,-100.0,0.0,SD,358800.0,327700.0,False,0.0,14:17:11
4000.0,100,-100.0,0.0,SD,358800.0,327600.0,False,0.0,14:16:25
4000.0,3100,-100.0,0.0,SD,358800.0,327500.0,False,0.0,14:15:56
4000.0,100,-100.0,0.0,SD,358800.0,324400.0,False,0.0,14:15:40
4000.0,1000,-100.0,0.0,SD,358800.0,324300.0,False,0.0,14:14:44
4000.0,2000,-100.0,0.0,SD,358800.0,323300.0,False,0.0,14:14:34
4000.0,2000,-100.0,0.0,SD,358800.0,321300.0,False,0.0,14:13:55
4000.0,4100,-100.0,0.0,SD,358800.0,319300.0,False,-100.0,14:12:49
4100.0,5000,0.0,0.0,BU,358800.0,315200.0,False,100.0,14:12:06
4000.0,100,-100.0,0.0,SD,353800.0,315200.0,False,0.0,14:11:33
4000.0,5000,-100.0,0.0,SD,353800.0,315100.0,False,0.0,14:11:31
4000.0,6300,-100.0,0.0,SD,353800.0,310100.0,False,0.0,14:11:16
4000.0,500,-100.0,0.0,BU,353800.0,303800.0,False,0.0,14:11:14
4000.0,10000,-100.0,0.0,BU,353300.0,303800.0,False,0.0,14:10:53
4000.0,100,-100.0,0.0,BU,269300.0,303800.0,False,0.0,14:06:03
4000.0,1000,-100.0,0.0,BU,269200.0,303800.0,False,0.0,14:04:28
4000.0,400,-100.0,0.0,BU,268200.0,303800.0,False,0.0,14:04:03
4000.0,8000,-100.0,0.0,BU,267300.0,303800.0,False,100.0,13:56:01
3900.0,800,-200.0,0.0,SD,259300.0,303800.0,False,-100.0,13:55:24
4000.0,300,-100.0,0.0,BU,259300.0,303000.0,False,0.0,13:50:58
4000.0,300,-100.0,0.0,BU,259000.0,303000.0,False,0.0,13:50:55
4000.0,10300,-100.0,0.0,BU,258700.0,303000.0,False,0.0,13:46:46
4000.0,200,-100.0,0.0,BU,248400.0,303000.0,False,100.0,13:41:01
3900.0,500,-200.0,0.0,SD,248200.0,303000.0,False,0.0,13:39:45
3900.0,800,-200.0,0.0,SD,248200.0,302500.0,False,-100.0,13:37:34
4000.0,300,-100.0,0.0,BU,248200.0,301700.0,False,100.0,13:36:05
3900.0,1500,-200.0,0.0,SD,247900.0,301700.0,False,-100.0,13:35:30
4000.0,5000,-100.0,0.0,BU,247900.0,300200.0,False,0.0,13:35:18
4000.0,1000,-100.0,0.0,BU,242900.0,300200.0,False,0.0,13:35:02
4000.0,100,-100.0,0.0,BU,241900.0,300200.0,False,100.0,13:30:07
3900.0,13300,-200.0,0.0,SD,241800.0,300200.0,False,-100.0,13:29:40
4000.0,300,-100.0,0.0,BU,241800.0,286900.0,False,0.0,13:27:27
4000.0,1100,-100.0,0.0,BU,241500.0,286900.0,False,100.0,13:26:47
3900.0,700,-200.0,0.0,SD,240400.0,286900.0,False,0.0,13:25:51
3900.0,600,-200.0,0.0,SD,240400.0,286200.0,False,0.0,13:25:20
3900.0,40000,-200.0,0.0,SD,240400.0,285600.0,False,0.0,13:24:55
3900.0,100,-200.0,0.0,SD,240400.0,245600.0,False,0.0,13:22:42
3900.0,2400,-200.0,0.0,SD,240400.0,245500.0,False,-100.0,13:22:18
4000.0,5000,-100.0,0.0,BU,240400.0,243100.0,False,0.0,13:20:32
4000.0,3300,-100.0,0.0,BU,235400.0,243100.0,False,0.0,13:16:06
4000.0,400,-100.0,0.0,BU,232100.0,243100.0,False,0.0,13:15:34
4000.0,1100,-100.0,0.0,BU,231700.0,243100.0,False,100.0,13:13:53
3900.0,1300,-200.0,0.0,SD,230600.0,243100.0,False,-100.0,13:09:25
4000.0,300,-100.0,0.0,BU,230600.0,241800.0,False,0.0,13:08:35
4000.0,100,-100.0,0.0,BU,230300.0,241800.0,False,0.0,13:05:32
4000.0,100,-100.0,0.0,BU,230200.0,241800.0,False,0.0,13:01:03
4000.0,800,-100.0,0.0,BU,230100.0,241800.0,False,0.0,13:00:08
4000.0,500,-100.0,0.0,BU,229300.0,241800.0,False,0.0,13:00:05
4000.0,100,-100.0,0.0,BU,228800.0,241800.0,False,100.0,13:00:04
3900.0,1600,-200.0,0.0,SD,228700.0,241800.0,False,-100.0,13:00:03
4000.0,200,-100.0,0.0,BU,228700.0,240200.0,False,0.0,11:24:39
4000.0,800,-100.0,0.0,BU,228500.0,240200.0,False,0.0,11:23:47
4000.0,100,-100.0,0.0,BU,227700.0,240200.0,False,0.0,11:22:57
4000.0,1000,-100.0,0.0,BU,227600.0,240200.0,False,0.0,11:21:16
4000.0,200,-100.0,0.0,BU,226600.0,240200.0,False,100.0,11:20:23
3900.0,1600,-200.0,0.0,SD,226400.0,240200.0,False,-100.0,11:19:24
4000.0,5000,-100.0,0.0,BU,226400.0,238600.0,False,0.0,11:15:22
4000.0,500,-100.0,0.0,BU,221400.0,238600.0,False,0.0,11:12:25
4000.0,200,-100.0,0.0,BU,220900.0,238600.0,False,0.0,11:12:10
4000.0,1000,-100.0,0.0,BU,220700.0,238600.0,False,0.0,11:11:38
4000.0,200,-100.0,0.0,BU,219700.0,238600.0,False,0.0,11:11:17
4000.0,1000,-100.0,0.0,BU,219500.0,238600.0,False,100.0,11:10:45
3900.0,20900,-200.0,0.0,SD,218500.0,238600.0,False,-100.0,11:09:57
4000.0,1000,-100.0,0.0,BU,218500.0,217700.0,False,0.0,11:08:22
4000.0,5000,-100.0,0.0,BU,217500.0,217700.0,False,0.0,11:07:25
4000.0,20000,-100.0,0.0,BU,212500.0,217700.0,False,0.0,11:07:15
4000.0,2000,-100.0,0.0,BU,192500.0,217700.0,False,0.0,11:02:16
4000.0,2300,-100.0,0.0,BU,190500.0,217700.0,False,0.0,10:56:43
4000.0,3000,-100.0,0.0,BU,188200.0,217700.0,False,0.0,10:56:16
4000.0,4500,-100.0,0.0,BU,185200.0,217700.0,False,0.0,10:54:43
4000.0,100,-100.0,0.0,BU,180700.0,217700.0,False,0.0,10:54:00
4000.0,300,-100.0,0.0,BU,180600.0,217700.0,False,0.0,10:53:19
4000.0,3000,-100.0,0.0,BU,180300.0,217700.0,False,0.0,10:52:26
4000.0,2000,-100.0,0.0,BU,177300.0,217700.0,False,0.0,10:51:40
4000.0,100,-100.0,0.0,BU,175300.0,217700.0,False,0.0,10:51:04
4000.0,100,-100.0,0.0,BU,175200.0,217700.0,False,0.0,10:50:54
4000.0,3000,-100.0,0.0,BU,175100.0,217700.0,False,0.0,10:49:02
4000.0,100,-100.0,0.0,BU,172100.0,217700.0,False,0.0,10:48:53
4000.0,3000,-100.0,0.0,BU,172000.0,217700.0,False,0.0,10:47:55
4000.0,2300,-100.0,0.0,BU,169000.0,217700.0,False,0.0,10:44:57
4000.0,300,-100.0,0.0,BU,166700.0,217700.0,False,0.0,10:44:04
4000.0,2000,-100.0,0.0,BU,166400.0,217700.0,False,0.0,10:43:44
4000.0,100,-100.0,0.0,BU,164400.0,217700.0,False,0.0,10:43:32
4000.0,2300,-100.0,0.0,BU,164300.0,217700.0,False,0.0,10:43:13
4000.0,100,-100.0,0.0,BU,162000.0,217700.0,False,0.0,10:42:52
4000.0,1000,-100.0,0.0,BU,161900.0,217700.0,False,0.0,10:42:50
4000.0,2200,-100.0,0.0,BU,160900.0,217700.0,False,0.0,10:41:32
4000.0,2000,-100.0,0.0,BU,158700.0,217700.0,False,0.0,10:39:52
4000.0,1000,-100.0,0.0,BU,156700.0,217700.0,False,0.0,10:39:33
4000.0,5000,-100.0,0.0,BU,155700.0,217700.0,False,0.0,10:38:29
4000.0,3000,-100.0,0.0,BU,150700.0,217700.0,False,0.0,10:37:21
4000.0,300,-100.0,0.0,BU,147700.0,217700.0,False,0.0,10:32:02
4000.0,100,-100.0,0.0,BU,147400.0,217700.0,False,0.0,10:31:48
4000.0,200,-100.0,0.0,BU,147300.0,217700.0,False,0.0,10:30:30
4000.0,3000,-100.0,0.0,BU,147100.0,217700.0,False,0.0,10:30:15
4000.0,100,-100.0,0.0,BU,144100.0,217700.0,False,100.0,10:29:52
3900.0,10000,-200.0,0.0,SD,144000.0,217700.0,False,-100.0,10:28:26
4000.0,4000,-100.0,0.0,BU,144000.0,207700.0,False,0.0,10:28:06
4000.0,500,-100.0,0.0,BU,140000.0,207700.0,False,0.0,10:27:37
4000.0,20000,-100.0,0.0,BU,139500.0,207700.0,False,100.0,10:26:58
3900.0,9000,-200.0,0.0,SD,119500.0,207700.0,False,0.0,10:26:49
3900.0,100,-200.0,0.0,SD,119500.0,198700.0,False,-100.0,10:25:19
4000.0,1300,-100.0,0.0,BU,119500.0,198600.0,False,0.0,10:25:03
4000.0,116000,-100.0,0.0,BU,118200.0,198600.0,True,0.0,10:25:02
4000.0,1000,-100.0,0.0,SD,2200.0,198600.0,False,0.0,10:17:02
4000.0,7800,-100.0,0.0,SD,2200.0,197600.0,False,0.0,10:16:37
4000.0,2500,-100.0,0.0,SD,2200.0,189800.0,False,0.0,10:13:48
4000.0,100,-100.0,0.0,SD,2200.0,187300.0,False,0.0,10:06:37
4000.0,14700,-100.0,0.0,SD,2200.0,187200.0,False,0.0,10:04:51
4000.0,200,-100.0,0.0,SD,2200.0,172500.0,False,0.0,09:53:40
4000.0,6200,-100.0,0.0,SD,2200.0,172300.0,False,0.0,09:52:08
4000.0,10000,-100.0,0.0,SD,2200.0,166100.0,False,-100.0,09:50:39
4100.0,200,0.0,0.0,BU,2200.0,156100.0,False,100.0,09:48:55
4000.0,20000,-100.0,0.0,SD,2000.0,156100.0,False,0.0,09:47:09
4000.0,500,-100.0,0.0,SD,2000.0,136100.0,False,0.0,09:45:31
4000.0,5000,-100.0,0.0,SD,2000.0,135600.0,False,0.0,09:41:22
4000.0,5000,-100.0,0.0,SD,2000.0,130600.0,False,0.0,09:41:13
4000.0,6000,-100.0,0.0,SD,2000.0,125600.0,False,0.0,09:40:24
4000.0,4900,-100.0,0.0,SD,2000.0,119600.0,False,0.0,09:39:34
4000.0,6600,-100.0,0.0,SD,2000.0,114700.0,False,0.0,09:37:56
4000.0,2500,-100.0,0.0,SD,2000.0,108100.0,False,0.0,09:35:40
4000.0,1000,-100.0,0.0,SD,2000.0,105600.0,False,0.0,09:35:17
4000.0,10000,-100.0,0.0,SD,2000.0,104600.0,False,0.0,09:34:57
4000.0,5000,-100.0,0.0,SD,2000.0,94600.0,False,0.0,09:31:13
4000.0,500,-100.0,0.0,SD,2000.0,89600.0,False,0.0,09:29:44
4000.0,5100,-100.0,0.0,SD,2000.0,89100.0,False,0.0,09:28:12
4000.0,200,-100.0,0.0,SD,2000.0,84000.0,False,0.0,09:20:58
4000.0,22400,-100.0,0.0,SD,2000.0,83800.0,False,0.0,09:19:06
4000.0,1500,-100.0,0.0,SD,2000.0,61400.0,False,0.0,09:18:59
4000.0,100,-100.0,0.0,SD,2000.0,59900.0,False,0.0,09:18:21
4000.0,5000,-100.0,0.0,SD,2000.0,59800.0,False,0.0,09:16:57
4000.0,200,-100.0,0.0,SD,2000.0,54800.0,False,0.0,09:14:57
4000.0,200,-100.0,0.0,SD,2000.0,54600.0,False,0.0,09:11:26
4000.0,2400,-100.0,0.0,SD,2000.0,54400.0,False,0.0,09:08:59
4000.0,50000,-100.0,0.0,SD,2000.0,52000.0,False,0.0,09:08:39
4000.0,1000,-100.0,0.0,SD,2000.0,2000.0,False,0.0,09:07:30
4000.0,1000,-100.0,0.0,SD,2000.0,1000.0,False,-100.0,09:06:48
4100.0,1000,0.0,0.0,BU,2000.0,0.0,False,0.0,09:01:54
4100.0,1000,0.0,0.0,BU,1000.0,0.0,False,0.0,09:00:21
