p,v,cp,rcp,a,ba,sa,hl,pcp,t
79600.0,400,200.0,0.0,BU,11900.0,23100.0,False,-100.0,14:20:59
79700.0,500,300.0,0.0,BU,11500.0,23100.0,False,300.0,14:19:28
79400.0,200,0.0,0.0,SD,11000.0,23100.0,False,0.0,13:50:08
79400.0,5000,0.0,0.0,SD,11000.0,22900.0,True,-100.0,13:50:00
79500.0,6800,100.0,0.0,BU,11000.0,17900.0,True,0.0,13:42:58
79500.0,4600,100.0,0.0,SD,4200.0,17900.0,True,-100.0,13:40:10
79600.0,100,200.0,0.0,BU,4200.0,13300.0,False,0.0,13:31:23
79600.0,500,200.0,0.0,BU,4100.0,13300.0,False,0.0,13:30:27
79600.0,100,200.0,0.0,SD,3600.0,13300.0,False,0.0,13:29:15
79600.0,200,200.0,0.0,SD,3600.0,13200.0,False,0.0,13:24:40
79600.0,500,200.0,0.0,SD,3600.0,13000.0,False,0.0,13:21:49
79600.0,600,200.0,0.0,SD,3600.0,12500.0,False,-100.0,13:11:57
79700.0,2000,300.0,0.0,BU,3600.0,11900.0,False,0.0,11:18:03
79700.0,400,300.0,0.0,BU,1600.0,11900.0,False,200.0,11:12:46
79500.0,1000,100.0,0.0,SD,1200.0,11900.0,False,0.0,10:54:07
79500.0,300,100.0,0.0,SD,1200.0,10900.0,False,0.0,10:39:16
79500.0,1000,100.0,0.0,SD,1200.0,10600.0,False,0.0,10:36:41
79500.0,100,100.0,0.0,BU,1200.0,9600.0,False,0.0,10:10:40
79500.0,400,100.0,0.0,SD,1100.0,9600.0,False,100.0,09:56:15
79400.0,5000,0.0,0.0,SD,1100.0,9200.0,True,-300.0,09:46:16
79700.0,200,300.0,0.0,BU,1100.0,4200.0,False,300.0,09:44:15
79400.0,200,0.0,0.0,SD,900.0,4200.0,False,-100.0,09:20:37
79500.0,900,100.0,0.0,BU,900.0,4000.0,False,100.0,09:19:37
79400.0,4000,0.0,0.0,SD,0.0,4000.0,True,0.0,09:00:03
