p,v,cp,rcp,a,ba,sa,hl,pcp,t
38400.0,3000,-300.0,0.0,SD,7900.0,16600.0,False,0.0,14:23:21
38400.0,1700,-300.0,0.0,SD,7900.0,13600.0,False,0.0,14:21:11
38400.0,200,-300.0,0.0,SD,7900.0,11900.0,False,-100.0,14:13:59
38500.0,100,-200.0,0.0,BU,7900.0,11700.0,False,0.0,14:12:18
38500.0,500,-200.0,0.0,BU,6800.0,11700.0,False,0.0,14:05:30
38400.0,3000,-300.0,0.0,SD,6100.0,11700.0,False,-100.0,13:55:05
38500.0,1000,-200.0,0.0,BU,6100.0,8700.0,False,100.0,13:54:55
38400.0,100,-300.0,0.0,SD,5100.0,8700.0,False,0.0,13:46:47
38400.0,1600,-300.0,0.0,SD,5100.0,8600.0,False,-100.0,13:43:58
38500.0,300,-200.0,0.0,BU,5100.0,7000.0,False,0.0,13:34:05
38500.0,700,-200.0,0.0,BU,4800.0,7000.0,False,0.0,13:33:24
38500.0,2000,-200.0,0.0,SD,4100.0,7000.0,False,0.0,13:33:07
38500.0,1000,-200.0,0.0,SD,4100.0,5000.0,False,0.0,13:33:05
38500.0,2000,-200.0,0.0,SD,4100.0,4000.0,False,-100.0,13:32:54
38600.0,200,-100.0,0.0,BU,4100.0,2000.0,False,0.0,13:11:47
38600.0,300,-100.0,0.0,SD,3900.0,2000.0,False,0.0,13:09:56
38600.0,200,-100.0,0.0,SD,3900.0,1700.0,False,0.0,13:08:33
38600.0,500,-100.0,0.0,SD,3900.0,1500.0,False,100.0,13:04:39
38500.0,600,-200.0,0.0,SD,3900.0,1000.0,False,-200.0,13:00:02
38700.0,900,0.0,0.0,BU,3900.0,400.0,False,0.0,11:12:47
38700.0,300,0.0,0.0,BU,3000.0,400.0,False,0.0,10:42:45
38700.0,100,0.0,0.0,BU,2700.0,400.0,False,100.0,10:33:18
38600.0,800,-100.0,0.0,BU,2600.0,400.0,False,0.0,10:26:52
38600.0,200,-100.0,0.0,SD,1800.0,400.0,False,0.0,10:21:38
38600.0,500,-100.0,0.0,BU,1800.0,200.0,False,-100.0,09:58:09
38700.0,100,0.0,0.0,SD,1300.0,200.0,False,0.0,09:53:07
38700.0,100,0.0,0.0,SD,1300.0,100.0,False,0.0,09:51:20
38700.0,300,0.0,0.0,BU,1300.0,0.0,False,0.0,09:50:53
38700.0,1000,0.0,0.0,BU,1000.0,0.0,False,0.0,09:50:29
