p,v,cp,rcp,a,ba,sa,hl,pcp,t
17900.0,400,-300.0,0.0,SD,64000.0,76800.0,False,0.0,14:26:13
17900.0,100,-300.0,0.0,SD,64000.0,76400.0,False,0.0,14:26:13
17900.0,500,-300.0,0.0,SD,64000.0,76300.0,False,0.0,14:25:18
17900.0,500,-300.0,0.0,SD,64000.0,75800.0,False,0.0,14:25:18
17900.0,100,-300.0,0.0,SD,64000.0,75300.0,False,0.0,14:25:01
17900.0,100,-300.0,0.0,SD,64000.0,75200.0,False,0.0,14:24:46
17900.0,300,-300.0,0.0,SD,64000.0,75100.0,False,0.0,14:22:14
17900.0,300,-300.0,0.0,SD,64000.0,74800.0,False,0.0,14:21:45
17900.0,800,-300.0,0.0,SD,64000.0,74500.0,False,0.0,14:20:34
17900.0,900,-300.0,0.0,SD,64000.0,73700.0,False,0.0,14:20:15
17900.0,300,-300.0,0.0,SD,64000.0,72800.0,False,0.0,14:16:50
17900.0,200,-300.0,0.0,SD,64000.0,72500.0,False,0.0,14:16:09
17900.0,200,-300.0,0.0,SD,64000.0,72300.0,False,0.0,14:16:09
17900.0,100,-300.0,0.0,SD,64000.0,72100.0,False,0.0,14:15:28
17900.0,100,-300.0,0.0,SD,64000.0,72000.0,False,0.0,14:15:28
17900.0,1000,-300.0,0.0,SD,64000.0,71900.0,False,0.0,14:15:28
17900.0,800,-300.0,0.0,SD,64000.0,70900.0,False,0.0,14:15:28
17900.0,300,-300.0,0.0,SD,64000.0,70100.0,False,-50.0,14:15:15
17950.0,1200,-250.0,0.0,BU,64000.0,69800.0,False,0.0,14:11:19
17950.0,1000,-250.0,0.0,BU,62800.0,69800.0,False,0.0,14:11:19
17950.0,1000,-250.0,0.0,BU,61800.0,69800.0,False,0.0,14:11:19
17950.0,1000,-250.0,0.0,BU,60800.0,69800.0,False,0.0,14:11:19
17950.0,800,-250.0,0.0,BU,59800.0,69800.0,False,0.0,14:11:19
17950.0,1000,-250.0,0.0,BU,59000.0,69800.0,False,0.0,14:10:29
17950.0,200,-250.0,0.0,BU,58000.0,69800.0,False,50.0,14:08:23
17900.0,2900,-300.0,0.0,BU,57800.0,69800.0,False,0.0,14:06:21
17900.0,2500,-300.0,0.0,BU,54900.0,69800.0,False,0.0,14:06:21
17900.0,3500,-300.0,0.0,BU,52400.0,69800.0,False,0.0,14:06:21
17900.0,1000,-300.0,0.0,BU,48900.0,69800.0,False,0.0,14:03:38
17900.0,500,-300.0,0.0,BU,47900.0,69800.0,False,50.0,13:59:50
17850.0,100,-350.0,0.0,BU,47400.0,69800.0,False,0.0,13:55:45
17850.0,4900,-350.0,0.0,SD,47300.0,69800.0,False,0.0,13:55:32
17850.0,100,-350.0,0.0,BU,47300.0,64900.0,False,50.0,13:51:59
17800.0,100,-400.0,0.0,SD,47200.0,64900.0,False,-50.0,13:51:28
17850.0,100,-350.0,0.0,BU,47200.0,64800.0,False,0.0,13:50:10
17850.0,100,-350.0,0.0,BU,47100.0,64800.0,False,0.0,13:49:18
17850.0,300,-350.0,0.0,SD,47000.0,64800.0,False,0.0,13:49:09
17850.0,1000,-350.0,0.0,SD,47000.0,64500.0,False,0.0,13:49:09
17850.0,100,-350.0,0.0,SD,47000.0,63500.0,False,0.0,13:49:09
17850.0,300,-350.0,0.0,SD,47000.0,63400.0,False,0.0,13:49:09
17850.0,700,-350.0,0.0,SD,47000.0,63100.0,False,0.0,13:47:40
17850.0,100,-350.0,0.0,SD,47000.0,62400.0,False,0.0,13:47:40
17850.0,200,-350.0,0.0,SD,47000.0,62300.0,False,-50.0,13:47:40
