p,v,cp,rcp,a,ba,sa,hl,pcp,t
14750.0,100,150.0,0.0,BU,12604100.0,9023000.0,False,0.0,14:27:04
14750.0,10900,150.0,0.0,BU,12604000.0,9023000.0,False,0.0,14:26:54
14750.0,10000,150.0,0.0,BU,12593100.0,9023000.0,False,0.0,14:26:54
14750.0,1000,150.0,0.0,BU,12583100.0,9023000.0,False,0.0,14:26:54
14750.0,4300,150.0,0.0,BU,12582100.0,9023000.0,False,0.0,14:26:54
14750.0,400,150.0,0.0,BU,12577800.0,9023000.0,False,0.0,14:26:54
14750.0,1000,150.0,0.0,BU,12577400.0,9023000.0,False,0.0,14:26:52
14750.0,400,150.0,0.0,BU,12576400.0,9023000.0,False,0.0,14:26:39
14750.0,1200,150.0,0.0,BU,12576000.0,9023000.0,False,0.0,14:26:35
14750.0,200,150.0,0.0,BU,12574800.0,9023000.0,False,0.0,14:26:31
14750.0,5000,150.0,0.0,SD,12574600.0,9023000.0,False,0.0,14:26:30
14750.0,1000,150.0,0.0,SD,12574600.0,9018000.0,False,0.0,14:26:30
14750.0,200,150.0,0.0,SD,12574600.0,9017000.0,False,0.0,14:26:30
14750.0,10600,150.0,0.0,SD,12574600.0,9016800.0,False,0.0,14:26:30
14750.0,3000,150.0,0.0,SD,12574600.0,9006200.0,False,0.0,14:26:23
14750.0,6400,150.0,0.0,BU,12574600.0,9003200.0,False,0.0,14:26:20
14750.0,1000,150.0,0.0,BU,12568200.0,9003200.0,False,50.0,14:26:17
14700.0,400,100.0,0.0,SD,12567200.0,9003200.0,False,-50.0,14:26:17
14750.0,2000,150.0,0.0,BU,12567200.0,9002800.0,False,0.0,14:26:15
14750.0,1000,150.0,0.0,BU,12565200.0,9002800.0,False,0.0,14:26:15
14750.0,800,150.0,0.0,BU,12564200.0,9002800.0,False,0.0,14:26:15
14750.0,3500,150.0,0.0,BU,12563400.0,9002800.0,False,0.0,14:26:15
14750.0,600,150.0,0.0,BU,12559900.0,9002800.0,False,0.0,14:26:15
14750.0,1400,150.0,0.0,BU,12559300.0,9002800.0,False,0.0,14:26:15
14750.0,200,150.0,0.0,BU,12557900.0,9002800.0,False,0.0,14:26:15
14750.0,3100,150.0,0.0,BU,12557700.0,9002800.0,False,0.0,14:26:15
14750.0,1000,150.0,0.0,SD,12554600.0,9002800.0,False,0.0,14:26:14
14750.0,900,150.0,0.0,SD,12554600.0,9001800.0,False,0.0,14:26:13
14750.0,1100,150.0,0.0,SD,12554600.0,9000900.0,False,0.0,14:26:13
14750.0,5000,150.0,0.0,SD,12554600.0,8999800.0,False,0.0,14:26:12
14750.0,2000,150.0,0.0,SD,12554600.0,8994800.0,False,-50.0,14:26:00
14800.0,500,200.0,0.0,BU,12554600.0,8992800.0,False,50.0,14:25:57
14750.0,4000,150.0,0.0,SD,12554100.0,8992800.0,False,0.0,14:25:56
14750.0,1000,150.0,0.0,SD,12554100.0,8988800.0,False,0.0,14:25:55
14750.0,16900,150.0,0.0,SD,12554100.0,8987800.0,True,0.0,14:25:55
14750.0,100,150.0,0.0,SD,12554100.0,8970900.0,False,0.0,14:25:55
14750.0,3000,150.0,0.0,SD,12554100.0,8970800.0,False,0.0,14:25:55
14750.0,500,150.0,0.0,SD,12554100.0,8967800.0,False,0.0,14:25:55
14750.0,2000,150.0,0.0,SD,12554100.0,8967300.0,False,0.0,14:25:55
14750.0,1500,150.0,0.0,SD,12554100.0,8965300.0,False,0.0,14:25:55
14750.0,200,150.0,0.0,SD,12554100.0,8963800.0,False,0.0,14:25:55
14750.0,100,150.0,0.0,SD,12554100.0,8963600.0,False,0.0,14:25:55
14750.0,100,150.0,0.0,SD,12554100.0,8963500.0,False,0.0,14:25:55
14750.0,1000,150.0,0.0,SD,12554100.0,8963400.0,False,0.0,14:25:55
14750.0,20000,150.0,0.0,SD,12554100.0,8962400.0,True,0.0,14:25:55
14750.0,500,150.0,0.0,SD,12554100.0,8942400.0,False,0.0,14:25:55
14750.0,1500,150.0,0.0,SD,12554100.0,8941900.0,False,0.0,14:25:55
14750.0,1000,150.0,0.0,SD,12554100.0,8940400.0,False,0.0,14:25:55
14750.0,1600,150.0,0.0,SD,12554100.0,8939400.0,False,0.0,14:25:55
14750.0,1400,150.0,0.0,SD,12554100.0,8937800.0,False,0.0,14:25:50
14750.0,200,150.0,0.0,SD,12554100.0,8936400.0,False,0.0,14:25:50
14750.0,1000,150.0,0.0,SD,12554100.0,8936200.0,False,0.0,14:25:50
14750.0,1000,150.0,0.0,SD,12554100.0,8935200.0,False,0.0,14:25:50
14750.0,1400,150.0,0.0,SD,12554100.0,8934200.0,False,0.0,14:25:50
14750.0,2300,150.0,0.0,SD,12554100.0,8932800.0,False,0.0,14:25:29
14750.0,47700,150.0,0.0,SD,12554100.0,8930500.0,True,-50.0,14:25:29
14800.0,4500,200.0,0.0,BU,12554100.0,8882800.0,False,0.0,14:25:17
14800.0,15500,200.0,0.0,BU,12549600.0,8882800.0,True,0.0,14:25:17
14800.0,500,200.0,0.0,BU,12534100.0,8882800.0,False,50.0,14:25:04
14750.0,2300,150.0,0.0,SD,12533600.0,8882800.0,False,-50.0,14:25:04
14800.0,800,200.0,0.0,BU,12533600.0,8880500.0,False,0.0,14:24:59
14800.0,700,200.0,0.0,BU,12532800.0,8880500.0,False,0.0,14:24:57
14800.0,1300,200.0,0.0,BU,12532100.0,8880500.0,False,0.0,14:24:57
14800.0,700,200.0,0.0,BU,12530800.0,8880500.0,False,0.0,14:24:56
14800.0,500,200.0,0.0,BU,12530100.0,8880500.0,False,0.0,14:24:52
14800.0,100,200.0,0.0,BU,12529600.0,8880500.0,False,0.0,14:24:52
14800.0,100,200.0,0.0,BU,12529500.0,8880500.0,False,0.0,14:24:52
14800.0,700,200.0,0.0,BU,12529400.0,8880500.0,False,0.0,14:24:50
14800.0,100,200.0,0.0,BU,12528700.0,8880500.0,False,0.0,14:24:50
14800.0,700,200.0,0.0,BU,12528600.0,8880500.0,False,0.0,14:24:48
14800.0,800,200.0,0.0,BU,12527900.0,8880500.0,False,0.0,14:24:46
14800.0,700,200.0,0.0,BU,12527100.0,8880500.0,False,0.0,14:24:43
14800.0,700,200.0,0.0,BU,12526400.0,8880500.0,False,0.0,14:24:41
14800.0,800,200.0,0.0,BU,12525700.0,8880500.0,False,0.0,14:24:39
14800.0,700,200.0,0.0,BU,12524900.0,8880500.0,False,0.0,14:24:37
14800.0,700,200.0,0.0,BU,12524200.0,8880500.0,False,0.0,14:24:34
14800.0,800,200.0,0.0,BU,12523500.0,8880500.0,False,0.0,14:24:33
14800.0,3200,200.0,0.0,BU,12522700.0,8880500.0,False,0.0,14:24:31
14800.0,1000,200.0,0.0,BU,12519500.0,8880500.0,False,0.0,14:24:31
14800.0,2000,200.0,0.0,BU,12518500.0,8880500.0,False,0.0,14:24:31
14800.0,1000,200.0,0.0,BU,12516500.0,8880500.0,False,0.0,14:24:31
14800.0,500,200.0,0.0,BU,12515500.0,8880500.0,False,0.0,14:24:31
14800.0,27300,200.0,0.0,BU,12515000.0,8880500.0,True,0.0,14:24:31
14800.0,700,200.0,0.0,BU,12487700.0,8880500.0,False,0.0,14:24:30
14800.0,800,200.0,0.0,BU,12487000.0,8880500.0,False,0.0,14:24:28
14800.0,700,200.0,0.0,BU,12486200.0,8880500.0,False,0.0,14:24:26
14800.0,600,200.0,0.0,BU,12485500.0,8880500.0,False,0.0,14:24:25
14800.0,700,200.0,0.0,BU,12484900.0,8880500.0,False,0.0,14:24:23
14800.0,200,200.0,0.0,BU,12484200.0,8880500.0,False,0.0,14:24:23
14800.0,27400,200.0,0.0,BU,12484000.0,8880500.0,True,0.0,14:24:22
14800.0,800,200.0,0.0,BU,12456600.0,8880500.0,False,0.0,14:24:22
14800.0,500,200.0,0.0,BU,12455800.0,8880500.0,False,0.0,14:24:20
14800.0,700,200.0,0.0,BU,12455300.0,8880500.0,False,0.0,14:24:20
14800.0,4000,200.0,0.0,BU,12454600.0,8880500.0,False,0.0,14:24:19
14800.0,700,200.0,0.0,BU,12450600.0,8880500.0,False,0.0,14:24:17
14800.0,2700,200.0,0.0,BU,12449900.0,8880500.0,False,0.0,14:24:17
14800.0,800,200.0,0.0,BU,12447200.0,8880500.0,False,0.0,14:24:14
14800.0,23000,200.0,0.0,BU,12446400.0,8880500.0,True,0.0,14:24:14
14800.0,700,200.0,0.0,BU,12423400.0,8880500.0,False,0.0,14:24:12
