p,v,cp,rcp,a,ba,sa,hl,pcp,t
13400.0,2600,-400.0,0.0,BU,44900.0,53400.0,False,-100.0,14:22:57
13500.0,3000,-300.0,0.0,SD,42300.0,53400.0,False,0.0,14:12:53
13500.0,1000,-300.0,0.0,BU,42300.0,50400.0,False,0.0,14:09:48
13500.0,600,-300.0,0.0,BU,41300.0,50400.0,False,0.0,14:09:27
13500.0,500,-300.0,0.0,BU,40700.0,50400.0,False,0.0,14:08:12
13500.0,500,-300.0,0.0,BU,40200.0,50400.0,False,100.0,14:03:45
13400.0,100,-400.0,0.0,SD,39700.0,50400.0,False,-100.0,13:58:07
13500.0,600,-300.0,0.0,BU,39700.0,50300.0,False,0.0,13:56:16
13500.0,200,-300.0,0.0,BU,39100.0,50300.0,False,100.0,13:54:47
13500.0,500,-300.0,0.0,BU,38900.0,43000.0,False,0.0,13:45:49
13500.0,7000,-300.0,0.0,SD,38400.0,43000.0,False,0.0,13:45:40
13500.0,2500,-300.0,0.0,SD,38400.0,36000.0,False,200.0,13:45:06
13300.0,100,-500.0,0.0,SD,38400.0,33500.0,False,100.0,13:44:16
13200.0,100,-600.0,0.0,SD,38400.0,33400.0,False,-100.0,13:43:33
13300.0,19900,-500.0,0.0,BU,38400.0,33300.0,True,-100.0,13:43:32
13400.0,100,-400.0,0.0,SD,18500.0,33300.0,False,0.0,13:43:25
13400.0,2000,-400.0,0.0,SD,18500.0,33200.0,False,0.0,13:43:01
13400.0,2000,-400.0,0.0,SD,18500.0,31200.0,False,-100.0,13:42:07
13500.0,8900,-300.0,0.0,BU,18500.0,29200.0,False,0.0,13:40:11
13500.0,500,-300.0,0.0,SD,9600.0,29200.0,False,0.0,13:38:55
13500.0,600,-300.0,0.0,SD,9600.0,28700.0,False,100.0,13:33:23
13400.0,400,-400.0,0.0,SD,9600.0,28100.0,False,-100.0,13:22:29
13500.0,3700,-300.0,0.0,SD,9600.0,27700.0,False,0.0,13:21:08
13500.0,5000,-300.0,0.0,SD,9600.0,24000.0,False,0.0,13:19:19
13500.0,1300,-300.0,0.0,SD,9600.0,19000.0,False,0.0,13:15:55
13500.0,1000,-300.0,0.0,BU,9600.0,17700.0,False,0.0,13:11:45
13500.0,1300,-300.0,0.0,BU,8600.0,17700.0,False,0.0,13:09:31
13500.0,1600,-300.0,0.0,BU,7300.0,17700.0,False,-100.0,13:07:10
13600.0,2000,-200.0,0.0,SD,5700.0,17700.0,False,0.0,13:04:44
13600.0,200,-200.0,0.0,BU,5700.0,15700.0,False,100.0,11:19:10
13500.0,100,-300.0,0.0,SD,5500.0,15700.0,False,-100.0,11:17:30
13600.0,700,-200.0,0.0,BU,5500.0,15600.0,False,100.0,11:12:13
13500.0,300,-300.0,0.0,SD,4800.0,15600.0,False,0.0,11:11:39
13500.0,500,-300.0,0.0,BU,4800.0,15300.0,False,0.0,11:09:02
13500.0,700,-300.0,0.0,BU,4300.0,15300.0,False,0.0,11:08:15
13500.0,2000,-300.0,0.0,SD,3600.0,15300.0,False,0.0,11:06:50
13500.0,1000,-300.0,0.0,SD,3600.0,13300.0,False,0.0,10:36:38
13500.0,200,-300.0,0.0,SD,3600.0,12300.0,False,0.0,10:32:38
13500.0,500,-300.0,0.0,SD,3600.0,12100.0,False,0.0,10:27:20
13500.0,3400,-300.0,0.0,SD,3600.0,11600.0,False,-100.0,10:26:52
13600.0,1600,-200.0,0.0,SD,3600.0,8200.0,False,-100.0,10:26:38
13700.0,400,-100.0,0.0,BU,3600.0,6600.0,False,0.0,10:25:30
13700.0,300,-100.0,0.0,SD,3200.0,6600.0,False,0.0,10:07:01
13700.0,1000,-100.0,0.0,BU,3200.0,6300.0,False,0.0,10:05:15
13700.0,100,-100.0,0.0,BU,2200.0,6300.0,False,0.0,09:56:48
13700.0,100,-100.0,0.0,BU,2100.0,6300.0,False,100.0,09:55:35
13600.0,6300,-200.0,0.0,SD,2000.0,6300.0,False,-100.0,09:36:14
13700.0,1500,-100.0,0.0,BU,2000.0,0.0,False,0.0,09:25:42
13700.0,500,-100.0,0.0,BU,500.0,0.0,False,0.0,09:23:18
