p,v,cp,rcp,a,ba,sa,hl,pcp,t
5800.0,5000,0.0,0.0,BU,62800.0,94700.0,False,100.0,14:23:33
5700.0,14000,-100.0,0.0,SD,57800.0,94700.0,False,-100.0,14:23:02
5800.0,10000,0.0,0.0,BU,57800.0,80700.0,False,0.0,14:22:23
5800.0,100,0.0,0.0,BU,47800.0,80700.0,False,100.0,14:20:00
5700.0,3500,-100.0,0.0,SD,47700.0,80700.0,False,-100.0,14:18:48
5800.0,100,0.0,0.0,BU,47700.0,77200.0,False,100.0,14:15:05
5700.0,1500,-100.0,0.0,SD,47600.0,77200.0,False,-100.0,14:14:51
5800.0,1000,0.0,0.0,BU,47600.0,75700.0,False,0.0,14:13:17
5800.0,3000,0.0,0.0,BU,46600.0,75700.0,False,0.0,14:07:32
5800.0,300,0.0,0.0,BU,43600.0,75700.0,False,0.0,13:51:50
5800.0,10000,0.0,0.0,BU,43300.0,75700.0,False,0.0,13:48:00
5800.0,3500,0.0,0.0,BU,33300.0,75700.0,False,0.0,13:47:34
5800.0,100,0.0,0.0,BU,29800.0,75700.0,False,0.0,13:47:10
5800.0,5000,0.0,0.0,BU,29700.0,75700.0,False,100.0,13:47:04
5700.0,500,-100.0,0.0,SD,24700.0,75700.0,False,0.0,13:46:51
5700.0,500,-100.0,0.0,SD,24700.0,75200.0,False,-100.0,13:43:45
5800.0,2000,0.0,0.0,BU,24700.0,74700.0,False,0.0,13:41:05
5800.0,2000,0.0,0.0,BU,22700.0,74700.0,False,0.0,13:40:42
5800.0,1000,0.0,0.0,BU,20700.0,74700.0,False,0.0,13:40:05
5800.0,100,0.0,0.0,BU,19700.0,74700.0,False,100.0,13:31:46
5700.0,1500,-100.0,0.0,SD,19600.0,74700.0,False,0.0,13:31:06
5700.0,1000,-100.0,0.0,SD,19600.0,73200.0,False,0.0,13:29:38
5700.0,100,-100.0,0.0,SD,19600.0,72200.0,False,0.0,13:23:41
5700.0,5200,-100.0,0.0,SD,19600.0,72100.0,False,0.0,13:23:29
5700.0,200,-100.0,0.0,SD,19600.0,66900.0,False,0.0,13:23:06
5700.0,700,-100.0,0.0,SD,19600.0,66700.0,False,-100.0,13:19:47
5800.0,100,0.0,0.0,BU,19600.0,66000.0,False,0.0,13:16:43
5800.0,300,0.0,0.0,BU,19500.0,66000.0,False,100.0,13:15:45
5700.0,4000,-100.0,0.0,SD,19200.0,66000.0,False,0.0,13:07:12
5700.0,14000,-100.0,0.0,SD,19200.0,62000.0,False,-100.0,13:05:40
5800.0,100,0.0,0.0,BU,19200.0,48000.0,False,0.0,11:26:22
5800.0,1000,0.0,0.0,BU,19100.0,48000.0,False,0.0,11:25:59
5800.0,1000,0.0,0.0,BU,18100.0,48000.0,False,0.0,11:05:05
5800.0,1000,0.0,0.0,BU,17100.0,48000.0,False,0.0,10:53:14
5800.0,3000,0.0,0.0,BU,16100.0,48000.0,False,0.0,10:52:01
5800.0,100,0.0,0.0,BU,13100.0,48000.0,False,100.0,10:47:17
5700.0,5000,-100.0,0.0,SD,13000.0,48000.0,False,-100.0,10:44:22
5800.0,1000,0.0,0.0,BU,13000.0,43000.0,False,100.0,10:43:33
5700.0,500,-100.0,0.0,SD,12000.0,43000.0,False,0.0,10:38:23
5700.0,500,-100.0,0.0,SD,12000.0,42500.0,False,0.0,10:38:22
5700.0,8800,-100.0,0.0,SD,12000.0,42000.0,False,0.0,10:31:47
5700.0,8000,-100.0,0.0,SD,12000.0,33200.0,False,0.0,10:26:03
5700.0,100,-100.0,0.0,SD,12000.0,25200.0,False,-100.0,10:19:44
5800.0,10000,0.0,0.0,BU,12000.0,25100.0,False,0.0,10:05:49
5800.0,900,0.0,0.0,BU,2000.0,25100.0,False,100.0,10:01:38
5700.0,1000,-100.0,0.0,SD,1100.0,25100.0,False,-100.0,10:00:46
5800.0,100,0.0,0.0,BU,1100.0,24100.0,False,100.0,09:51:59
5700.0,10000,-100.0,0.0,SD,1000.0,24100.0,False,-100.0,09:51:20
5800.0,100,0.0,0.0,BU,1000.0,14100.0,False,0.0,09:43:47
5800.0,100,0.0,0.0,SD,900.0,14100.0,False,0.0,09:40:54
5800.0,3000,0.0,0.0,SD,900.0,14000.0,False,0.0,09:39:03
5800.0,1000,0.0,0.0,SD,900.0,11000.0,False,0.0,09:38:43
5800.0,10000,0.0,0.0,SD,900.0,10000.0,False,-100.0,09:36:20
5900.0,700,100.0,0.0,BU,900.0,0.0,False,0.0,09:34:02
5900.0,200,100.0,0.0,BU,200.0,0.0,False,0.0,09:00:03
