p,v,cp,rcp,a,ba,sa,hl,pcp,t
14300.0,1000,-100.0,0.0,BU,66200.0,67400.0,False,0.0,14:27:04
14300.0,300,-100.0,0.0,BU,65200.0,67400.0,False,50.0,14:26:20
14250.0,2300,-150.0,0.0,SD,64900.0,67400.0,False,0.0,14:25:54
14250.0,500,-150.0,0.0,SD,64900.0,65100.0,False,0.0,14:25:54
14250.0,200,-150.0,0.0,SD,64900.0,64600.0,False,-50.0,14:25:54
14300.0,1000,-100.0,0.0,BU,64900.0,64400.0,False,0.0,14:25:52
14300.0,100,-100.0,0.0,BU,63900.0,64400.0,False,0.0,14:25:19
14300.0,1800,-100.0,0.0,BU,63800.0,64400.0,False,0.0,14:25:19
14300.0,500,-100.0,0.0,BU,62000.0,64400.0,False,0.0,14:25:19
14300.0,500,-100.0,0.0,BU,61500.0,64400.0,False,0.0,14:25:19
14300.0,1500,-100.0,0.0,BU,61000.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,59500.0,64400.0,False,0.0,14:25:19
14300.0,200,-100.0,0.0,BU,59400.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,59200.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,59100.0,64400.0,False,0.0,14:25:19
14300.0,5000,-100.0,0.0,BU,59000.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,54000.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,53900.0,64400.0,False,0.0,14:25:19
14300.0,100,-100.0,0.0,BU,53800.0,64400.0,False,0.0,14:25:19
14300.0,9100,-100.0,0.0,BU,53700.0,64400.0,False,0.0,14:25:19
14300.0,1500,-100.0,0.0,SD,44600.0,64400.0,False,-50.0,14:25:05
14350.0,10000,-50.0,0.0,BU,44600.0,62900.0,False,0.0,14:24:28
14350.0,4000,-50.0,0.0,BU,34600.0,62900.0,False,0.0,14:24:28
14350.0,1000,-50.0,0.0,BU,30600.0,62900.0,False,-50.0,14:24:28
14400.0,1000,0.0,0.0,SD,29600.0,62900.0,False,-100.0,14:23:44
14500.0,500,100.0,0.0,SD,29600.0,61900.0,False,-100.0,14:21:41
14600.0,1500,200.0,0.0,BU,29600.0,61400.0,False,100.0,14:16:52
14500.0,200,100.0,0.0,BU,28100.0,61400.0,False,0.0,14:16:52
14500.0,200,100.0,0.0,BU,27900.0,61400.0,False,100.0,14:16:52
14400.0,100,0.0,0.0,SD,27700.0,61400.0,False,-100.0,14:15:38
14500.0,200,100.0,0.0,SD,27700.0,61300.0,False,0.0,14:11:04
14500.0,1000,100.0,0.0,SD,27700.0,61100.0,False,0.0,14:11:04
14500.0,300,100.0,0.0,SD,27700.0,60100.0,False,0.0,14:11:04
14500.0,700,100.0,0.0,BU,27700.0,59800.0,False,0.0,14:09:14
14500.0,300,100.0,0.0,BU,27000.0,59800.0,False,0.0,14:09:13
14500.0,1000,100.0,0.0,BU,26700.0,59800.0,False,100.0,14:09:13
14400.0,100,0.0,0.0,SD,25700.0,59800.0,False,0.0,14:08:48
14400.0,100,0.0,0.0,SD,25700.0,59700.0,False,0.0,14:08:48
14400.0,500,0.0,0.0,SD,25700.0,59600.0,False,0.0,14:06:16
14400.0,100,0.0,0.0,SD,25700.0,59100.0,False,0.0,14:06:16
14400.0,100,0.0,0.0,SD,25700.0,59000.0,False,0.0,14:06:16
14400.0,1000,0.0,0.0,SD,25700.0,58900.0,False,0.0,14:06:16
14400.0,500,0.0,0.0,BU,25700.0,57900.0,False,0.0,13:58:27
14400.0,100,0.0,0.0,BU,25200.0,57900.0,False,0.0,13:58:27
14400.0,2000,0.0,0.0,BU,25100.0,57900.0,False,0.0,13:58:27
