p,v,cp,rcp,a,ba,sa,hl,pcp,t
19350.0,300,-350.0,0.0,BU,1297100.0,2253800.0,False,50.0,14:27:03
19300.0,200,-400.0,0.0,SD,1296800.0,2253800.0,False,0.0,14:27:00
19300.0,1400,-400.0,0.0,SD,1296800.0,2253600.0,False,0.0,14:26:57
19300.0,1600,-400.0,0.0,SD,1296800.0,2252200.0,False,0.0,14:26:57
19300.0,1400,-400.0,0.0,SD,1296800.0,2250600.0,False,0.0,14:26:56
19300.0,700,-400.0,0.0,SD,1296800.0,2249200.0,False,0.0,14:26:56
19300.0,100,-400.0,0.0,SD,1296800.0,2248500.0,False,0.0,14:26:56
19300.0,100,-400.0,0.0,SD,1296800.0,2248400.0,False,0.0,14:26:56
19300.0,600,-400.0,0.0,SD,1296800.0,2248300.0,False,0.0,14:26:56
19300.0,700,-400.0,0.0,SD,1296800.0,2247700.0,False,0.0,14:26:56
19300.0,900,-400.0,0.0,SD,1296800.0,2247000.0,False,0.0,14:26:56
19300.0,500,-400.0,0.0,SD,1296800.0,2246100.0,False,-50.0,14:26:56
19350.0,100,-350.0,0.0,BU,1296800.0,2245600.0,False,50.0,14:26:54
19300.0,1000,-400.0,0.0,SD,1296700.0,2245600.0,False,0.0,14:26:53
19300.0,500,-400.0,0.0,SD,1296700.0,2244600.0,False,0.0,14:26:22
19300.0,2000,-400.0,0.0,SD,1296700.0,2244100.0,False,0.0,14:26:22
19300.0,100,-400.0,0.0,BU,1296700.0,2242100.0,False,0.0,14:26:04
19300.0,400,-400.0,0.0,BU,1296600.0,2242100.0,False,50.0,14:26:04
19250.0,100,-450.0,0.0,SD,1296200.0,2242100.0,False,-50.0,14:26:04
19300.0,900,-400.0,0.0,BU,1296200.0,2242000.0,False,0.0,14:26:02
19300.0,500,-400.0,0.0,BU,1295300.0,2242000.0,False,0.0,14:26:01
19300.0,100,-400.0,0.0,SD,1294800.0,2242000.0,False,0.0,14:25:39
19300.0,1000,-400.0,0.0,SD,1294800.0,2241900.0,False,0.0,14:25:39
19300.0,1000,-400.0,0.0,SD,1294800.0,2240900.0,False,0.0,14:25:39
19300.0,300,-400.0,0.0,SD,1294800.0,2239900.0,False,0.0,14:25:39
19300.0,100,-400.0,0.0,SD,1294800.0,2239600.0,False,0.0,14:25:39
19300.0,100,-400.0,0.0,SD,1294800.0,2239500.0,False,0.0,14:25:39
19300.0,100,-400.0,0.0,SD,1294800.0,2239400.0,False,0.0,14:25:39
19300.0,500,-400.0,0.0,SD,1294800.0,2239300.0,False,0.0,14:25:39
19300.0,100,-400.0,0.0,SD,1294800.0,2238800.0,False,0.0,14:25:39
19300.0,300,-400.0,0.0,SD,1294800.0,2238700.0,False,0.0,14:25:39
19300.0,700,-400.0,0.0,SD,1294800.0,2238400.0,False,0.0,14:25:39
19300.0,300,-400.0,0.0,SD,1294800.0,2237700.0,False,0.0,14:25:32
19300.0,1000,-400.0,0.0,SD,1294800.0,2237400.0,False,0.0,14:25:32
19300.0,100,-400.0,0.0,SD,1294800.0,2236400.0,False,0.0,14:25:32
19300.0,100,-400.0,0.0,SD,1294800.0,2236300.0,False,0.0,14:25:32
19300.0,500,-400.0,0.0,SD,1294800.0,2236200.0,False,0.0,14:25:32
19300.0,4000,-400.0,0.0,SD,1294800.0,2235700.0,False,0.0,14:25:32
19300.0,1000,-400.0,0.0,SD,1294800.0,2231700.0,False,0.0,14:25:26
19300.0,5000,-400.0,0.0,SD,1294800.0,2230700.0,False,0.0,14:25:08
19300.0,10000,-400.0,0.0,SD,1294800.0,2225700.0,False,-50.0,14:25:06
19350.0,400,-350.0,0.0,BU,1294800.0,2215700.0,False,0.0,14:25:03
19350.0,200,-350.0,0.0,SD,1294400.0,2215700.0,False,0.0,14:25:01
19350.0,200,-350.0,0.0,SD,1294400.0,2215500.0,False,0.0,14:25:01
19350.0,300,-350.0,0.0,SD,1294400.0,2215300.0,False,0.0,14:25:01
19350.0,500,-350.0,0.0,SD,1294400.0,2215000.0,False,0.0,14:25:01
19350.0,100,-350.0,0.0,SD,1294400.0,2214500.0,False,0.0,14:25:01
19350.0,100,-350.0,0.0,SD,1294400.0,2214400.0,False,0.0,14:25:01
19350.0,200,-350.0,0.0,SD,1294400.0,2214300.0,False,0.0,14:25:01
19350.0,1800,-350.0,0.0,SD,1294400.0,2214100.0,False,0.0,14:25:01
19350.0,200,-350.0,0.0,SD,1294400.0,2212300.0,False,0.0,14:24:37
19350.0,800,-350.0,0.0,SD,1294400.0,2212100.0,False,0.0,14:24:37
19350.0,200,-350.0,0.0,SD,1294400.0,2211300.0,False,0.0,14:24:32
19350.0,800,-350.0,0.0,SD,1294400.0,2211100.0,False,0.0,14:24:32
19350.0,1200,-350.0,0.0,SD,1294400.0,2210300.0,False,-50.0,14:24:16
19400.0,200,-300.0,0.0,BU,1294400.0,2209100.0,False,0.0,14:24:15
19400.0,200,-300.0,0.0,SD,1294200.0,2209100.0,False,0.0,14:24:15
19400.0,1200,-300.0,0.0,SD,1294200.0,2208900.0,False,0.0,14:24:15
19400.0,1200,-300.0,0.0,SD,1294200.0,2207700.0,False,0.0,14:24:14
19400.0,1200,-300.0,0.0,SD,1294200.0,2206500.0,False,0.0,14:24:13
19400.0,2900,-300.0,0.0,SD,1294200.0,2205300.0,False,0.0,14:24:12
19400.0,2900,-300.0,0.0,SD,1294200.0,2202400.0,False,0.0,14:24:10
19400.0,2000,-300.0,0.0,SD,1294200.0,2199500.0,False,0.0,14:24:08
19400.0,3500,-300.0,0.0,SD,1294200.0,2197500.0,False,0.0,14:24:08
19400.0,2900,-300.0,0.0,SD,1294200.0,2194000.0,False,0.0,14:24:07
