p,v,cp,rcp,a,ba,sa,hl,pcp,t
22000.0,100,-350.0,0.0,SD,715100.0,1027000.0,False,0.0,14:26:41
22000.0,200,-350.0,0.0,SD,715100.0,1026900.0,False,0.0,14:26:41
22000.0,300,-350.0,0.0,SD,715100.0,1026700.0,False,0.0,14:26:41
22000.0,500,-350.0,0.0,SD,715100.0,1026400.0,False,0.0,14:26:41
22000.0,500,-350.0,0.0,SD,715100.0,1025900.0,False,0.0,14:26:41
22000.0,100,-350.0,0.0,SD,715100.0,1025400.0,False,0.0,14:26:41
22000.0,300,-350.0,0.0,SD,715100.0,1025300.0,False,0.0,14:26:41
22000.0,200,-350.0,0.0,SD,715100.0,1025000.0,False,0.0,14:26:41
22000.0,300,-350.0,0.0,SD,715100.0,1024800.0,False,0.0,14:26:41
22000.0,100,-350.0,0.0,SD,715100.0,1024500.0,False,0.0,14:26:41
22000.0,1000,-350.0,0.0,SD,715100.0,1024400.0,False,0.0,14:26:41
22000.0,200,-350.0,0.0,SD,715100.0,1023400.0,False,0.0,14:26:41
22000.0,1000,-350.0,0.0,SD,715100.0,1023200.0,False,0.0,14:26:41
22000.0,1000,-350.0,0.0,SD,715100.0,1022200.0,False,0.0,14:26:41
22000.0,100,-350.0,0.0,SD,715100.0,1021200.0,False,0.0,14:26:41
22000.0,200,-350.0,0.0,SD,715100.0,1021100.0,False,-50.0,14:26:41
22050.0,100,-300.0,0.0,SD,715100.0,1020900.0,False,50.0,14:26:41
22000.0,15700,-350.0,0.0,SD,715100.0,1020800.0,True,-200.0,14:26:41
22200.0,6700,-150.0,0.0,BU,715100.0,1005100.0,False,0.0,14:26:06
22200.0,1000,-150.0,0.0,BU,708400.0,1005100.0,False,0.0,14:26:06
22200.0,1000,-150.0,0.0,BU,707400.0,1005100.0,False,0.0,14:26:06
22200.0,1500,-150.0,0.0,BU,706400.0,1005100.0,False,0.0,14:26:06
22200.0,1000,-150.0,0.0,BU,704900.0,1005100.0,False,0.0,14:26:06
22200.0,800,-150.0,0.0,BU,703900.0,1005100.0,False,50.0,14:26:06
22150.0,1000,-200.0,0.0,BU,703100.0,1005100.0,False,0.0,14:26:06
