p,v,cp,rcp,a,ba,sa,hl,pcp,t
25300.0,300,-950.0,0.0,BU,7043600.0,10047700.0,False,50.0,14:27:06
25250.0,1500,-1000.0,0.0,SD,7043300.0,10047700.0,False,0.0,14:27:06
25250.0,300,-1000.0,0.0,SD,7043300.0,10046200.0,False,0.0,14:27:06
25250.0,3000,-1000.0,0.0,SD,7043300.0,10045900.0,False,-50.0,14:27:06
25300.0,200,-950.0,0.0,BU,7043300.0,10042900.0,False,0.0,14:27:04
25300.0,300,-950.0,0.0,BU,7043100.0,10042900.0,False,0.0,14:27:04
25300.0,200,-950.0,0.0,BU,7042800.0,10042900.0,False,50.0,14:27:01
25250.0,400,-1000.0,0.0,SD,7042600.0,10042900.0,False,-50.0,14:27:01
25300.0,300,-950.0,0.0,BU,7042600.0,10042500.0,False,50.0,14:27:00
25250.0,100,-1000.0,0.0,SD,7042300.0,10042500.0,False,0.0,14:26:59
25250.0,400,-1000.0,0.0,SD,7042300.0,10042400.0,False,0.0,14:26:58
25250.0,200,-1000.0,0.0,BU,7042300.0,10042000.0,False,0.0,14:26:57
25250.0,9800,-1000.0,0.0,SD,7042100.0,10042000.0,True,0.0,14:26:57
25250.0,100,-1000.0,0.0,SD,7042100.0,10032200.0,False,-50.0,14:26:57
25300.0,7300,-950.0,0.0,BU,7042100.0,10032100.0,False,0.0,14:26:56
25300.0,12700,-950.0,0.0,BU,7034800.0,10032100.0,True,0.0,14:26:56
25300.0,300,-950.0,0.0,BU,7022100.0,10032100.0,False,50.0,14:26:55
25250.0,100,-1000.0,0.0,SD,7021800.0,10032100.0,False,-50.0,14:26:55
25300.0,100,-950.0,0.0,BU,7021800.0,10032000.0,False,0.0,14:26:54
25300.0,2500,-950.0,0.0,BU,7021700.0,10032000.0,False,50.0,14:26:53
25250.0,1800,-1000.0,0.0,SD,7019200.0,10032000.0,False,0.0,14:26:53
25250.0,300,-1000.0,0.0,SD,7019200.0,10030200.0,False,-50.0,14:26:53
25300.0,200,-950.0,0.0,BU,7019200.0,10029900.0,False,0.0,14:26:52
25300.0,300,-950.0,0.0,BU,7019000.0,10029900.0,False,50.0,14:26:50
25250.0,700,-1000.0,0.0,SD,7018700.0,10029900.0,False,0.0,14:26:49
25250.0,2500,-1000.0,0.0,SD,7018700.0,10029200.0,False,0.0,14:26:49
25250.0,100,-1000.0,0.0,SD,7018700.0,10026700.0,False,0.0,14:26:49
25250.0,4700,-1000.0,0.0,SD,7018700.0,10026600.0,False,0.0,14:26:49
25250.0,1000,-1000.0,0.0,SD,7018700.0,10021900.0,False,0.0,14:26:49
25250.0,5300,-1000.0,0.0,SD,7018700.0,10020900.0,False,0.0,14:26:49
25250.0,200,-1000.0,0.0,SD,7018700.0,10015600.0,False,0.0,14:26:49
25250.0,100,-1000.0,0.0,SD,7018700.0,10015400.0,False,0.0,14:26:49
25250.0,300,-1000.0,0.0,SD,7018700.0,10015300.0,False,0.0,14:26:49
25250.0,500,-1000.0,0.0,SD,7018700.0,10015000.0,False,0.0,14:26:49
25250.0,700,-1000.0,0.0,SD,7018700.0,10014500.0,False,0.0,14:26:49
25250.0,100,-1000.0,0.0,SD,7018700.0,10013800.0,False,0.0,14:26:49
25250.0,1000,-1000.0,0.0,SD,7018700.0,10013700.0,False,0.0,14:26:49
25250.0,300,-1000.0,0.0,SD,7018700.0,10012700.0,False,0.0,14:26:49
25250.0,500,-1000.0,0.0,SD,7018700.0,10012400.0,False,0.0,14:26:49
25250.0,100,-1000.0,0.0,SD,7018700.0,10011900.0,False,0.0,14:26:49
25250.0,100,-1000.0,0.0,SD,7018700.0,10011800.0,False,0.0,14:26:49
25250.0,9800,-1000.0,0.0,SD,7018700.0,10011700.0,True,-50.0,14:26:49
25300.0,200,-950.0,0.0,BU,7018700.0,10001900.0,False,0.0,14:26:48
25300.0,1400,-950.0,0.0,BU,7018500.0,10001900.0,False,0.0,14:26:47
25300.0,1000,-950.0,0.0,BU,7017100.0,10001900.0,False,0.0,14:26:46
25300.0,300,-950.0,0.0,BU,7016100.0,10001900.0,False,0.0,14:26:45
25300.0,100,-950.0,0.0,BU,7015800.0,10001900.0,False,0.0,14:26:44
25300.0,200,-950.0,0.0,BU,7015700.0,10001900.0,False,0.0,14:26:44
25300.0,500,-950.0,0.0,BU,7015500.0,10001900.0,False,0.0,14:26:43
25300.0,500,-950.0,0.0,BU,7015000.0,10001900.0,False,0.0,14:26:42
25300.0,100,-950.0,0.0,BU,7014500.0,10001900.0,False,0.0,14:26:41
25300.0,100,-950.0,0.0,BU,7014400.0,10001900.0,False,0.0,14:26:41
25300.0,200,-950.0,0.0,BU,7014300.0,10001900.0,False,0.0,14:26:40
25300.0,100,-950.0,0.0,BU,7014100.0,10001900.0,False,0.0,14:26:40
25300.0,300,-950.0,0.0,BU,7014000.0,10001900.0,False,0.0,14:26:38
25300.0,500,-950.0,0.0,BU,7013700.0,10001900.0,False,50.0,14:26:38
25250.0,200,-1000.0,0.0,SD,7013200.0,10001900.0,False,0.0,14:26:38
25250.0,100,-1000.0,0.0,SD,7013200.0,10001700.0,False,0.0,14:26:38
25250.0,2000,-1000.0,0.0,SD,7013200.0,10001600.0,False,0.0,14:26:38
25250.0,100,-1000.0,0.0,SD,7013200.0,9999600.0,False,0.0,14:26:38
25250.0,600,-1000.0,0.0,SD,7013200.0,9999500.0,False,0.0,14:26:38
25250.0,3800,-1000.0,0.0,SD,7013200.0,9998900.0,False,-50.0,14:26:37
25300.0,200,-950.0,0.0,BU,7013200.0,9995100.0,False,0.0,14:26:37
25300.0,300,-950.0,0.0,BU,7013000.0,9995100.0,False,0.0,14:26:34
25300.0,200,-950.0,0.0,BU,7012700.0,9995100.0,False,0.0,14:26:32
25300.0,300,-950.0,0.0,BU,7012500.0,9995100.0,False,0.0,14:26:31
25300.0,300,-950.0,0.0,BU,7012200.0,9995100.0,False,0.0,14:26:29
25300.0,700,-950.0,0.0,BU,7011900.0,9995100.0,False,0.0,14:26:29
25300.0,1400,-950.0,0.0,BU,7011200.0,9995100.0,False,0.0,14:26:28
25300.0,4800,-950.0,0.0,BU,7009800.0,9995100.0,False,0.0,14:26:28
25300.0,200,-950.0,0.0,BU,7005000.0,9995100.0,False,0.0,14:26:27
25300.0,5000,-950.0,0.0,SD,7004800.0,9995100.0,False,0.0,14:26:27
25300.0,100,-950.0,0.0,SD,7004800.0,9990100.0,False,0.0,14:26:27
25300.0,100,-950.0,0.0,SD,7004800.0,9990000.0,False,0.0,14:26:27
