p,v,cp,rcp,a,ba,sa,hl,pcp,t
48900.0,100,-350.0,0.0,,152400.0,320900.0,False,50.0,14:30:00
48850.0,300,-400.0,0.0,SD,152400.0,320900.0,False,0.0,14:28:59
48850.0,500,-400.0,0.0,SD,152400.0,320600.0,False,0.0,14:28:59
48850.0,1000,-400.0,0.0,SD,152400.0,320100.0,False,-50.0,14:28:59
48900.0,200,-350.0,0.0,SD,152400.0,319100.0,False,50.0,14:28:59
48850.0,200,-400.0,0.0,SD,152400.0,318900.0,False,0.0,14:28:04
48850.0,300,-400.0,0.0,SD,152400.0,318700.0,False,0.0,14:28:04
48850.0,700,-400.0,0.0,SD,152400.0,318400.0,False,0.0,14:27:49
48850.0,400,-400.0,0.0,SD,152400.0,317700.0,False,0.0,14:27:49
48850.0,100,-400.0,0.0,SD,152400.0,317300.0,False,0.0,14:27:49
48850.0,200,-400.0,0.0,SD,152400.0,317200.0,False,0.0,14:27:49
48850.0,100,-400.0,0.0,SD,152400.0,317000.0,False,0.0,14:27:49
48850.0,200,-400.0,0.0,SD,152400.0,316900.0,False,0.0,14:27:39
48850.0,700,-400.0,0.0,SD,152400.0,316700.0,False,0.0,14:25:54
48850.0,1000,-400.0,0.0,SD,152400.0,316000.0,False,50.0,14:25:40
48800.0,2700,-450.0,0.0,SD,152400.0,315000.0,False,0.0,14:25:12
48800.0,9600,-450.0,0.0,SD,152400.0,312300.0,True,-50.0,14:24:43
48850.0,500,-400.0,0.0,SD,152400.0,302700.0,False,50.0,14:24:43
48800.0,12900,-450.0,0.0,SD,152400.0,302200.0,True,-50.0,14:24:01
48850.0,100,-400.0,0.0,SD,152400.0,289300.0,False,0.0,14:24:01
48850.0,100,-400.0,0.0,SD,152400.0,289200.0,False,0.0,14:24:01
48850.0,100,-400.0,0.0,SD,152400.0,289100.0,False,0.0,14:24:01
48850.0,300,-400.0,0.0,SD,152400.0,289000.0,False,0.0,14:24:01
48850.0,100,-400.0,0.0,SD,152400.0,288700.0,False,0.0,14:24:01
48850.0,2000,-400.0,0.0,SD,152400.0,288600.0,False,0.0,14:24:01
48850.0,800,-400.0,0.0,SD,152400.0,286600.0,False,-50.0,14:24:01
48900.0,100,-350.0,0.0,SD,152400.0,285800.0,False,0.0,14:23:48
48900.0,1000,-350.0,0.0,SD,152400.0,285700.0,False,0.0,14:23:48
48900.0,500,-350.0,0.0,SD,152400.0,284700.0,False,0.0,14:23:48
48900.0,500,-350.0,0.0,SD,152400.0,284200.0,False,-50.0,14:23:48
48950.0,500,-300.0,0.0,SD,152400.0,283700.0,False,0.0,14:23:09
48950.0,1000,-300.0,0.0,SD,152400.0,283200.0,False,-50.0,14:22:48
49000.0,200,-250.0,0.0,SD,152400.0,282200.0,False,0.0,14:22:25
49000.0,100,-250.0,0.0,SD,152400.0,282000.0,False,0.0,14:22:25
49000.0,600,-250.0,0.0,BU,152400.0,281900.0,False,0.0,14:20:03
49000.0,300,-250.0,0.0,BU,151800.0,281900.0,False,0.0,14:17:01
49000.0,500,-250.0,0.0,BU,151500.0,281900.0,False,0.0,14:17:01
49000.0,100,-250.0,0.0,BU,151000.0,281900.0,False,0.0,14:15:19
49000.0,400,-250.0,0.0,BU,150900.0,281900.0,False,0.0,14:15:00
49000.0,200,-250.0,0.0,BU,150500.0,281900.0,False,0.0,14:13:26
49000.0,100,-250.0,0.0,BU,150300.0,281900.0,False,0.0,14:13:03
49000.0,3000,-250.0,0.0,BU,150200.0,281900.0,False,0.0,14:12:43
49000.0,100,-250.0,0.0,BU,147200.0,281900.0,False,0.0,14:12:43
49000.0,500,-250.0,0.0,BU,147100.0,281900.0,False,0.0,14:12:43
49000.0,100,-250.0,0.0,BU,146600.0,281900.0,False,-100.0,14:12:43
49100.0,300,-150.0,0.0,SD,146500.0,281900.0,False,0.0,14:12:12
49100.0,100,-150.0,0.0,BU,146500.0,281600.0,False,0.0,14:11:04
49100.0,100,-150.0,0.0,BU,146400.0,281600.0,False,0.0,14:10:58
49100.0,200,-150.0,0.0,SD,146300.0,281600.0,False,0.0,14:10:30
49100.0,100,-150.0,0.0,SD,146300.0,281400.0,False,-50.0,14:10:08
49150.0,100,-100.0,0.0,SD,146300.0,281300.0,False,-50.0,14:10:08
49200.0,200,-50.0,0.0,SD,146300.0,281200.0,False,-50.0,14:10:08
49250.0,100,0.0,0.0,SD,146300.0,281000.0,False,-50.0,14:10:08
49300.0,3000,50.0,0.0,BU,146300.0,280900.0,False,0.0,14:09:54
49300.0,100,50.0,0.0,BU,143300.0,280900.0,False,50.0,14:08:18
49250.0,200,0.0,0.0,BU,143200.0,280900.0,False,0.0,14:08:18
49250.0,200,0.0,0.0,BU,143000.0,280900.0,False,0.0,14:08:18
49250.0,1000,0.0,0.0,BU,142800.0,280900.0,False,0.0,14:08:18
49250.0,1000,0.0,0.0,BU,141800.0,280900.0,False,50.0,14:08:18
49200.0,600,-50.0,0.0,SD,140800.0,280900.0,False,0.0,14:08:13
49200.0,1400,-50.0,0.0,SD,140800.0,280300.0,False,0.0,14:08:13
49200.0,300,-50.0,0.0,SD,140800.0,278900.0,False,0.0,14:07:39
49200.0,100,-50.0,0.0,SD,140800.0,278600.0,False,0.0,14:07:19
49200.0,100,-50.0,0.0,SD,140800.0,278500.0,False,0.0,14:07:19
49200.0,200,-50.0,0.0,SD,140800.0,278400.0,False,0.0,14:07:19
49200.0,1000,-50.0,0.0,SD,140800.0,278200.0,False,0.0,14:07:19
49200.0,900,-50.0,0.0,SD,140800.0,277200.0,False,0.0,14:07:19
49200.0,400,-50.0,0.0,BU,140800.0,276300.0,False,0.0,14:07:13
49200.0,1200,-50.0,0.0,BU,140400.0,276300.0,False,0.0,14:07:02
49200.0,400,-50.0,0.0,BU,139200.0,276300.0,False,0.0,14:07:02
49200.0,200,-50.0,0.0,BU,138800.0,276300.0,False,50.0,14:07:02
49150.0,100,-100.0,0.0,SD,138600.0,276300.0,False,0.0,14:06:55
49150.0,300,-100.0,0.0,SD,138600.0,276200.0,False,0.0,14:06:45
49150.0,200,-100.0,0.0,SD,138600.0,275900.0,False,0.0,14:05:59
49150.0,100,-100.0,0.0,BU,138600.0,275700.0,False,0.0,14:05:25
49150.0,2000,-100.0,0.0,BU,138500.0,275700.0,False,50.0,14:05:25
49100.0,100,-150.0,0.0,SD,136500.0,275700.0,False,0.0,14:05:21
49100.0,100,-150.0,0.0,SD,136500.0,275600.0,False,0.0,14:05:10
49100.0,300,-150.0,0.0,SD,136500.0,275500.0,False,0.0,14:05:10
49100.0,100,-150.0,0.0,SD,136500.0,275200.0,False,0.0,14:04:14
49100.0,5000,-150.0,0.0,BU,136500.0,275100.0,True,0.0,14:01:35
