p,v,cp,rcp,a,ba,sa,hl,pcp,t
14750.0,200,150.0,0.0,BU,80600.0,95900.0,False,0.0,14:28:36
14750.0,300,150.0,0.0,BU,80400.0,95900.0,False,0.0,14:28:36
14750.0,500,150.0,0.0,BU,80100.0,95900.0,False,0.0,14:28:19
14750.0,200,150.0,0.0,SD,79600.0,95900.0,False,0.0,14:25:46
14750.0,300,150.0,0.0,SD,79600.0,95700.0,False,0.0,14:25:34
14750.0,500,150.0,0.0,BU,79600.0,95400.0,False,0.0,14:25:31
14750.0,100,150.0,0.0,SD,79100.0,95400.0,False,0.0,14:24:40
14750.0,200,150.0,0.0,SD,79100.0,95300.0,False,0.0,14:24:40
14750.0,200,150.0,0.0,BU,79100.0,95100.0,False,0.0,14:24:08
14750.0,400,150.0,0.0,BU,78900.0,95100.0,False,0.0,14:23:09
14750.0,100,150.0,0.0,BU,78500.0,95100.0,False,0.0,14:22:28
14750.0,1000,150.0,0.0,BU,78400.0,95100.0,False,50.0,14:21:01
14700.0,1400,100.0,0.0,SD,77400.0,95100.0,False,0.0,14:19:23
14700.0,300,100.0,0.0,SD,77400.0,93700.0,False,-50.0,14:19:23
14750.0,100,150.0,0.0,BU,77400.0,93400.0,False,0.0,14:18:57
14750.0,200,150.0,0.0,BU,77300.0,93400.0,False,-50.0,14:18:57
14800.0,400,200.0,0.0,BU,77100.0,93400.0,False,50.0,14:17:57
14750.0,500,150.0,0.0,SD,76700.0,93400.0,False,-50.0,14:17:56
14800.0,300,200.0,0.0,BU,76700.0,92900.0,False,50.0,14:16:32
14750.0,100,150.0,0.0,SD,76400.0,92900.0,False,-50.0,14:16:26
14800.0,500,200.0,0.0,BU,76400.0,92800.0,False,50.0,14:16:16
14750.0,500,150.0,0.0,SD,75900.0,92800.0,False,0.0,14:13:21
14750.0,100,150.0,0.0,SD,75900.0,92300.0,False,0.0,14:12:14
14750.0,500,150.0,0.0,SD,75900.0,92200.0,False,0.0,14:12:14
14750.0,200,150.0,0.0,SD,75900.0,91700.0,False,0.0,14:12:14
14750.0,100,150.0,0.0,SD,75900.0,91500.0,False,0.0,14:12:14
14750.0,500,150.0,0.0,BU,75900.0,91400.0,False,0.0,14:12:14
14750.0,500,150.0,0.0,BU,75400.0,91400.0,False,0.0,14:11:22
14750.0,600,150.0,0.0,BU,74900.0,91400.0,False,0.0,14:10:15
14750.0,200,150.0,0.0,BU,74300.0,91400.0,False,0.0,14:10:15
14750.0,500,150.0,0.0,BU,74100.0,91400.0,False,0.0,14:10:11
14750.0,100,150.0,0.0,BU,73600.0,91400.0,False,50.0,14:09:24
14700.0,1000,100.0,0.0,SD,73500.0,91400.0,False,-50.0,14:08:59
14750.0,200,150.0,0.0,BU,73500.0,90400.0,False,0.0,14:08:22
14750.0,800,150.0,0.0,BU,73300.0,90400.0,False,0.0,14:08:22
14750.0,200,150.0,0.0,BU,72500.0,90400.0,False,50.0,14:07:58
14700.0,500,100.0,0.0,BU,72300.0,90400.0,False,0.0,14:04:52
14700.0,2000,100.0,0.0,BU,67900.0,90400.0,False,50.0,13:59:54
14650.0,1000,50.0,0.0,SD,65900.0,90400.0,False,0.0,13:59:06
14650.0,400,50.0,0.0,SD,65900.0,89400.0,False,0.0,13:57:25
14650.0,300,50.0,0.0,BU,65900.0,89000.0,False,0.0,13:56:48
14650.0,1000,50.0,0.0,SD,65600.0,89000.0,False,0.0,13:56:23
14650.0,200,50.0,0.0,SD,65600.0,88000.0,False,0.0,13:56:23
14650.0,800,50.0,0.0,SD,65600.0,87800.0,False,0.0,13:56:23
14650.0,300,50.0,0.0,SD,65600.0,87000.0,False,-50.0,13:56:23
14700.0,500,100.0,0.0,BU,65600.0,86700.0,False,0.0,13:55:05
14700.0,100,100.0,0.0,BU,65100.0,86700.0,False,0.0,13:55:01
14700.0,1000,100.0,0.0,BU,65000.0,86700.0,False,0.0,13:54:41
14700.0,200,100.0,0.0,SD,64000.0,86700.0,False,0.0,13:52:54
14700.0,2300,100.0,0.0,SD,64000.0,86500.0,False,0.0,13:52:53
14700.0,300,100.0,0.0,SD,64000.0,84200.0,False,0.0,13:52:12
14700.0,600,100.0,0.0,BU,64000.0,83900.0,False,0.0,13:51:56
14700.0,6800,100.0,0.0,BU,63400.0,83900.0,False,50.0,13:51:56
14650.0,200,50.0,0.0,SD,56600.0,83900.0,False,0.0,13:51:27
14650.0,300,50.0,0.0,SD,56600.0,83700.0,False,0.0,13:51:27
14650.0,400,50.0,0.0,SD,56600.0,83400.0,False,0.0,13:49:25
14650.0,1000,50.0,0.0,SD,56600.0,83000.0,False,-50.0,13:49:14
14700.0,100,100.0,0.0,BU,56600.0,82000.0,False,0.0,13:48:28
14700.0,1500,100.0,0.0,BU,56500.0,82000.0,False,0.0,13:47:04
14700.0,100,100.0,0.0,SD,55000.0,82000.0,False,0.0,13:46:39
14700.0,1100,100.0,0.0,SD,55000.0,81900.0,False,0.0,13:46:39
14700.0,200,100.0,0.0,SD,55000.0,80800.0,False,0.0,13:46:39
14700.0,200,100.0,0.0,SD,55000.0,80600.0,False,0.0,13:46:39
14700.0,400,100.0,0.0,SD,55000.0,80400.0,False,0.0,13:46:13
14700.0,400,100.0,0.0,SD,55000.0,80000.0,False,0.0,13:44:00
14700.0,100,100.0,0.0,SD,55000.0,79600.0,False,0.0,13:44:00
14700.0,200,100.0,0.0,SD,55000.0,79500.0,False,0.0,13:43:41
14700.0,2000,100.0,0.0,SD,55000.0,79300.0,False,0.0,13:43:08
14700.0,100,100.0,0.0,SD,55000.0,77300.0,False,0.0,13:43:00
14700.0,2100,100.0,0.0,SD,55000.0,77200.0,False,0.0,13:42:46
14700.0,3100,100.0,0.0,SD,55000.0,75100.0,False,0.0,13:42:19
14700.0,200,100.0,0.0,SD,55000.0,72000.0,False,0.0,13:42:12
14700.0,100,100.0,0.0,SD,55000.0,71800.0,False,0.0,13:41:58
14700.0,200,100.0,0.0,BU,55000.0,71700.0,False,0.0,13:39:35
14700.0,200,100.0,0.0,BU,54800.0,71700.0,False,0.0,13:39:29
14700.0,1000,100.0,0.0,BU,54600.0,71700.0,False,0.0,13:38:34
14700.0,1000,100.0,0.0,BU,53600.0,71700.0,False,0.0,13:37:50
14700.0,500,100.0,0.0,BU,52600.0,71700.0,False,0.0,13:37:50
14700.0,500,100.0,0.0,BU,52100.0,71700.0,False,0.0,13:37:50
14700.0,1000,100.0,0.0,BU,51600.0,71700.0,False,0.0,13:37:50
14700.0,500,100.0,0.0,BU,50600.0,71700.0,False,0.0,13:37:50
14700.0,100,100.0,0.0,SD,50100.0,71700.0,False,0.0,13:37:50
14700.0,400,100.0,0.0,SD,50100.0,71600.0,False,0.0,13:35:36
14700.0,100,100.0,0.0,BU,50100.0,71200.0,False,0.0,13:35:13
14700.0,500,100.0,0.0,BU,50000.0,71200.0,False,0.0,13:35:13
14700.0,100,100.0,0.0,BU,49500.0,71200.0,False,0.0,13:35:13
14700.0,600,100.0,0.0,BU,49400.0,71200.0,False,0.0,13:34:55
14700.0,1000,100.0,0.0,BU,48800.0,71200.0,False,0.0,13:34:55
14700.0,1000,100.0,0.0,BU,47800.0,71200.0,False,0.0,13:34:55
14700.0,400,100.0,0.0,BU,46800.0,71200.0,False,50.0,13:34:55
14650.0,100,50.0,0.0,BU,46400.0,71200.0,False,0.0,13:33:29
14650.0,200,50.0,0.0,BU,46300.0,71200.0,False,50.0,13:33:29
14600.0,500,0.0,0.0,SD,46100.0,71200.0,False,0.0,13:28:51
14600.0,400,0.0,0.0,SD,46100.0,70700.0,False,0.0,13:28:08
14600.0,200,0.0,0.0,SD,46100.0,70300.0,False,0.0,13:27:25
14600.0,800,0.0,0.0,SD,46100.0,70100.0,False,0.0,13:27:24
14600.0,1800,0.0,0.0,SD,46100.0,69300.0,False,0.0,13:27:24
14600.0,400,0.0,0.0,SD,46100.0,67500.0,False,0.0,13:27:24
14600.0,100,0.0,0.0,SD,46100.0,67100.0,False,0.0,13:26:11
14600.0,1000,0.0,0.0,BU,46100.0,67000.0,False,50.0,13:23:36
14600.0,400,0.0,0.0,SD,46100.0,67500.0,False,0.0,13:27:24
14600.0,100,0.0,0.0,SD,46100.0,67100.0,False,0.0,13:26:11
14600.0,1000,0.0,0.0,BU,46100.0,67000.0,False,50.0,13:23:36
14550.0,600,-50.0,0.0,SD,45100.0,67000.0,False,0.0,13:10:26
14550.0,100,-50.0,0.0,SD,45100.0,66400.0,False,50.0,13:10:26
14500.0,700,-100.0,0.0,SD,45100.0,66300.0,False,0.0,13:00:16
14500.0,1100,-100.0,0.0,SD,45100.0,65600.0,False,0.0,13:00:06
14500.0,200,-100.0,0.0,SD,45100.0,64500.0,False,0.0,11:29:32
14500.0,500,-100.0,0.0,SD,45100.0,64300.0,False,-100.0,11:29:25
14600.0,800,0.0,0.0,SD,45100.0,63800.0,False,0.0,11:28:36
14600.0,2000,0.0,0.0,SD,45100.0,63000.0,False,0.0,11:27:47
14600.0,2200,0.0,0.0,SD,45100.0,61000.0,False,0.0,11:27:47
14600.0,200,0.0,0.0,BU,45100.0,58800.0,False,100.0,11:26:59
14500.0,600,-100.0,0.0,SD,44900.0,58800.0,False,-50.0,11:26:58
14550.0,1000,-50.0,0.0,SD,44900.0,58200.0,False,0.0,11:25:55
14550.0,400,-50.0,0.0,SD,44900.0,57200.0,False,0.0,11:25:55
14550.0,100,-50.0,0.0,SD,44900.0,56800.0,False,0.0,11:25:24
14550.0,400,-50.0,0.0,SD,44900.0,56700.0,False,0.0,11:22:34
14550.0,500,-50.0,0.0,SD,44900.0,56300.0,False,0.0,11:22:34
14550.0,1000,-50.0,0.0,SD,44900.0,55800.0,False,0.0,11:22:34
14550.0,100,-50.0,0.0,SD,44900.0,54800.0,False,-50.0,11:22:34
14600.0,500,0.0,0.0,BU,44900.0,54700.0,False,0.0,11:15:55
14600.0,100,0.0,0.0,BU,44400.0,54700.0,False,0.0,11:15:02
14600.0,300,0.0,0.0,BU,44300.0,54700.0,False,0.0,11:12:26
14600.0,300,0.0,0.0,SD,44000.0,54700.0,False,0.0,11:12:26
14600.0,100,0.0,0.0,SD,44000.0,54400.0,False,0.0,11:12:26
14600.0,100,0.0,0.0,SD,44000.0,54300.0,False,0.0,11:12:26
14600.0,100,0.0,0.0,SD,44000.0,54200.0,False,0.0,11:12:26
14600.0,1000,0.0,0.0,SD,44000.0,54100.0,False,-50.0,11:12:26
14650.0,200,50.0,0.0,BU,44000.0,53100.0,False,0.0,10:57:59
14650.0,100,50.0,0.0,BU,43800.0,53100.0,False,0.0,10:57:59
14650.0,100,50.0,0.0,BU,43700.0,53100.0,False,0.0,10:56:20
14650.0,500,50.0,0.0,BU,43600.0,53100.0,False,0.0,10:55:48
14650.0,100,50.0,0.0,BU,43100.0,53100.0,False,0.0,10:46:46
14650.0,500,50.0,0.0,BU,43000.0,53100.0,False,0.0,10:46:12
14650.0,1900,50.0,0.0,BU,42500.0,53100.0,False,0.0,10:40:07
14650.0,100,50.0,0.0,SD,40600.0,53100.0,False,-50.0,10:39:24
14700.0,500,100.0,0.0,BU,40600.0,53000.0,False,0.0,10:34:58
14700.0,100,100.0,0.0,BU,40100.0,53000.0,False,0.0,10:34:58
14700.0,2500,100.0,0.0,SD,40000.0,53000.0,False,0.0,10:29:19
14700.0,6800,100.0,0.0,SD,40000.0,50500.0,False,0.0,10:29:19
14700.0,700,100.0,0.0,SD,40000.0,43700.0,False,0.0,10:29:19
14700.0,100,100.0,0.0,SD,40000.0,43000.0,False,0.0,10:18:48
14700.0,100,100.0,0.0,SD,40000.0,42900.0,False,0.0,10:14:21
14700.0,900,100.0,0.0,SD,40000.0,42800.0,False,0.0,10:10:17
14700.0,1000,100.0,0.0,SD,40000.0,41900.0,False,0.0,10:10:10
14700.0,200,100.0,0.0,SD,40000.0,40900.0,False,0.0,10:06:31
14700.0,100,100.0,0.0,SD,40000.0,40700.0,False,-50.0,10:04:45
14750.0,900,150.0,0.0,BU,40000.0,40600.0,False,0.0,09:54:54
14750.0,600,150.0,0.0,BU,39100.0,40600.0,False,0.0,09:54:54
14750.0,3000,150.0,0.0,SD,38500.0,40600.0,False,0.0,09:49:35
14750.0,200,150.0,0.0,SD,38500.0,37600.0,False,0.0,09:49:35
14750.0,2200,150.0,0.0,SD,38500.0,37400.0,False,0.0,09:49:35
14750.0,100,150.0,0.0,SD,38500.0,35200.0,False,0.0,09:43:41
14750.0,5000,150.0,0.0,SD,38500.0,35100.0,False,0.0,09:42:34
14750.0,12700,150.0,0.0,SD,38500.0,30100.0,False,0.0,09:41:52
14750.0,2300,150.0,0.0,SD,38500.0,17400.0,False,0.0,09:41:52
14750.0,5100,150.0,0.0,SD,38500.0,15100.0,False,0.0,09:37:49
14750.0,900,150.0,0.0,SD,38500.0,10000.0,False,0.0,09:36:53
14750.0,700,150.0,0.0,SD,38500.0,9100.0,False,0.0,09:36:20
14750.0,500,150.0,0.0,SD,38500.0,8400.0,False,0.0,09:33:59
14750.0,100,150.0,0.0,SD,38500.0,7900.0,False,0.0,09:32:53
