p,v,cp,rcp,a,ba,sa,hl,pcp,t
56900.0,500,400.0,0.0,SD,295100.0,457200.0,False,0.0,14:29:36
56900.0,1400,400.0,0.0,SD,295100.0,456700.0,False,100.0,14:29:28
56800.0,1600,300.0,0.0,SD,295100.0,455300.0,False,0.0,14:29:19
56800.0,6400,300.0,0.0,SD,295100.0,453700.0,True,-100.0,14:29:19
56900.0,100,400.0,0.0,BU,295100.0,447300.0,False,0.0,14:29:17
56900.0,500,400.0,0.0,BU,295000.0,447300.0,False,0.0,14:28:17
56900.0,100,400.0,0.0,BU,294500.0,447300.0,False,0.0,14:28:17
56900.0,1100,400.0,0.0,BU,294400.0,447300.0,False,0.0,14:28:17
56900.0,100,400.0,0.0,BU,293300.0,447300.0,False,100.0,14:28:17
56800.0,100,300.0,0.0,SD,293200.0,447300.0,False,0.0,14:28:08
56800.0,400,300.0,0.0,SD,293200.0,447200.0,False,0.0,14:27:57
56800.0,200,300.0,0.0,SD,293200.0,446800.0,False,0.0,14:27:18
56800.0,100,300.0,0.0,SD,293200.0,446600.0,False,0.0,14:27:13
56800.0,3300,300.0,0.0,SD,293200.0,446500.0,False,0.0,14:26:44
56800.0,1700,300.0,0.0,SD,293200.0,443200.0,False,0.0,14:26:44
56800.0,1500,300.0,0.0,SD,293200.0,441500.0,False,0.0,14:26:38
56800.0,300,300.0,0.0,SD,293200.0,440000.0,False,-100.0,14:26:33
56900.0,1000,400.0,0.0,BU,293200.0,439700.0,False,0.0,14:25:44
56900.0,500,400.0,0.0,SD,292200.0,439700.0,False,0.0,14:24:56
56900.0,2500,400.0,0.0,SD,292200.0,439200.0,False,0.0,14:24:48
56900.0,5000,400.0,0.0,SD,292200.0,436700.0,True,0.0,14:24:48
56900.0,1300,400.0,0.0,SD,292200.0,431700.0,False,0.0,14:24:48
56900.0,2700,400.0,0.0,SD,292200.0,430400.0,False,0.0,14:24:48
56900.0,100,400.0,0.0,SD,292200.0,427700.0,False,0.0,14:24:48
56900.0,100,400.0,0.0,SD,292200.0,427600.0,False,0.0,14:24:48
56900.0,300,400.0,0.0,SD,292200.0,427500.0,False,0.0,14:24:48
56900.0,100,400.0,0.0,SD,292200.0,427200.0,False,0.0,14:24:44
56900.0,500,400.0,0.0,SD,292200.0,427100.0,False,0.0,14:24:21
56900.0,4400,400.0,0.0,SD,292200.0,426600.0,True,0.0,14:23:38
56900.0,400,400.0,0.0,SD,292200.0,422200.0,False,0.0,14:23:36
56900.0,500,400.0,0.0,SD,292200.0,421800.0,False,0.0,14:23:36
56900.0,100,400.0,0.0,SD,292200.0,421300.0,False,0.0,14:20:30
56900.0,300,400.0,0.0,SD,292200.0,421200.0,False,0.0,14:18:48
56900.0,500,400.0,0.0,SD,292200.0,420900.0,False,0.0,14:16:47
56900.0,100,400.0,0.0,SD,292200.0,420400.0,False,0.0,14:16:36
56900.0,900,400.0,0.0,SD,292200.0,420300.0,False,0.0,14:16:29
56900.0,1100,400.0,0.0,SD,292200.0,419400.0,False,0.0,14:16:20
56900.0,3900,400.0,0.0,SD,292200.0,418300.0,True,0.0,14:16:20
56900.0,1900,400.0,0.0,SD,292200.0,414400.0,False,0.0,14:15:57
56900.0,100,400.0,0.0,SD,292200.0,412500.0,False,-100.0,14:15:57
57000.0,1100,500.0,0.0,SD,292200.0,412400.0,False,0.0,14:14:14
57000.0,400,500.0,0.0,SD,292200.0,411300.0,False,0.0,14:12:29
57000.0,100,500.0,0.0,SD,292200.0,410900.0,False,0.0,14:12:29
57000.0,1000,500.0,0.0,SD,292200.0,410800.0,False,0.0,14:12:29
57000.0,4600,500.0,0.0,SD,292200.0,409800.0,True,0.0,14:12:29
57000.0,1000,500.0,0.0,SD,292200.0,405200.0,False,0.0,14:12:29
57000.0,1900,500.0,0.0,SD,292200.0,404200.0,False,0.0,14:12:29
57000.0,2000,500.0,0.0,SD,292200.0,402300.0,False,-100.0,14:12:21
57100.0,1400,600.0,0.0,SD,292200.0,400300.0,False,0.0,14:12:08
57100.0,100,600.0,0.0,SD,292200.0,398900.0,False,0.0,14:12:04
57100.0,100,600.0,0.0,SD,292200.0,398800.0,False,0.0,14:11:47
57100.0,1900,600.0,0.0,SD,292200.0,398700.0,False,-100.0,14:11:37
