p,v,cp,rcp,a,ba,sa,hl,pcp,t
6100.0,500,-100.0,0.0,SD,755700.0,749400.0,False,0.0,14:29:59
6100.0,400,-100.0,0.0,SD,755700.0,748900.0,False,50.0,14:29:59
6050.0,1000,-150.0,0.0,SD,755700.0,748500.0,False,-50.0,14:29:58
6100.0,100,-100.0,0.0,BU,755700.0,747500.0,False,0.0,14:29:40
6100.0,5000,-100.0,0.0,BU,755600.0,747500.0,False,90.0,14:29:10
6010.0,200,-190.0,0.0,SD,750600.0,747500.0,False,0.0,14:28:45
6010.0,2800,-190.0,0.0,SD,750600.0,747300.0,False,-10.0,14:28:39
6020.0,1200,-180.0,0.0,SD,750600.0,744500.0,False,20.0,14:28:39
6000.0,500,-200.0,0.0,SD,750600.0,743300.0,False,0.0,14:27:26
6000.0,800,-200.0,0.0,SD,750600.0,742800.0,False,0.0,14:27:26
6000.0,1200,-200.0,0.0,BU,750600.0,742000.0,False,0.0,14:27:20
6000.0,2800,-200.0,0.0,BU,749400.0,742000.0,False,0.0,14:27:20
6000.0,500,-200.0,0.0,BU,746600.0,742000.0,False,0.0,14:27:19
6000.0,1700,-200.0,0.0,BU,746100.0,742000.0,False,0.0,14:27:18
6000.0,2100,-200.0,0.0,BU,744400.0,742000.0,False,0.0,14:27:18
6000.0,2000,-200.0,0.0,BU,742300.0,742000.0,False,0.0,14:26:46
6000.0,100,-200.0,0.0,BU,740300.0,742000.0,False,0.0,14:26:41
6000.0,100,-200.0,0.0,BU,740200.0,742000.0,False,0.0,14:26:20
6000.0,700,-200.0,0.0,BU,740100.0,742000.0,False,0.0,14:26:07
6000.0,2300,-200.0,0.0,BU,739400.0,742000.0,False,0.0,14:25:58
6000.0,1500,-200.0,0.0,BU,737100.0,742000.0,False,0.0,14:25:50
6000.0,1800,-200.0,0.0,SD,735600.0,742000.0,False,0.0,14:25:43
6000.0,1000,-200.0,0.0,SD,735600.0,740200.0,False,0.0,14:25:25
6000.0,200,-200.0,0.0,BU,735600.0,739200.0,False,0.0,14:25:00
6000.0,2600,-200.0,0.0,SD,735400.0,739200.0,False,0.0,14:24:52
6000.0,500,-200.0,0.0,SD,735400.0,736600.0,False,0.0,14:24:52
6000.0,400,-200.0,0.0,SD,735400.0,736100.0,False,0.0,14:24:52
6000.0,400,-200.0,0.0,SD,735400.0,735700.0,False,0.0,14:24:52
6000.0,600,-200.0,0.0,SD,735400.0,735300.0,False,-20.0,14:24:52
6020.0,4000,-180.0,0.0,SD,735400.0,734700.0,False,-30.0,14:24:52
6050.0,6600,-150.0,0.0,BU,735400.0,730700.0,False,0.0,14:24:34
6050.0,900,-150.0,0.0,BU,728800.0,730700.0,False,-10.0,14:24:34
6060.0,5000,-140.0,0.0,BU,727900.0,730700.0,False,-20.0,14:24:34
6080.0,2700,-120.0,0.0,BU,722900.0,730700.0,False,-20.0,14:24:34
6100.0,500,-100.0,0.0,BU,720200.0,730700.0,False,-10.0,14:24:34
6110.0,2000,-90.0,0.0,BU,719700.0,730700.0,False,-10.0,14:24:34
6120.0,2000,-80.0,0.0,BU,717700.0,730700.0,False,-10.0,14:24:34
6130.0,100,-70.0,0.0,BU,715700.0,730700.0,False,-10.0,14:24:34
6140.0,200,-60.0,0.0,BU,715600.0,730700.0,False,-10.0,14:24:12
6150.0,100,-50.0,0.0,SD,715400.0,730700.0,False,0.0,14:22:24
6150.0,2200,-50.0,0.0,SD,715400.0,730600.0,False,-10.0,14:22:24
6160.0,500,-40.0,0.0,BU,715400.0,728400.0,False,0.0,14:22:20
6160.0,2000,-40.0,0.0,BU,714900.0,728400.0,False,0.0,14:22:09
6160.0,2400,-40.0,0.0,SD,712900.0,728400.0,False,0.0,14:22:00
6160.0,600,-40.0,0.0,SD,712900.0,726000.0,False,0.0,14:21:35
6160.0,1300,-40.0,0.0,BU,712900.0,725400.0,False,0.0,14:21:24
6160.0,200,-40.0,0.0,SD,711600.0,725400.0,False,-10.0,14:21:24
6170.0,100,-30.0,0.0,SD,711600.0,725200.0,False,0.0,14:21:24
6170.0,1000,-30.0,0.0,SD,711600.0,725100.0,False,-10.0,14:21:21
6180.0,1300,-20.0,0.0,SD,711600.0,724100.0,False,0.0,14:20:15
6180.0,200,-20.0,0.0,SD,711600.0,722800.0,False,0.0,14:19:44
6180.0,800,-20.0,0.0,SD,711600.0,722600.0,False,-20.0,14:19:44
6200.0,400,0.0,0.0,BU,711600.0,721800.0,False,0.0,14:19:20
6200.0,100,0.0,0.0,BU,711200.0,721800.0,False,0.0,14:18:42
6200.0,2800,0.0,0.0,BU,711100.0,721800.0,False,0.0,14:18:25
6200.0,200,0.0,0.0,BU,708300.0,721800.0,False,20.0,14:18:25
6180.0,100,-20.0,0.0,SD,708100.0,721800.0,False,-20.0,14:18:17
6200.0,800,0.0,0.0,BU,708100.0,721700.0,False,0.0,14:17:45
6200.0,2200,0.0,0.0,BU,707300.0,721700.0,False,20.0,14:17:45
6180.0,1100,-20.0,0.0,BU,705100.0,721700.0,False,0.0,14:16:20
6180.0,1900,-20.0,0.0,BU,704000.0,721700.0,False,0.0,14:16:12
6180.0,100,-20.0,0.0,BU,702100.0,721700.0,False,0.0,14:16:12
6180.0,100,-20.0,0.0,BU,702000.0,721700.0,False,0.0,14:15:42
6180.0,100,-20.0,0.0,BU,701900.0,721700.0,False,0.0,14:15:25
6180.0,700,-20.0,0.0,BU,701800.0,721700.0,False,-20.0,14:15:25
6200.0,1500,0.0,0.0,BU,701100.0,721700.0,False,20.0,14:15:24
6180.0,800,-20.0,0.0,SD,699600.0,721700.0,False,0.0,14:15:13
6180.0,500,-20.0,0.0,BU,699600.0,720900.0,False,0.0,14:15:02
6180.0,100,-20.0,0.0,BU,699100.0,720900.0,False,0.0,14:14:59
6180.0,1400,-20.0,0.0,SD,699000.0,720900.0,False,0.0,14:14:39
6180.0,600,-20.0,0.0,BU,699000.0,719500.0,False,0.0,14:14:25
6180.0,5000,-20.0,0.0,SD,698400.0,719500.0,False,-10.0,14:14:05
6190.0,4400,-10.0,0.0,SD,698400.0,714500.0,False,-10.0,14:14:05
6200.0,300,0.0,0.0,SD,698400.0,710100.0,False,0.0,14:13:45
6200.0,1000,0.0,0.0,SD,698400.0,709800.0,False,0.0,14:13:45
6200.0,10100,0.0,0.0,SD,698400.0,708800.0,False,10.0,14:13:36
6190.0,22000,-10.0,0.0,SD,698400.0,698700.0,False,-10.0,14:13:15
6200.0,4000,0.0,0.0,BU,698400.0,676700.0,False,0.0,14:13:15
6200.0,4000,0.0,0.0,BU,694400.0,676700.0,False,0.0,14:13:11
6200.0,500,0.0,0.0,BU,690400.0,676700.0,False,0.0,14:12:58
6200.0,3000,0.0,0.0,BU,689900.0,676700.0,False,0.0,14:12:58
6200.0,2100,0.0,0.0,BU,686900.0,676700.0,False,0.0,14:12:58
6200.0,5400,0.0,0.0,BU,684800.0,676700.0,False,0.0,14:12:58
6200.0,100,0.0,0.0,SD,679400.0,676700.0,False,0.0,14:12:26
6200.0,500,0.0,0.0,SD,679400.0,676600.0,False,0.0,14:12:23
6200.0,1100,0.0,0.0,SD,679400.0,676100.0,False,0.0,14:12:11
6200.0,200,0.0,0.0,SD,679400.0,675000.0,False,0.0,14:12:11
6200.0,200,0.0,0.0,SD,679400.0,674800.0,False,0.0,14:12:11
6200.0,2800,0.0,0.0,SD,679400.0,674600.0,False,0.0,14:11:59
6200.0,100,0.0,0.0,SD,679400.0,671800.0,False,-10.0,14:11:59
6210.0,100,10.0,0.0,BU,679400.0,671700.0,False,20.0,14:11:59
6190.0,34400,-10.0,0.0,SD,679300.0,671700.0,True,0.0,14:10:30
6190.0,1000,-10.0,0.0,SD,679300.0,637300.0,False,0.0,14:10:15
6190.0,8200,-10.0,0.0,BU,679300.0,636300.0,False,0.0,14:09:28
6190.0,9000,-10.0,0.0,SD,671100.0,636300.0,False,0.0,14:09:16
6190.0,1000,-10.0,0.0,SD,671100.0,627300.0,False,0.0,14:09:08
6190.0,300,-10.0,0.0,SD,671100.0,626300.0,False,0.0,14:08:40
6190.0,1800,-10.0,0.0,SD,671100.0,626000.0,False,0.0,14:08:37
6190.0,2000,-10.0,0.0,SD,671100.0,624200.0,False,0.0,14:08:37
6190.0,700,-10.0,0.0,SD,671100.0,622200.0,False,0.0,14:08:37
6190.0,100,-10.0,0.0,BU,671100.0,621500.0,False,0.0,14:08:31
6190.0,200,-10.0,0.0,BU,671000.0,621500.0,False,0.0,14:08:03
6190.0,2000,-10.0,0.0,BU,670800.0,621500.0,False,-10.0,14:06:51
6200.0,4000,0.0,0.0,BU,668800.0,621500.0,False,10.0,14:05:52
6190.0,1000,-10.0,0.0,BU,664800.0,621500.0,False,0.0,14:05:52
6190.0,1000,-10.0,0.0,SD,663800.0,621500.0,False,-10.0,14:05:41
6200.0,10000,0.0,0.0,BU,663800.0,620500.0,False,0.0,14:05:37
6200.0,28100,0.0,0.0,BU,653800.0,620500.0,False,0.0,14:05:25
6200.0,1000,0.0,0.0,BU,625700.0,620500.0,False,0.0,14:05:25
6200.0,900,0.0,0.0,BU,624700.0,620500.0,False,0.0,14:05:25
6200.0,500,0.0,0.0,BU,623800.0,620500.0,False,0.0,14:05:24
6200.0,100,0.0,0.0,BU,623300.0,620500.0,False,0.0,14:05:07
6200.0,3000,0.0,0.0,BU,623200.0,620500.0,False,0.0,14:05:05
6200.0,5500,0.0,0.0,BU,620200.0,620500.0,False,0.0,14:04:44
6200.0,100,0.0,0.0,BU,614700.0,620500.0,False,0.0,14:04:44
6200.0,1000,0.0,0.0,BU,614600.0,620500.0,False,0.0,14:04:44
6200.0,100,0.0,0.0,BU,613600.0,620500.0,False,0.0,14:04:44
6200.0,5500,0.0,0.0,BU,613500.0,620500.0,False,10.0,14:04:44
6190.0,1000,-10.0,0.0,SD,608000.0,620500.0,False,-10.0,14:04:34
6200.0,900,0.0,0.0,BU,608000.0,619500.0,False,10.0,14:04:29
6190.0,1300,-10.0,0.0,BU,607100.0,619500.0,False,0.0,14:04:25
6190.0,600,-10.0,0.0,BU,605800.0,619500.0,False,0.0,14:04:20
6190.0,100,-10.0,0.0,BU,605200.0,619500.0,False,-10.0,14:04:19
6070.0,1000,-130.0,0.0,BU,538800.0,610500.0,False,0.0,14:01:54
6070.0,500,-130.0,0.0,BU,537800.0,610500.0,False,10.0,14:01:44
6060.0,2400,-140.0,0.0,SD,537300.0,610500.0,False,0.0,14:01:24
6060.0,500,-140.0,0.0,BU,537300.0,608100.0,False,0.0,14:01:24
6060.0,200,-140.0,0.0,BU,536800.0,608100.0,False,0.0,14:01:24
6060.0,100,-140.0,0.0,BU,536600.0,608100.0,False,0.0,14:01:07
6060.0,100,-140.0,0.0,BU,536500.0,608100.0,False,0.0,14:00:57
6060.0,100,-140.0,0.0,BU,536400.0,608100.0,False,10.0,14:00:57
6050.0,4100,-150.0,0.0,BU,536300.0,608100.0,False,50.0,14:00:34
6000.0,600,-200.0,0.0,SD,532200.0,608100.0,False,-50.0,14:00:13
6050.0,3900,-150.0,0.0,BU,532200.0,607500.0,False,0.0,14:00:11
6050.0,1100,-150.0,0.0,BU,528300.0,607500.0,False,50.0,14:00:11
6000.0,1300,-200.0,0.0,BU,527200.0,607500.0,False,0.0,13:59:39
6000.0,1000,-200.0,0.0,BU,525900.0,607500.0,False,0.0,13:59:32
6000.0,700,-200.0,0.0,BU,524900.0,607500.0,False,0.0,13:59:29
6000.0,600,-200.0,0.0,BU,524200.0,607500.0,False,0.0,13:59:29
6000.0,100,-200.0,0.0,BU,523600.0,607500.0,False,0.0,13:59:27
6000.0,1000,-200.0,0.0,BU,523500.0,607500.0,False,0.0,13:59:25
6000.0,300,-200.0,0.0,BU,522500.0,607500.0,False,10.0,13:59:14
5990.0,5000,-210.0,0.0,SD,522200.0,607500.0,False,0.0,13:58:58
5990.0,1600,-210.0,0.0,SD,522200.0,602500.0,False,0.0,13:58:50
5990.0,24400,-210.0,0.0,BU,522200.0,600900.0,False,0.0,13:58:50
5990.0,1000,-210.0,0.0,BU,497800.0,600900.0,False,0.0,13:58:46
5990.0,1000,-210.0,0.0,BU,496800.0,600900.0,False,0.0,13:58:37
5990.0,200,-210.0,0.0,BU,495800.0,600900.0,False,0.0,13:58:28
5990.0,10000,-210.0,0.0,BU,495600.0,600900.0,False,0.0,13:58:27
5990.0,2000,-210.0,0.0,BU,485600.0,600900.0,False,10.0,13:58:24
5980.0,100,-220.0,0.0,BU,483600.0,600900.0,False,0.0,13:58:15
5980.0,1100,-220.0,0.0,BU,483500.0,600900.0,False,0.0,13:58:13
5980.0,900,-220.0,0.0,BU,482400.0,600900.0,False,0.0,13:58:13
5980.0,1000,-220.0,0.0,BU,481500.0,600900.0,False,0.0,13:58:13
5980.0,1000,-220.0,0.0,BU,480500.0,600900.0,False,10.0,13:58:00
5970.0,800,-230.0,0.0,BU,479500.0,600900.0,False,0.0,13:57:46
5970.0,200,-230.0,0.0,BU,478700.0,600900.0,False,0.0,13:57:14
5970.0,400,-230.0,0.0,BU,478500.0,600900.0,False,0.0,13:57:14
5970.0,9400,-230.0,0.0,BU,478100.0,600900.0,False,30.0,13:57:14
5940.0,100,-260.0,0.0,BU,468700.0,600900.0,False,10.0,13:56:55
5930.0,1000,-270.0,0.0,BU,468600.0,600900.0,False,0.0,13:54:49
5930.0,2600,-270.0,0.0,BU,467600.0,600900.0,False,10.0,13:54:49
5920.0,800,-280.0,0.0,SD,465000.0,600900.0,False,0.0,13:54:49
5920.0,200,-280.0,0.0,SD,465000.0,600100.0,False,-10.0,13:54:49
5930.0,1000,-270.0,0.0,BU,465000.0,599900.0,False,0.0,13:54:49
5930.0,200,-270.0,0.0,BU,464000.0,599900.0,False,0.0,13:54:48
5930.0,600,-270.0,0.0,BU,463800.0,599900.0,False,0.0,13:54:44
5930.0,1000,-270.0,0.0,BU,463200.0,599900.0,False,0.0,13:54:40
5930.0,7000,-270.0,0.0,BU,462200.0,599900.0,False,0.0,13:54:34
5930.0,3000,-270.0,0.0,BU,455200.0,599900.0,False,0.0,13:54:31
5930.0,300,-270.0,0.0,BU,452200.0,599900.0,False,0.0,13:54:19
5930.0,100,-270.0,0.0,BU,451900.0,599900.0,False,0.0,13:54:17
5930.0,500,-270.0,0.0,BU,451800.0,599900.0,False,0.0,13:54:02
5930.0,100,-270.0,0.0,BU,451300.0,599900.0,False,10.0,13:53:49
5920.0,200,-280.0,0.0,BU,451200.0,599900.0,False,0.0,13:52:55
5920.0,100,-280.0,0.0,BU,451000.0,599900.0,False,0.0,13:52:52
5920.0,100,-280.0,0.0,SD,450900.0,599900.0,False,0.0,13:52:34
5920.0,500,-280.0,0.0,SD,450900.0,599800.0,False,0.0,13:52:34
5920.0,1000,-280.0,0.0,SD,450900.0,599300.0,False,0.0,13:52:34
5920.0,100,-280.0,0.0,SD,450900.0,598300.0,False,-10.0,13:52:34
5930.0,2000,-270.0,0.0,BU,450900.0,598200.0,False,0.0,13:52:14
5930.0,3800,-270.0,0.0,SD,448900.0,598200.0,False,0.0,13:52:10
5930.0,1000,-270.0,0.0,SD,448900.0,594400.0,False,0.0,13:52:10
5930.0,800,-270.0,0.0,SD,448900.0,593400.0,False,0.0,13:52:10
5930.0,2000,-270.0,0.0,BU,448900.0,592600.0,False,0.0,13:50:52
5930.0,7200,-270.0,0.0,BU,446900.0,592600.0,False,0.0,13:50:52
5930.0,1000,-270.0,0.0,SD,439700.0,592600.0,False,0.0,13:49:53
5930.0,1800,-270.0,0.0,SD,439700.0,591600.0,False,0.0,13:49:53
5930.0,3200,-270.0,0.0,BU,439700.0,589800.0,False,0.0,13:49:17
5930.0,2600,-270.0,0.0,BU,436500.0,589800.0,False,0.0,13:49:14
5930.0,200,-270.0,0.0,BU,433900.0,589800.0,False,0.0,13:49:03
5930.0,4800,-270.0,0.0,BU,433700.0,589800.0,False,10.0,13:49:03
5920.0,2200,-280.0,0.0,SD,428900.0,589800.0,False,-10.0,13:47:17
5930.0,100,-270.0,0.0,BU,428900.0,587600.0,False,0.0,13:47:09
5930.0,2000,-270.0,0.0,BU,428800.0,587600.0,False,0.0,13:47:09
5930.0,100,-270.0,0.0,BU,426800.0,587600.0,False,0.0,13:47:09
5930.0,10000,-270.0,0.0,BU,426700.0,587600.0,False,-20.0,13:47:09
5950.0,3000,-250.0,0.0,BU,416700.0,587600.0,False,20.0,13:47:09
5930.0,3500,-270.0,0.0,BU,413700.0,587600.0,False,0.0,13:46:16
5930.0,1500,-270.0,0.0,BU,410200.0,587600.0,False,0.0,13:46:16
5930.0,7000,-270.0,0.0,BU,462200.0,599900.0,False,0.0,13:54:34
5930.0,3000,-270.0,0.0,BU,455200.0,599900.0,False,0.0,13:54:31
5930.0,300,-270.0,0.0,BU,452200.0,599900.0,False,0.0,13:54:19
5930.0,100,-270.0,0.0,BU,451900.0,599900.0,False,0.0,13:54:17
5930.0,500,-270.0,0.0,BU,451800.0,599900.0,False,0.0,13:54:02
5930.0,100,-270.0,0.0,BU,451300.0,599900.0,False,10.0,13:53:49
5920.0,200,-280.0,0.0,BU,451200.0,599900.0,False,0.0,13:52:55
5920.0,100,-280.0,0.0,BU,451000.0,599900.0,False,0.0,13:52:52
5920.0,100,-280.0,0.0,SD,450900.0,599900.0,False,0.0,13:52:34
5920.0,500,-280.0,0.0,SD,450900.0,599800.0,False,0.0,13:52:34
5920.0,1000,-280.0,0.0,SD,450900.0,599300.0,False,0.0,13:52:34
5920.0,100,-280.0,0.0,SD,450900.0,598300.0,False,-10.0,13:52:34
5930.0,2000,-270.0,0.0,BU,450900.0,598200.0,False,0.0,13:52:14
5930.0,3800,-270.0,0.0,SD,448900.0,598200.0,False,0.0,13:52:10
5930.0,1000,-270.0,0.0,SD,448900.0,594400.0,False,0.0,13:52:10
5930.0,800,-270.0,0.0,SD,448900.0,593400.0,False,0.0,13:52:10
5930.0,2000,-270.0,0.0,BU,448900.0,592600.0,False,0.0,13:50:52
5930.0,7200,-270.0,0.0,BU,446900.0,592600.0,False,0.0,13:50:52
5930.0,1000,-270.0,0.0,SD,439700.0,592600.0,False,0.0,13:49:53
5930.0,1800,-270.0,0.0,SD,439700.0,591600.0,False,0.0,13:49:53
5930.0,3200,-270.0,0.0,BU,439700.0,589800.0,False,0.0,13:49:17
5930.0,2600,-270.0,0.0,BU,436500.0,589800.0,False,0.0,13:49:14
5930.0,200,-270.0,0.0,BU,433900.0,589800.0,False,0.0,13:49:03
5930.0,4800,-270.0,0.0,BU,433700.0,589800.0,False,10.0,13:49:03
5920.0,2200,-280.0,0.0,SD,428900.0,589800.0,False,-10.0,13:47:17
5930.0,100,-270.0,0.0,BU,428900.0,587600.0,False,0.0,13:47:09
5930.0,2000,-270.0,0.0,BU,428800.0,587600.0,False,0.0,13:47:09
5930.0,100,-270.0,0.0,BU,426800.0,587600.0,False,0.0,13:47:09
5930.0,10000,-270.0,0.0,BU,426700.0,587600.0,False,-20.0,13:47:09
5950.0,3000,-250.0,0.0,BU,416700.0,587600.0,False,20.0,13:47:09
5930.0,3500,-270.0,0.0,BU,413700.0,587600.0,False,0.0,13:46:16
5930.0,1500,-270.0,0.0,BU,410200.0,587600.0,False,0.0,13:46:16
5930.0,5000,-270.0,0.0,BU,408700.0,587600.0,False,10.0,13:46:04
5920.0,4900,-280.0,0.0,SD,403700.0,587600.0,False,0.0,13:45:57
5920.0,5900,-280.0,0.0,SD,403700.0,582700.0,False,-10.0,13:45:45
