p,v,cp,rcp,a,ba,sa,hl,pcp,t
58400.0,100,-100.0,0.0,BU,75200.0,6500.0,False,200.0,14:04:14
58200.0,300,-300.0,0.0,BU,75100.0,6500.0,False,100.0,14:03:31
58100.0,200,-400.0,0.0,BU,74800.0,6500.0,False,400.0,14:03:05
57700.0,100,-800.0,0.0,SD,74600.0,6500.0,False,0.0,13:54:09
57700.0,100,-800.0,0.0,SD,74600.0,6400.0,False,0.0,11:25:24
57700.0,400,-800.0,0.0,SD,74600.0,6300.0,False,-100.0,11:25:24
57800.0,500,-700.0,0.0,SD,74600.0,5900.0,False,-600.0,11:05:43
58400.0,100,-100.0,0.0,BU,74600.0,5400.0,False,600.0,10:56:32
57800.0,100,-700.0,0.0,SD,74500.0,5400.0,False,0.0,10:52:52
57800.0,1000,-700.0,0.0,SD,74500.0,5300.0,False,0.0,10:42:35
57800.0,700,-700.0,0.0,SD,74500.0,4300.0,False,0.0,10:40:00
57800.0,2000,-700.0,0.0,SD,74500.0,3600.0,False,0.0,10:39:48
57800.0,700,-700.0,0.0,SD,74500.0,1600.0,False,0.0,10:36:51
57800.0,300,-700.0,0.0,SD,74500.0,900.0,False,-500.0,10:36:51
58300.0,500,-200.0,0.0,BU,74500.0,600.0,False,-100.0,10:34:03
58400.0,300,-100.0,0.0,BU,74000.0,600.0,False,100.0,10:27:58
58300.0,500,-200.0,0.0,BU,73700.0,600.0,False,0.0,10:27:13
58300.0,400,-200.0,0.0,BU,73200.0,600.0,False,0.0,10:26:19
58300.0,800,-200.0,0.0,BU,72800.0,600.0,False,0.0,10:26:02
58300.0,1800,-200.0,0.0,BU,72000.0,600.0,False,0.0,10:25:45
58300.0,1000,-200.0,0.0,BU,70200.0,600.0,False,0.0,10:25:24
58300.0,1500,-200.0,0.0,BU,69200.0,600.0,False,500.0,10:24:39
57800.0,100,-700.0,0.0,SD,67700.0,600.0,False,-500.0,10:24:33
58300.0,1500,-200.0,0.0,BU,67700.0,500.0,False,0.0,10:24:26
58300.0,2000,-200.0,0.0,BU,66200.0,500.0,False,0.0,10:24:09
58300.0,1200,-200.0,0.0,BU,64200.0,500.0,False,0.0,10:23:31
58300.0,1800,-200.0,0.0,BU,63000.0,500.0,False,0.0,10:23:20
58300.0,1000,-200.0,0.0,BU,61200.0,500.0,False,0.0,10:22:51
58300.0,1500,-200.0,0.0,BU,60200.0,500.0,False,0.0,10:22:05
58300.0,2500,-200.0,0.0,BU,58700.0,500.0,False,0.0,10:21:51
58300.0,2000,-200.0,0.0,BU,56200.0,500.0,False,0.0,10:20:30
58300.0,3000,-200.0,0.0,BU,54200.0,500.0,False,0.0,10:20:17
58300.0,3000,-200.0,0.0,BU,51200.0,500.0,False,0.0,10:19:50
58300.0,3000,-200.0,0.0,BU,48200.0,500.0,False,0.0,10:15:17
58300.0,2000,-200.0,0.0,BU,45200.0,500.0,False,0.0,10:15:05
58300.0,2000,-200.0,0.0,BU,43200.0,500.0,False,0.0,10:14:28
58300.0,2000,-200.0,0.0,BU,41200.0,500.0,False,0.0,10:14:09
58300.0,1000,-200.0,0.0,BU,39200.0,500.0,False,0.0,10:11:57
58300.0,2000,-200.0,0.0,BU,38200.0,500.0,False,0.0,10:11:46
58300.0,3000,-200.0,0.0,BU,36200.0,500.0,False,0.0,10:11:31
58300.0,1500,-200.0,0.0,BU,33200.0,500.0,False,0.0,10:10:52
58300.0,1500,-200.0,0.0,BU,31700.0,500.0,False,0.0,10:10:38
58300.0,2000,-200.0,0.0,BU,30200.0,500.0,False,0.0,10:10:26
58300.0,2500,-200.0,0.0,BU,28200.0,500.0,False,-100.0,10:09:50
58400.0,200,-100.0,0.0,BU,25700.0,500.0,False,0.0,10:08:37
58400.0,1000,-100.0,0.0,BU,25500.0,500.0,False,0.0,10:07:59
58400.0,2000,-100.0,0.0,BU,24500.0,500.0,False,0.0,10:07:25
58400.0,2000,-100.0,0.0,BU,22500.0,500.0,False,0.0,10:07:03
58400.0,3000,-100.0,0.0,BU,20500.0,500.0,False,0.0,10:06:12
58400.0,1000,-100.0,0.0,BU,17500.0,500.0,False,0.0,10:03:03
58400.0,2000,-100.0,0.0,BU,16500.0,500.0,False,0.0,10:02:48
58400.0,1500,-100.0,0.0,BU,14500.0,500.0,False,0.0,09:48:39
58400.0,1500,-100.0,0.0,BU,13000.0,500.0,False,0.0,09:48:28
58400.0,2000,-100.0,0.0,BU,11500.0,500.0,False,0.0,09:47:45
58400.0,1500,-100.0,0.0,BU,9500.0,500.0,False,0.0,09:47:02
58400.0,2000,-100.0,0.0,BU,8000.0,500.0,False,0.0,09:46:47
58400.0,1000,-100.0,0.0,BU,6000.0,500.0,False,0.0,09:46:16
58400.0,1000,-100.0,0.0,BU,5000.0,500.0,False,0.0,09:46:03
58400.0,2000,-100.0,0.0,BU,4000.0,500.0,False,0.0,09:45:46
58400.0,1000,-100.0,0.0,BU,2000.0,500.0,False,0.0,09:44:51
58400.0,1000,-100.0,0.0,BU,1000.0,500.0,False,900.0,09:44:39
57500.0,300,-1000.0,0.0,SD,0.0,500.0,False,0.0,09:38:17
57500.0,200,-1000.0,0.0,SD,0.0,200.0,False,0.0,09:38:17
