p,v,cp,rcp,a,ba,sa,hl,pcp,t
204500.0,100,-1500.0,0.0,SD,2800.0,4100.0,False,-700.0,14:08:19
205200.0,100,-800.0,0.0,BU,2800.0,4000.0,False,200.0,14:01:33
205000.0,900,-1000.0,0.0,SD,2700.0,4000.0,False,600.0,14:01:05
204400.0,1000,-1600.0,0.0,BU,2700.0,3100.0,True,100.0,13:53:57
204300.0,200,-1700.0,0.0,BU,1700.0,3100.0,False,0.0,13:52:10
204300.0,100,-1700.0,0.0,SD,1500.0,3100.0,False,-100.0,13:50:58
204400.0,100,-1600.0,0.0,BU,1500.0,3000.0,False,-400.0,13:49:00
204800.0,100,-1200.0,0.0,BU,1400.0,3000.0,False,600.0,13:16:24
204200.0,100,-1800.0,0.0,SD,1300.0,3000.0,False,100.0,13:07:48
204100.0,500,-1900.0,0.0,SD,1300.0,2900.0,False,-900.0,13:05:31
205000.0,200,-1000.0,0.0,BU,1300.0,2400.0,False,0.0,11:29:24
205000.0,100,-1000.0,0.0,SD,1100.0,2400.0,False,0.0,11:20:51
205000.0,100,-1000.0,0.0,SD,1100.0,2300.0,False,0.0,11:13:09
205000.0,200,-1000.0,0.0,SD,1100.0,2200.0,False,0.0,11:05:41
205000.0,100,-1000.0,0.0,SD,1100.0,2000.0,False,0.0,11:00:12
205000.0,100,-1000.0,0.0,BU,1100.0,1900.0,False,0.0,10:44:13
205000.0,400,-1000.0,0.0,BU,1000.0,1900.0,False,-100.0,10:43:51
205100.0,100,-900.0,0.0,BU,600.0,1900.0,False,-100.0,10:42:21
205200.0,200,-800.0,0.0,BU,500.0,1900.0,False,0.0,10:38:55
205200.0,100,-800.0,0.0,BU,300.0,1900.0,False,0.0,10:37:44
205200.0,100,-800.0,0.0,SD,200.0,1900.0,False,0.0,10:36:05
205200.0,100,-800.0,0.0,SD,200.0,1800.0,False,0.0,10:35:00
205200.0,100,-800.0,0.0,SD,200.0,1700.0,False,100.0,10:06:59
205100.0,100,-900.0,0.0,BU,200.0,1600.0,False,100.0,09:56:53
205000.0,200,-1000.0,0.0,SD,100.0,1600.0,False,0.0,09:42:34
205000.0,100,-1000.0,0.0,SD,100.0,1400.0,False,0.0,09:38:59
205000.0,100,-1000.0,0.0,SD,100.0,1300.0,False,0.0,09:32:46
205000.0,100,-1000.0,0.0,SD,100.0,1200.0,False,0.0,09:27:21
205000.0,100,-1000.0,0.0,SD,100.0,1100.0,False,-500.0,09:25:53
205500.0,100,-500.0,0.0,BU,100.0,1000.0,False,0.0,09:17:13
205500.0,1000,-500.0,0.0,SD,0.0,1000.0,True,0.0,09:14:31
