p,v,cp,rcp,a,ba,sa,hl,pcp,t
31950.0,100,0.0,0.0,BU,6217900.0,7977300.0,False,0.0,14:29:58
31950.0,300,0.0,0.0,BU,6217800.0,7977300.0,False,0.0,14:29:54
31950.0,200,0.0,0.0,BU,6217500.0,7977300.0,False,50.0,14:29:45
31900.0,3000,-50.0,0.0,SD,6217300.0,7977300.0,False,0.0,14:29:45
31900.0,300,-50.0,0.0,SD,6217300.0,7974300.0,False,-50.0,14:29:41
31950.0,2800,0.0,0.0,BU,6217300.0,7974000.0,False,0.0,14:29:32
31950.0,1000,0.0,0.0,BU,6214500.0,7974000.0,False,0.0,14:29:32
31950.0,2000,0.0,0.0,BU,6213500.0,7974000.0,False,0.0,14:29:32
31950.0,600,0.0,0.0,BU,6211500.0,7974000.0,False,0.0,14:29:32
31950.0,1000,0.0,0.0,BU,6210900.0,7974000.0,False,0.0,14:29:32
31950.0,2600,0.0,0.0,BU,6209900.0,7974000.0,False,50.0,14:29:32
31900.0,500,-50.0,0.0,SD,6207300.0,7974000.0,False,0.0,14:29:27
31900.0,2500,-50.0,0.0,SD,6207300.0,7973500.0,False,0.0,14:29:27
31900.0,500,-50.0,0.0,SD,6207300.0,7971000.0,False,50.0,14:29:19
31850.0,1300,-100.0,0.0,SD,6207300.0,7970500.0,False,0.0,14:29:14
31850.0,100,-100.0,0.0,SD,6207300.0,7969200.0,False,0.0,14:29:14
31850.0,1100,-100.0,0.0,SD,6207300.0,7969100.0,False,0.0,14:29:14
31850.0,1500,-100.0,0.0,SD,6207300.0,7968000.0,False,-50.0,14:29:11
31900.0,1000,-50.0,0.0,SD,6207300.0,7966500.0,False,-50.0,14:29:11
31950.0,400,0.0,0.0,BU,6207300.0,7965500.0,False,0.0,14:29:09
31950.0,400,0.0,0.0,BU,6206900.0,7965500.0,False,50.0,14:29:09
31900.0,300,-50.0,0.0,SD,6206500.0,7965500.0,False,-50.0,14:29:07
31950.0,500,0.0,0.0,BU,6206500.0,7965200.0,False,50.0,14:29:04
31900.0,2000,-50.0,0.0,SD,6206000.0,7965200.0,False,0.0,14:29:02
31900.0,100,-50.0,0.0,BU,6206000.0,7963200.0,False,50.0,14:29:02
