p,v,cp,rcp,a,ba,sa,hl,pcp,t
47750.0,700,-750.0,0.0,SD,417600.0,211000.0,False,0.0,14:29:42
47750.0,900,-750.0,0.0,SD,417600.0,210300.0,False,0.0,14:29:39
47750.0,1300,-750.0,0.0,SD,417600.0,209400.0,False,50.0,14:29:39
47700.0,3000,-800.0,0.0,SD,417600.0,208100.0,False,0.0,14:29:28
47700.0,200,-800.0,0.0,SD,417600.0,205100.0,False,0.0,14:29:28
47700.0,100,-800.0,0.0,SD,417600.0,204900.0,False,0.0,14:29:28
47700.0,400,-800.0,0.0,BU,417600.0,204800.0,False,100.0,14:29:04
47600.0,200,-900.0,0.0,SD,417200.0,204800.0,False,0.0,14:29:04
47600.0,500,-900.0,0.0,BU,417200.0,204600.0,False,0.0,14:28:54
47600.0,300,-900.0,0.0,BU,416700.0,204600.0,False,0.0,14:28:54
47600.0,3900,-900.0,0.0,BU,416400.0,204600.0,False,0.0,14:28:54
47600.0,200,-900.0,0.0,BU,412500.0,204600.0,False,0.0,14:28:16
47600.0,300,-900.0,0.0,BU,412300.0,204600.0,False,0.0,14:27:56
47600.0,500,-900.0,0.0,BU,412000.0,204600.0,False,50.0,14:27:47
47550.0,1000,-950.0,0.0,SD,411500.0,204600.0,False,50.0,14:27:37
47500.0,1100,-1000.0,0.0,BU,411500.0,203600.0,False,0.0,14:27:28
47500.0,200,-1000.0,0.0,BU,410400.0,203600.0,False,0.0,14:27:28
47500.0,300,-1000.0,0.0,BU,410200.0,203600.0,False,0.0,14:27:28
47500.0,300,-1000.0,0.0,BU,409900.0,203600.0,False,100.0,14:27:17
47400.0,200,-1100.0,0.0,BU,409600.0,203600.0,False,-100.0,14:27:14
47500.0,200,-1000.0,0.0,BU,409400.0,203600.0,False,100.0,14:27:09
47400.0,800,-1100.0,0.0,BU,409200.0,203600.0,False,0.0,14:27:01
47400.0,800,-1100.0,0.0,BU,408400.0,203600.0,False,0.0,14:26:50
47400.0,600,-1100.0,0.0,BU,407600.0,203600.0,False,0.0,14:26:36
47400.0,400,-1100.0,0.0,BU,407000.0,203600.0,False,0.0,14:26:27
47400.0,100,-1100.0,0.0,BU,406600.0,203600.0,False,0.0,14:26:27
