p,v,cp,rcp,a,ba,sa,hl,pcp,t
5870.0,4200,-180.0,0.0,BU,530800.0,594000.0,False,0.0,14:28:59
5870.0,300,-180.0,0.0,BU,526600.0,594000.0,False,0.0,14:28:50
5870.0,2000,-180.0,0.0,BU,526300.0,594000.0,False,0.0,14:28:38
5870.0,2000,-180.0,0.0,BU,524300.0,594000.0,False,10.0,14:28:12
5860.0,500,-190.0,0.0,SD,522300.0,594000.0,False,0.0,14:28:05
5860.0,100,-190.0,0.0,SD,522300.0,593500.0,False,0.0,14:28:05
5860.0,400,-190.0,0.0,SD,522300.0,593400.0,False,-10.0,14:28:05
5870.0,1000,-180.0,0.0,BU,522300.0,593000.0,False,0.0,14:27:39
5870.0,100,-180.0,0.0,BU,521300.0,593000.0,False,0.0,14:27:14
5870.0,100,-180.0,0.0,SD,521200.0,593000.0,False,0.0,14:27:07
5870.0,300,-180.0,0.0,SD,521200.0,592900.0,False,0.0,14:27:07
5870.0,100,-180.0,0.0,SD,521200.0,592600.0,False,0.0,14:27:02
5870.0,200,-180.0,0.0,SD,521200.0,592500.0,False,0.0,14:27:02
5870.0,3700,-180.0,0.0,SD,521200.0,592300.0,False,0.0,14:27:02
5870.0,100,-180.0,0.0,SD,521200.0,588600.0,False,0.0,14:27:02
5870.0,500,-180.0,0.0,SD,521200.0,588500.0,False,0.0,14:27:02
5870.0,9400,-180.0,0.0,SD,521200.0,588000.0,False,-30.0,14:27:02
5900.0,100,-150.0,0.0,BU,521200.0,578600.0,False,0.0,14:25:57
5900.0,2000,-150.0,0.0,BU,521100.0,578600.0,False,30.0,14:25:27
5870.0,100,-180.0,0.0,SD,519100.0,578600.0,False,0.0,14:25:11
5870.0,600,-180.0,0.0,SD,519100.0,578500.0,False,-10.0,14:25:11
5880.0,1000,-170.0,0.0,SD,519100.0,577900.0,False,10.0,14:25:11
5870.0,700,-180.0,0.0,SD,519100.0,576900.0,False,-10.0,14:25:11
5880.0,600,-170.0,0.0,SD,519100.0,576200.0,False,-20.0,14:25:11
5900.0,1000,-150.0,0.0,BU,519100.0,575600.0,False,10.0,14:25:01
5890.0,1000,-160.0,0.0,SD,518100.0,575600.0,False,0.0,14:24:36
5890.0,200,-160.0,0.0,SD,518100.0,574600.0,False,0.0,14:24:36
5890.0,100,-160.0,0.0,SD,518100.0,574400.0,False,0.0,14:23:53
5890.0,1000,-160.0,0.0,SD,518100.0,574300.0,False,0.0,14:23:53
5890.0,200,-160.0,0.0,SD,518100.0,573300.0,False,-10.0,14:23:53
5900.0,2500,-150.0,0.0,SD,518100.0,573100.0,False,0.0,14:23:51
5900.0,500,-150.0,0.0,SD,518100.0,570600.0,False,0.0,14:23:40
5900.0,20000,-150.0,0.0,SD,518100.0,570100.0,False,0.0,14:21:59
5900.0,500,-150.0,0.0,BU,518100.0,550100.0,False,0.0,14:21:15
5900.0,300,-150.0,0.0,SD,517600.0,550100.0,False,0.0,14:21:03
5900.0,1000,-150.0,0.0,SD,517600.0,549800.0,False,0.0,14:21:03
5900.0,300,-150.0,0.0,SD,517600.0,548800.0,False,0.0,14:20:41
5900.0,1000,-150.0,0.0,BU,517600.0,548500.0,False,0.0,14:20:40
5900.0,500,-150.0,0.0,BU,516600.0,548500.0,False,0.0,14:20:27
5900.0,100,-150.0,0.0,BU,516100.0,548500.0,False,0.0,14:20:18
5900.0,100,-150.0,0.0,BU,516000.0,548500.0,False,0.0,14:20:18
5900.0,500,-150.0,0.0,SD,515900.0,548500.0,False,0.0,14:20:02
5900.0,500,-150.0,0.0,SD,515900.0,548000.0,False,0.0,14:19:15
5900.0,3000,-150.0,0.0,SD,515900.0,547500.0,False,0.0,14:19:07
5900.0,400,-150.0,0.0,BU,515900.0,544500.0,False,0.0,14:17:52
5900.0,200,-150.0,0.0,BU,515500.0,544500.0,False,-30.0,14:17:26
5930.0,500,-120.0,0.0,BU,515300.0,544500.0,False,0.0,14:17:07
5930.0,200,-120.0,0.0,SD,514800.0,544500.0,False,0.0,14:16:05
5930.0,300,-120.0,0.0,SD,514800.0,544300.0,False,30.0,14:15:47
5900.0,200,-150.0,0.0,SD,514800.0,544000.0,False,0.0,14:15:42
5900.0,100,-150.0,0.0,SD,514800.0,543800.0,False,0.0,14:15:30
5900.0,1000,-150.0,0.0,SD,514800.0,543700.0,False,0.0,14:15:30
5900.0,3900,-150.0,0.0,SD,514800.0,542700.0,False,0.0,14:15:30
5900.0,100,-150.0,0.0,SD,514800.0,538800.0,False,-20.0,14:14:50
5920.0,200,-130.0,0.0,SD,514800.0,538700.0,False,0.0,14:14:06
5920.0,500,-130.0,0.0,SD,514800.0,538500.0,False,-10.0,14:13:59
5930.0,1700,-120.0,0.0,BU,514800.0,538000.0,False,0.0,14:13:11
5930.0,3300,-120.0,0.0,BU,513100.0,538000.0,False,10.0,14:13:11
5920.0,500,-130.0,0.0,SD,509800.0,538000.0,False,0.0,14:13:10
5920.0,500,-130.0,0.0,SD,509800.0,537500.0,False,-10.0,14:13:10
5930.0,200,-120.0,0.0,SD,509800.0,537000.0,False,0.0,14:12:52
5930.0,1000,-120.0,0.0,SD,509800.0,536800.0,False,-10.0,14:12:52
5940.0,600,-110.0,0.0,SD,509800.0,535800.0,False,-20.0,14:12:52
5960.0,400,-90.0,0.0,BU,509800.0,535200.0,False,0.0,14:12:44
5960.0,1700,-90.0,0.0,SD,509400.0,535200.0,False,0.0,14:12:36
5960.0,4300,-90.0,0.0,SD,509400.0,533500.0,False,0.0,14:12:36
5960.0,700,-90.0,0.0,SD,509400.0,529200.0,False,0.0,14:12:36
5960.0,600,-90.0,0.0,SD,509400.0,528500.0,False,0.0,14:12:29
5960.0,300,-90.0,0.0,SD,509400.0,527900.0,False,0.0,14:12:29
5960.0,100,-90.0,0.0,SD,509400.0,527600.0,False,0.0,14:12:29
5960.0,3000,-90.0,0.0,SD,509400.0,527500.0,False,-20.0,14:11:25
5980.0,4200,-70.0,0.0,BU,509400.0,524500.0,False,0.0,14:11:21
5980.0,200,-70.0,0.0,BU,505200.0,524500.0,False,10.0,14:11:21
5970.0,5600,-80.0,0.0,BU,505000.0,524500.0,False,0.0,14:11:21
5970.0,2000,-80.0,0.0,BU,499400.0,524500.0,False,0.0,14:11:12
5970.0,1400,-80.0,0.0,BU,497400.0,524500.0,False,0.0,14:08:54
5970.0,1000,-80.0,0.0,BU,496000.0,524500.0,False,0.0,14:08:54
5970.0,5000,-80.0,0.0,BU,495000.0,524500.0,False,0.0,14:08:54
5970.0,5000,-80.0,0.0,BU,490000.0,524500.0,False,0.0,14:08:54
5970.0,5000,-80.0,0.0,SD,485000.0,524500.0,False,10.0,14:08:18
5960.0,100,-90.0,0.0,BU,485000.0,519500.0,False,20.0,14:05:16
5940.0,200,-110.0,0.0,BU,484900.0,519500.0,False,10.0,14:04:36
5930.0,200,-120.0,0.0,BU,484700.0,519500.0,False,0.0,14:03:34
5930.0,200,-120.0,0.0,BU,484500.0,519500.0,False,0.0,14:03:34
5930.0,300,-120.0,0.0,BU,484300.0,519500.0,False,0.0,14:03:34
5930.0,3000,-120.0,0.0,BU,484000.0,519500.0,False,0.0,14:02:24
5930.0,500,-120.0,0.0,BU,481000.0,519500.0,False,10.0,14:01:06
5920.0,100,-130.0,0.0,SD,480500.0,519500.0,False,20.0,13:59:14
5900.0,200,-150.0,0.0,BU,480500.0,519400.0,False,-20.0,13:59:06
5920.0,200,-130.0,0.0,BU,480300.0,519400.0,False,20.0,13:59:06
5900.0,700,-150.0,0.0,BU,480100.0,519400.0,False,0.0,13:59:06
5900.0,8800,-150.0,0.0,BU,479400.0,519400.0,False,10.0,13:59:06
5890.0,800,-160.0,0.0,SD,470600.0,519400.0,False,0.0,13:58:57
5890.0,800,-160.0,0.0,SD,470600.0,518600.0,False,0.0,13:58:57
5890.0,200,-160.0,0.0,SD,470600.0,517800.0,False,0.0,13:58:57
5890.0,2300,-160.0,0.0,SD,470600.0,517600.0,False,0.0,13:58:57
5890.0,200,-160.0,0.0,SD,470600.0,515300.0,False,0.0,13:58:54
5890.0,500,-160.0,0.0,SD,470600.0,515100.0,False,0.0,13:58:17
5890.0,500,-160.0,0.0,SD,470600.0,514600.0,False,0.0,13:58:17
5890.0,2000,-160.0,0.0,SD,470600.0,514100.0,False,0.0,13:58:17
5890.0,200,-160.0,0.0,SD,470600.0,512100.0,False,0.0,13:58:17
5890.0,400,-160.0,0.0,SD,470600.0,511900.0,False,0.0,13:57:44
5890.0,100,-160.0,0.0,SD,470600.0,511500.0,False,0.0,13:57:44
5890.0,100,-160.0,0.0,SD,470600.0,511400.0,False,0.0,13:56:48
5890.0,200,-160.0,0.0,SD,470600.0,511300.0,False,-10.0,13:55:48
5900.0,400,-150.0,0.0,BU,470600.0,511100.0,False,0.0,13:54:09
5900.0,700,-150.0,0.0,BU,470200.0,511100.0,False,0.0,13:54:09
5900.0,100,-150.0,0.0,BU,469500.0,511100.0,False,10.0,13:53:27
5890.0,100,-160.0,0.0,SD,469400.0,511100.0,False,0.0,13:53:22
5890.0,300,-160.0,0.0,SD,469400.0,511000.0,False,0.0,13:52:52
5890.0,500,-160.0,0.0,SD,469400.0,510700.0,False,0.0,13:52:32
5890.0,500,-160.0,0.0,SD,469400.0,510200.0,False,20.0,13:52:32
5870.0,1300,-180.0,0.0,SD,469400.0,509700.0,False,10.0,13:51:49
5860.0,700,-190.0,0.0,SD,469400.0,508400.0,False,0.0,13:49:37
5860.0,500,-190.0,0.0,SD,469400.0,507700.0,False,-10.0,13:49:37
5870.0,1800,-180.0,0.0,BU,469400.0,507200.0,False,0.0,13:49:37
5870.0,500,-180.0,0.0,BU,467600.0,507200.0,False,0.0,13:49:37
5870.0,200,-180.0,0.0,BU,467100.0,507200.0,False,0.0,13:49:37
5870.0,800,-180.0,0.0,SD,466900.0,507200.0,False,0.0,13:48:16
