p,v,cp,rcp,a,ba,sa,hl,pcp,t
32600.0,10000,50.0,0.0,BU,60200.0,0.0,True,0.0,14:08:42
32600.0,10000,50.0,0.0,BU,50200.0,0.0,True,0.0,14:07:35
32600.0,5000,50.0,0.0,BU,40200.0,0.0,False,0.0,14:05:25
32600.0,5000,50.0,0.0,BU,35200.0,0.0,False,100.0,14:04:41
32500.0,200,-50.0,0.0,BU,30200.0,0.0,False,-150.0,14:04:01
32650.0,3000,100.0,0.0,BU,30000.0,0.0,False,-50.0,13:25:13
32700.0,1600,150.0,0.0,BU,27000.0,0.0,False,0.0,13:19:12
32700.0,2400,150.0,0.0,BU,25400.0,0.0,False,0.0,13:18:44
32700.0,3000,150.0,0.0,BU,23000.0,0.0,False,0.0,13:18:11
32700.0,1700,150.0,0.0,BU,20000.0,0.0,False,0.0,13:00:03
32700.0,2300,150.0,0.0,BU,18300.0,0.0,False,0.0,13:00:03
32700.0,3000,150.0,0.0,BU,16000.0,0.0,False,0.0,13:00:03
32700.0,2000,150.0,0.0,BU,13000.0,0.0,False,0.0,13:00:03
32700.0,4000,150.0,0.0,BU,11000.0,0.0,False,0.0,13:00:03
32700.0,1500,150.0,0.0,BU,7000.0,0.0,False,0.0,13:00:03
32700.0,2500,150.0,0.0,BU,5500.0,0.0,False,0.0,13:00:03
32700.0,3000,150.0,0.0,BU,3000.0,0.0,False,0.0,13:00:03
