p,v,cp,rcp,a,ba,sa,hl,pcp,t
43600.0,100,0.0,0.0,BU,6700.0,9500.0,False,250.0,14:20:11
43350.0,1800,-250.0,0.0,SD,6600.0,9500.0,False,0.0,14:16:25
43350.0,200,-250.0,0.0,SD,6600.0,7700.0,False,-250.0,14:16:25
43600.0,100,0.0,0.0,BU,6600.0,7500.0,False,250.0,14:16:24
43350.0,100,-250.0,0.0,SD,6500.0,7500.0,False,-300.0,14:13:44
43650.0,100,50.0,0.0,BU,6500.0,7400.0,False,50.0,13:56:05
43600.0,100,0.0,0.0,SD,6400.0,7400.0,False,0.0,13:53:23
43600.0,1000,0.0,0.0,BU,6400.0,7300.0,False,0.0,13:48:02
43600.0,500,0.0,0.0,SD,5400.0,7300.0,False,0.0,13:46:03
43600.0,200,0.0,0.0,SD,5400.0,6800.0,False,-50.0,13:46:03
43650.0,300,50.0,0.0,BU,5400.0,6600.0,False,50.0,13:44:08
43600.0,100,0.0,0.0,SD,5100.0,6600.0,False,-50.0,13:42:45
43650.0,200,50.0,0.0,BU,5100.0,6500.0,False,50.0,13:41:17
43600.0,200,0.0,0.0,BU,4900.0,6500.0,False,50.0,13:25:21
43550.0,100,-50.0,0.0,BU,4700.0,6500.0,False,-150.0,13:25:21
43700.0,100,100.0,0.0,BU,4600.0,6500.0,False,400.0,11:01:08
43300.0,200,-300.0,0.0,BU,4500.0,6500.0,False,0.0,11:01:03
43300.0,2000,-300.0,0.0,BU,4300.0,6500.0,False,-450.0,11:00:21
43750.0,100,150.0,0.0,BU,2300.0,6500.0,False,50.0,10:51:47
43700.0,300,100.0,0.0,BU,2200.0,6500.0,False,0.0,10:51:47
43700.0,100,100.0,0.0,BU,1900.0,6500.0,False,50.0,10:51:46
43650.0,100,50.0,0.0,BU,1800.0,6500.0,False,0.0,10:51:46
43650.0,100,50.0,0.0,BU,1700.0,6500.0,False,0.0,10:51:46
43650.0,100,50.0,0.0,BU,1600.0,6500.0,False,0.0,10:51:46
43650.0,100,50.0,0.0,BU,1500.0,6500.0,False,450.0,10:42:28
43200.0,400,-400.0,0.0,SD,1400.0,6500.0,False,-100.0,10:41:11
43300.0,300,-300.0,0.0,SD,1400.0,6100.0,False,-350.0,10:40:31
43650.0,100,50.0,0.0,BU,1400.0,5800.0,False,350.0,10:40:03
43300.0,300,-300.0,0.0,BU,1300.0,5800.0,False,-350.0,10:39:02
43650.0,100,50.0,0.0,BU,1000.0,5800.0,False,150.0,10:33:47
43500.0,1500,-100.0,0.0,SD,900.0,5800.0,False,0.0,10:33:21
43500.0,500,-100.0,0.0,SD,900.0,4300.0,False,0.0,10:33:03
43500.0,100,-100.0,0.0,SD,900.0,3800.0,False,0.0,10:33:03
43500.0,200,-100.0,0.0,SD,900.0,3700.0,False,-150.0,10:33:03
43650.0,300,50.0,0.0,BU,900.0,3500.0,False,0.0,10:06:47
43650.0,100,50.0,0.0,BU,600.0,3500.0,False,-50.0,10:06:47
43700.0,100,100.0,0.0,BU,500.0,3500.0,False,200.0,09:59:42
43500.0,1000,-100.0,0.0,SD,400.0,3500.0,False,-250.0,09:55:15
43750.0,100,150.0,0.0,BU,400.0,2500.0,False,150.0,09:36:51
43600.0,100,0.0,0.0,BU,300.0,2500.0,False,0.0,09:36:51
43600.0,2500,0.0,0.0,SD,200.0,2500.0,False,-50.0,09:34:55
43650.0,100,50.0,0.0,BU,200.0,0.0,False,-50.0,09:31:26
43700.0,100,100.0,0.0,BU,100.0,0.0,False,100.0,09:30:36
43600.0,1200,0.0,0.0,,0.0,0.0,False,0.0,09:15:02
