p,v,cp,rcp,a,ba,sa,hl,pcp,t
13900.0,1700,300.0,0.0,SD,85500.0,15200.0,False,0.0,14:28:31
13900.0,100,300.0,0.0,SD,85500.0,13500.0,False,0.0,14:25:43
13900.0,500,300.0,0.0,SD,85500.0,13400.0,False,200.0,14:16:50
13700.0,1700,100.0,0.0,SD,85500.0,12900.0,False,0.0,14:01:01
13700.0,6300,100.0,0.0,BU,85500.0,11200.0,False,-200.0,14:00:39
13900.0,100,300.0,0.0,BU,79200.0,11200.0,False,0.0,13:37:23
13900.0,900,300.0,0.0,SD,79100.0,11200.0,False,-100.0,13:36:56
14000.0,400,400.0,0.0,SD,79100.0,10300.0,False,100.0,13:36:42
13900.0,300,300.0,0.0,BU,79100.0,9900.0,False,0.0,13:31:51
13900.0,1000,300.0,0.0,BU,78800.0,9900.0,False,0.0,13:31:27
13900.0,1400,300.0,0.0,BU,77800.0,9900.0,False,0.0,13:31:06
13900.0,200,300.0,0.0,BU,76400.0,9900.0,False,0.0,13:30:05
13900.0,100,300.0,0.0,BU,76200.0,9900.0,False,0.0,13:30:02
13900.0,1000,300.0,0.0,BU,76100.0,9900.0,False,0.0,13:28:12
13900.0,100,300.0,0.0,SD,75100.0,9900.0,False,0.0,13:27:00
13900.0,500,300.0,0.0,SD,75100.0,9800.0,False,-300.0,13:26:22
14200.0,500,600.0,0.0,SD,75100.0,9300.0,False,0.0,13:08:44
14200.0,3000,600.0,0.0,SD,75100.0,8800.0,False,0.0,13:07:12
14200.0,1700,600.0,0.0,BU,75100.0,5800.0,False,200.0,13:00:09
14000.0,1500,400.0,0.0,SD,73400.0,5800.0,False,0.0,13:00:07
14000.0,2200,400.0,0.0,SD,73400.0,4300.0,False,0.0,11:16:07
14000.0,100,400.0,0.0,SD,73400.0,2100.0,False,-200.0,11:04:17
14200.0,600,600.0,0.0,BU,73400.0,2000.0,False,0.0,11:03:52
14200.0,500,600.0,0.0,SD,72800.0,2000.0,False,0.0,10:57:14
14200.0,500,600.0,0.0,BU,72800.0,1500.0,False,0.0,10:56:29
14200.0,1500,600.0,0.0,SD,72300.0,1500.0,False,-200.0,10:56:03
14400.0,3000,800.0,0.1,BU,72300.0,0.0,False,0.0,10:54:48
14400.0,100,800.0,0.1,BU,69300.0,0.0,False,0.0,10:53:41
14400.0,3000,800.0,0.1,BU,69200.0,0.0,False,0.0,10:52:38
14400.0,2000,800.0,0.1,BU,66200.0,0.0,False,-100.0,10:52:02
14500.0,3500,900.0,0.1,BU,64200.0,0.0,False,0.0,10:35:29
14500.0,1500,900.0,0.1,BU,60700.0,0.0,False,0.0,10:34:40
14500.0,1500,900.0,0.1,BU,59200.0,0.0,False,-100.0,10:33:51
14600.0,1500,1000.0,0.1,BU,57700.0,0.0,False,0.0,10:33:21
14600.0,2000,1000.0,0.1,BU,56200.0,0.0,False,0.0,10:32:40
14600.0,3000,1000.0,0.1,BU,54200.0,0.0,False,0.0,10:30:17
14600.0,19000,1000.0,0.1,BU,51200.0,0.0,True,100.0,10:27:50
14500.0,500,900.0,0.1,BU,32200.0,0.0,False,0.0,10:23:17
14500.0,500,900.0,0.1,BU,31700.0,0.0,False,200.0,10:22:39
14300.0,1000,700.0,0.1,BU,31200.0,0.0,False,0.0,10:21:37
14300.0,2000,700.0,0.1,BU,30200.0,0.0,False,-200.0,10:21:21
14500.0,7000,900.0,0.1,BU,28200.0,0.0,False,300.0,10:20:36
14200.0,2000,600.0,0.0,BU,21200.0,0.0,False,300.0,10:18:55
13900.0,18900,300.0,0.0,BU,19200.0,0.0,True,300.0,10:17:06
13600.0,300,0.0,0.0,BU,300.0,0.0,False,0.0,10:14:18
