p,v,cp,rcp,a,ba,sa,hl,pcp,t
24200.0,2000,-700.0,0.0,SD,41500.0,16300.0,False,0.0,14:10:40
24200.0,3500,-700.0,0.0,SD,41500.0,14300.0,False,-400.0,14:05:24
24600.0,2000,-300.0,0.0,BU,41500.0,10800.0,False,200.0,13:57:50
24400.0,500,-500.0,0.0,SD,39500.0,10800.0,False,0.0,13:38:47
24400.0,900,-500.0,0.0,SD,39500.0,10300.0,False,0.0,13:37:54
24400.0,1000,-500.0,0.0,BU,39500.0,9400.0,False,300.0,13:37:17
24100.0,1200,-800.0,0.0,SD,38500.0,9400.0,False,0.0,13:33:26
24100.0,2000,-800.0,0.0,SD,38500.0,8200.0,False,-100.0,13:32:20
24200.0,500,-700.0,0.0,SD,38500.0,6200.0,False,0.0,13:32:01
24200.0,1500,-700.0,0.0,SD,38500.0,5700.0,False,0.0,13:28:15
24200.0,2000,-700.0,0.0,BU,38500.0,4200.0,False,-200.0,13:27:21
24400.0,100,-500.0,0.0,BU,36500.0,4200.0,False,200.0,13:25:19
24200.0,1000,-700.0,0.0,SD,36400.0,4200.0,False,0.0,13:21:08
24200.0,1000,-700.0,0.0,SD,36400.0,3200.0,False,0.0,13:19:57
24200.0,8100,-700.0,0.0,BU,36400.0,2200.0,False,-100.0,13:19:03
24300.0,6000,-600.0,0.0,BU,28300.0,2200.0,False,-100.0,13:14:42
24400.0,11800,-500.0,0.0,BU,22300.0,2200.0,True,-100.0,13:05:25
24500.0,3000,-400.0,0.0,BU,10500.0,2200.0,False,-100.0,13:04:42
24600.0,1000,-300.0,0.0,BU,7500.0,2200.0,False,0.0,11:23:55
24600.0,3900,-300.0,0.0,BU,6500.0,2200.0,False,-200.0,11:07:40
24800.0,600,-100.0,0.0,BU,2600.0,2200.0,False,100.0,10:54:42
24700.0,700,-200.0,0.0,BU,2000.0,2200.0,False,100.0,10:51:16
24600.0,100,-300.0,0.0,SD,1300.0,2200.0,False,0.0,10:32:28
24600.0,100,-300.0,0.0,SD,1300.0,2100.0,False,0.0,10:31:37
24600.0,1700,-300.0,0.0,SD,1300.0,2000.0,False,-100.0,10:27:27
24700.0,300,-200.0,0.0,SD,1300.0,300.0,False,-100.0,10:26:52
24800.0,100,-100.0,0.0,BU,1300.0,0.0,False,0.0,10:00:31
24800.0,200,-100.0,0.0,BU,1200.0,0.0,False,0.0,09:53:11
24800.0,1000,-100.0,0.0,BU,1000.0,0.0,False,0.0,09:35:44
