p,v,cp,rcp,a,ba,sa,hl,pcp,t
8650.0,200,-190.0,0.0,BU,349200.0,444900.0,False,80.0,14:29:11
8570.0,1900,-270.0,0.0,SD,349000.0,444900.0,False,0.0,14:28:02
8570.0,3000,-270.0,0.0,SD,349000.0,443000.0,False,0.0,14:28:02
8570.0,100,-270.0,0.0,SD,349000.0,440000.0,False,0.0,14:28:02
8570.0,900,-270.0,0.0,SD,349000.0,439900.0,False,0.0,14:27:39
8570.0,200,-270.0,0.0,SD,349000.0,439000.0,False,0.0,14:27:39
8570.0,100,-270.0,0.0,SD,349000.0,438800.0,False,0.0,14:27:39
8570.0,500,-270.0,0.0,SD,349000.0,438700.0,False,0.0,14:27:35
8570.0,400,-270.0,0.0,SD,349000.0,438200.0,False,0.0,14:27:08
8570.0,500,-270.0,0.0,BU,349000.0,437800.0,False,0.0,14:27:08
8570.0,1000,-270.0,0.0,BU,348500.0,437800.0,False,0.0,14:27:06
8570.0,500,-270.0,0.0,BU,347500.0,437800.0,False,10.0,14:26:46
8560.0,400,-280.0,0.0,SD,347000.0,437800.0,False,0.0,14:26:45
8560.0,100,-280.0,0.0,SD,347000.0,437400.0,False,0.0,14:26:45
8560.0,200,-280.0,0.0,SD,347000.0,437300.0,False,0.0,14:26:45
8560.0,100,-280.0,0.0,SD,347000.0,437100.0,False,-10.0,14:26:45
8570.0,100,-270.0,0.0,SD,347000.0,437000.0,False,10.0,14:26:42
8560.0,1900,-280.0,0.0,SD,347000.0,436900.0,False,0.0,14:26:30
8560.0,500,-280.0,0.0,SD,347000.0,435000.0,False,0.0,14:26:30
8560.0,200,-280.0,0.0,SD,347000.0,434500.0,False,0.0,14:26:30
8560.0,100,-280.0,0.0,SD,347000.0,434300.0,False,0.0,14:26:13
8560.0,2000,-280.0,0.0,SD,347000.0,434200.0,False,0.0,14:26:13
8560.0,100,-280.0,0.0,SD,347000.0,432200.0,False,0.0,14:26:13
8560.0,100,-280.0,0.0,SD,347000.0,432100.0,False,0.0,14:26:13
8560.0,1200,-280.0,0.0,SD,347000.0,432000.0,False,-10.0,14:26:13
8570.0,100,-270.0,0.0,BU,347000.0,430800.0,False,-80.0,14:26:13
8650.0,100,-190.0,0.0,BU,346900.0,430800.0,False,-10.0,14:26:13
8660.0,500,-180.0,0.0,BU,346800.0,430800.0,False,0.0,14:26:09
8660.0,1400,-180.0,0.0,BU,346300.0,430800.0,False,30.0,14:26:09
8630.0,1000,-210.0,0.0,BU,344900.0,430800.0,False,-30.0,14:25:32
8660.0,600,-180.0,0.0,BU,343900.0,430800.0,False,0.0,14:25:32
8660.0,400,-180.0,0.0,BU,343300.0,430800.0,False,90.0,14:25:32
8570.0,2000,-270.0,0.0,BU,342900.0,430800.0,False,0.0,14:25:32
8570.0,100,-270.0,0.0,BU,340900.0,430800.0,False,10.0,14:25:26
8560.0,300,-280.0,0.0,SD,340800.0,430800.0,False,-10.0,14:25:19
8570.0,100,-270.0,0.0,BU,340800.0,430500.0,False,0.0,14:25:17
8570.0,3900,-270.0,0.0,SD,340700.0,430500.0,False,0.0,14:25:10
8570.0,4100,-270.0,0.0,SD,340700.0,426600.0,False,0.0,14:24:59
8570.0,100,-270.0,0.0,SD,340700.0,422500.0,False,0.0,14:24:59
8570.0,1000,-270.0,0.0,SD,340700.0,422400.0,False,0.0,14:24:59
8570.0,300,-270.0,0.0,SD,340700.0,421400.0,False,0.0,14:24:59
8570.0,1000,-270.0,0.0,SD,340700.0,421100.0,False,0.0,14:24:59
8570.0,1000,-270.0,0.0,SD,340700.0,420100.0,False,-10.0,14:24:59
8580.0,900,-260.0,0.0,SD,340700.0,419100.0,False,0.0,14:24:41
8580.0,2000,-260.0,0.0,SD,340700.0,418200.0,False,0.0,14:24:41
8580.0,100,-260.0,0.0,SD,340700.0,416200.0,False,-10.0,14:24:41
8590.0,100,-250.0,0.0,SD,340700.0,416100.0,False,0.0,14:24:41
8590.0,200,-250.0,0.0,SD,340700.0,416000.0,False,0.0,14:24:41
8590.0,600,-250.0,0.0,SD,340700.0,415800.0,False,-10.0,14:24:41
8600.0,200,-240.0,0.0,BU,340700.0,415200.0,False,0.0,14:24:15
8600.0,500,-240.0,0.0,BU,340500.0,415200.0,False,0.0,14:24:15
8600.0,1000,-240.0,0.0,BU,340000.0,415200.0,False,10.0,14:24:15
8590.0,1400,-250.0,0.0,SD,339000.0,415200.0,False,-10.0,14:24:15
8600.0,300,-240.0,0.0,BU,339000.0,413800.0,False,0.0,14:24:15
8600.0,500,-240.0,0.0,SD,338700.0,413800.0,False,0.0,14:24:15
8600.0,100,-240.0,0.0,SD,338700.0,413300.0,False,-10.0,14:24:15
8610.0,100,-230.0,0.0,SD,338700.0,413200.0,False,-10.0,14:24:15
8620.0,100,-220.0,0.0,SD,338700.0,413100.0,False,-10.0,14:24:15
8630.0,100,-210.0,0.0,SD,338700.0,413000.0,False,-10.0,14:24:15
8640.0,1000,-200.0,0.0,SD,338700.0,412900.0,False,-10.0,14:24:15
8650.0,100,-190.0,0.0,SD,338700.0,411900.0,False,20.0,14:24:15
8630.0,400,-210.0,0.0,SD,338700.0,411800.0,False,-10.0,14:24:15
8640.0,100,-200.0,0.0,SD,338700.0,411400.0,False,-10.0,14:24:15
8650.0,100,-190.0,0.0,SD,338700.0,411300.0,False,0.0,14:24:15
8650.0,100,-190.0,0.0,SD,338700.0,411200.0,False,-10.0,14:23:34
8660.0,100,-180.0,0.0,BU,338700.0,411100.0,False,0.0,14:22:05
8660.0,300,-180.0,0.0,BU,338600.0,411100.0,False,0.0,14:22:05
8660.0,100,-180.0,0.0,BU,338300.0,411100.0,False,0.0,14:22:05
8660.0,100,-180.0,0.0,SD,338200.0,411100.0,False,-10.0,14:22:05
8670.0,5000,-170.0,0.0,BU,338200.0,411000.0,False,0.0,14:21:28
8670.0,2700,-170.0,0.0,BU,333200.0,411000.0,False,0.0,14:21:28
8670.0,1000,-170.0,0.0,BU,330500.0,411000.0,False,10.0,14:19:33
8660.0,100,-180.0,0.0,SD,329500.0,411000.0,False,-10.0,14:18:51
8670.0,1600,-170.0,0.0,BU,329500.0,410900.0,False,0.0,14:18:39
8670.0,4700,-170.0,0.0,BU,327900.0,410900.0,False,0.0,14:18:39
8670.0,300,-170.0,0.0,SD,323200.0,410900.0,False,0.0,14:18:12
8670.0,100,-170.0,0.0,SD,323200.0,410600.0,False,0.0,14:18:12
8670.0,600,-170.0,0.0,SD,323200.0,410500.0,False,0.0,14:17:42
8670.0,400,-170.0,0.0,SD,323200.0,409900.0,False,0.0,14:17:42
8670.0,500,-170.0,0.0,SD,323200.0,409500.0,False,-10.0,14:16:00
8680.0,700,-160.0,0.0,SD,323200.0,409000.0,False,0.0,14:15:21
8680.0,300,-160.0,0.0,SD,323200.0,408300.0,False,10.0,14:14:44
8670.0,2000,-170.0,0.0,SD,323200.0,408000.0,False,0.0,14:14:35
8670.0,500,-170.0,0.0,SD,323200.0,406000.0,False,0.0,14:14:15
8670.0,2000,-170.0,0.0,SD,323200.0,405500.0,False,0.0,14:13:55
8670.0,400,-170.0,0.0,SD,323200.0,403500.0,False,0.0,14:13:47
8670.0,9000,-170.0,0.0,SD,323200.0,403100.0,False,-10.0,14:13:33
8680.0,1000,-160.0,0.0,SD,323200.0,394100.0,False,-10.0,14:13:33
8690.0,300,-150.0,0.0,BU,323200.0,393100.0,False,0.0,14:13:15
8690.0,500,-150.0,0.0,BU,322900.0,393100.0,False,-10.0,14:12:54
8700.0,1000,-140.0,0.0,BU,322400.0,393100.0,False,20.0,14:12:39
8680.0,1000,-160.0,0.0,SD,321400.0,393100.0,False,0.0,14:12:39
8680.0,100,-160.0,0.0,SD,321400.0,392100.0,False,0.0,14:12:39
8680.0,200,-160.0,0.0,SD,321400.0,392000.0,False,-10.0,14:12:39
8690.0,400,-150.0,0.0,SD,321400.0,391800.0,False,0.0,14:12:39
8690.0,300,-150.0,0.0,SD,321400.0,391400.0,False,-10.0,14:12:39
8700.0,600,-140.0,0.0,BU,321400.0,391100.0,False,0.0,14:12:37
8700.0,400,-140.0,0.0,BU,320800.0,391100.0,False,0.0,14:12:37
8700.0,200,-140.0,0.0,BU,320400.0,391100.0,False,0.0,14:12:29
8700.0,200,-140.0,0.0,BU,320200.0,391100.0,False,20.0,14:12:14
8680.0,800,-160.0,0.0,SD,320000.0,391100.0,False,0.0,14:11:58
8680.0,100,-160.0,0.0,SD,320000.0,390300.0,False,0.0,14:11:58
8680.0,500,-160.0,0.0,SD,320000.0,390200.0,False,-10.0,14:11:58
8690.0,100,-150.0,0.0,BU,320000.0,389700.0,False,0.0,14:11:58
8690.0,100,-150.0,0.0,BU,319900.0,389700.0,False,0.0,14:11:58
8690.0,1000,-150.0,0.0,BU,319800.0,389700.0,False,-10.0,14:11:58
