p,v,cp,rcp,a,ba,sa,hl,pcp,t
17400.0,100,-150.0,0.0,BU,1400.0,6500.0,False,400.0,14:29:23
17000.0,100,-550.0,0.0,SD,1300.0,6500.0,False,0.0,13:30:40
17000.0,3100,-550.0,0.0,SD,1300.0,6400.0,False,0.0,13:30:40
17000.0,100,-550.0,0.0,SD,1300.0,3300.0,False,-100.0,13:30:40
17100.0,500,-450.0,0.0,SD,1300.0,3200.0,False,0.0,13:03:48
17100.0,500,-450.0,0.0,SD,1300.0,2700.0,False,-300.0,13:03:48
17400.0,100,-150.0,0.0,SD,1300.0,2200.0,False,0.0,10:39:40
17400.0,500,-150.0,0.0,SD,1300.0,2100.0,False,0.0,10:39:40
17400.0,100,-150.0,0.0,SD,1300.0,1600.0,False,0.0,10:39:40
17400.0,1500,-150.0,0.0,SD,1300.0,1500.0,False,-50.0,10:31:04
17450.0,100,-100.0,0.0,BU,1300.0,0.0,False,0.0,10:14:47
17450.0,100,-100.0,0.0,BU,1200.0,0.0,False,0.0,10:14:47
17450.0,100,-100.0,0.0,BU,1100.0,0.0,False,50.0,10:04:10
17400.0,900,-150.0,0.0,BU,1000.0,0.0,False,0.0,09:39:33
17400.0,100,-150.0,0.0,BU,100.0,0.0,False,0.0,09:39:03
