p,v,cp,rcp,a,ba,sa,hl,pcp,t
88500.0,1000,-600.0,0.0,SD,399300.0,652500.0,False,0.0,14:10:56
88500.0,1000,-600.0,0.0,SD,399300.0,651500.0,False,0.0,14:10:45
88500.0,600,-600.0,0.0,SD,399300.0,650500.0,False,0.0,14:10:40
88500.0,400,-600.0,0.0,SD,399300.0,649900.0,False,0.0,14:10:40
88500.0,600,-600.0,0.0,SD,399300.0,649500.0,False,0.0,14:10:40
88500.0,900,-600.0,0.0,SD,399300.0,648900.0,False,0.0,14:10:38
88500.0,1000,-600.0,0.0,SD,399300.0,648000.0,False,0.0,14:10:35
88500.0,500,-600.0,0.0,BU,399300.0,647000.0,False,100.0,14:10:27
88400.0,1000,-700.0,0.0,SD,398800.0,647000.0,False,-100.0,14:10:26
88500.0,200,-600.0,0.0,SD,398800.0,646000.0,False,0.0,14:10:25
88500.0,300,-600.0,0.0,BU,398800.0,645800.0,False,100.0,14:10:24
88400.0,100,-700.0,0.0,SD,398500.0,645800.0,False,0.0,14:10:20
88400.0,600,-700.0,0.0,SD,398500.0,645700.0,False,-100.0,14:10:20
88500.0,1000,-600.0,0.0,SD,398500.0,645100.0,False,0.0,14:10:20
88500.0,300,-600.0,0.0,SD,398500.0,644100.0,False,0.0,14:10:20
88500.0,1000,-600.0,0.0,SD,398500.0,643800.0,False,0.0,14:10:13
88500.0,1000,-600.0,0.0,SD,398500.0,642800.0,False,0.0,14:10:13
88500.0,200,-600.0,0.0,SD,398500.0,641800.0,False,0.0,14:10:12
88500.0,500,-600.0,0.0,SD,398500.0,641600.0,False,0.0,14:10:12
88500.0,200,-600.0,0.0,SD,398500.0,641100.0,False,0.0,14:10:12
88500.0,1600,-600.0,0.0,SD,398500.0,640900.0,False,0.0,14:10:12
88500.0,400,-600.0,0.0,SD,398500.0,639300.0,False,0.0,14:10:12
88500.0,100,-600.0,0.0,SD,398500.0,638900.0,False,0.0,14:10:12
88500.0,100,-600.0,0.0,SD,398500.0,638800.0,False,0.0,14:10:12
88500.0,2400,-600.0,0.0,SD,398500.0,638700.0,True,0.0,14:10:12
88500.0,600,-600.0,0.0,SD,398500.0,636300.0,False,0.0,14:10:09
88500.0,2000,-600.0,0.0,SD,398500.0,635700.0,False,0.0,14:10:05
88500.0,200,-600.0,0.0,SD,398500.0,633700.0,False,0.0,14:09:48
88500.0,100,-600.0,0.0,SD,398500.0,633500.0,False,0.0,14:09:48
88500.0,100,-600.0,0.0,SD,398500.0,633400.0,False,0.0,14:09:48
88500.0,600,-600.0,0.0,SD,398500.0,633300.0,False,0.0,14:09:48
88500.0,200,-600.0,0.0,SD,398500.0,632700.0,False,0.0,14:09:42
88500.0,200,-600.0,0.0,SD,398500.0,632500.0,False,0.0,14:09:37
88500.0,400,-600.0,0.0,SD,398500.0,632300.0,False,0.0,14:09:37
88500.0,1600,-600.0,0.0,SD,398500.0,631900.0,False,0.0,14:09:34
88500.0,900,-600.0,0.0,SD,398500.0,630300.0,False,0.0,14:09:34
88500.0,600,-600.0,0.0,SD,398500.0,629400.0,False,0.0,14:09:06
88500.0,900,-600.0,0.0,SD,398500.0,628800.0,False,0.0,14:08:56
88500.0,500,-600.0,0.0,SD,398500.0,627900.0,False,0.0,14:08:37
88500.0,600,-600.0,0.0,SD,398500.0,627400.0,False,0.0,14:08:35
88500.0,3000,-600.0,0.0,SD,398500.0,626800.0,True,0.0,14:08:27
88500.0,200,-600.0,0.0,BU,398500.0,623800.0,False,0.0,14:08:13
88500.0,1000,-600.0,0.0,BU,398300.0,623800.0,False,0.0,14:08:13
88500.0,500,-600.0,0.0,BU,397300.0,623800.0,False,0.0,14:08:13
88500.0,500,-600.0,0.0,BU,396800.0,623800.0,False,0.0,14:08:13
88500.0,400,-600.0,0.0,BU,396300.0,623800.0,False,0.0,14:08:13
88500.0,100,-600.0,0.0,BU,395900.0,623800.0,False,0.0,14:08:13
88500.0,10000,-600.0,0.0,BU,395800.0,623800.0,True,0.0,14:08:13
88500.0,800,-600.0,0.0,BU,385800.0,623800.0,False,100.0,14:08:13
88400.0,1000,-700.0,0.0,SD,385000.0,623800.0,False,-100.0,14:08:13
88500.0,100,-600.0,0.0,BU,385000.0,622800.0,False,0.0,14:08:12
88500.0,100,-600.0,0.0,BU,384900.0,622800.0,False,0.0,14:08:12
88500.0,6800,-600.0,0.0,BU,384800.0,622800.0,True,100.0,14:08:11
88400.0,1000,-700.0,0.0,SD,378000.0,622800.0,False,0.0,14:08:05
88400.0,400,-700.0,0.0,SD,378000.0,621800.0,False,0.0,14:08:05
88400.0,200,-700.0,0.0,SD,378000.0,621400.0,False,-100.0,14:08:05
88500.0,1000,-600.0,0.0,BU,378000.0,621200.0,False,0.0,14:08:00
88500.0,1000,-600.0,0.0,BU,377000.0,621200.0,False,0.0,14:07:50
88500.0,1000,-600.0,0.0,BU,376000.0,621200.0,False,0.0,14:07:44
88500.0,200,-600.0,0.0,BU,375000.0,621200.0,False,0.0,14:07:35
88500.0,200,-600.0,0.0,BU,374800.0,621200.0,False,0.0,14:07:35
88500.0,600,-600.0,0.0,BU,374600.0,621200.0,False,100.0,14:07:35
88400.0,600,-700.0,0.0,SD,374000.0,621200.0,False,0.0,14:07:33
88400.0,100,-700.0,0.0,SD,374000.0,620600.0,False,0.0,14:07:23
88400.0,400,-700.0,0.0,SD,374000.0,620500.0,False,0.0,14:07:14
88400.0,600,-700.0,0.0,SD,374000.0,620100.0,False,0.0,14:07:14
88400.0,600,-700.0,0.0,SD,374000.0,619500.0,False,0.0,14:07:10
88400.0,300,-700.0,0.0,SD,374000.0,618900.0,False,0.0,14:06:30
88400.0,200,-700.0,0.0,BU,374000.0,618600.0,False,0.0,14:06:30
88400.0,200,-700.0,0.0,BU,373800.0,618600.0,False,0.0,14:06:30
88400.0,400,-700.0,0.0,SD,373600.0,618600.0,False,0.0,14:06:25
88400.0,200,-700.0,0.0,SD,373600.0,618200.0,False,0.0,14:06:25
88400.0,1300,-700.0,0.0,SD,373600.0,618000.0,False,0.0,14:06:25
88400.0,200,-700.0,0.0,SD,373600.0,616700.0,False,0.0,14:06:25
88400.0,1500,-700.0,0.0,SD,373600.0,616500.0,False,0.0,14:06:25
88400.0,100,-700.0,0.0,SD,373600.0,615000.0,False,0.0,14:06:25
88400.0,200,-700.0,0.0,SD,373600.0,614900.0,False,0.0,14:06:25
88400.0,400,-700.0,0.0,SD,373600.0,614700.0,False,0.0,14:06:25
88400.0,900,-700.0,0.0,SD,373600.0,614300.0,False,0.0,14:06:23
88400.0,1500,-700.0,0.0,SD,373600.0,613400.0,False,0.0,14:06:08
88400.0,200,-700.0,0.0,SD,373600.0,611900.0,False,0.0,14:06:08
88400.0,200,-700.0,0.0,SD,373600.0,611700.0,False,0.0,14:06:08
88400.0,200,-700.0,0.0,SD,373600.0,611500.0,False,0.0,14:06:08
88400.0,500,-700.0,0.0,SD,373600.0,611300.0,False,0.0,14:06:08
88400.0,2400,-700.0,0.0,SD,373600.0,610800.0,True,0.0,14:06:08
88400.0,500,-700.0,0.0,SD,373600.0,608400.0,False,0.0,14:05:58
88400.0,100,-700.0,0.0,SD,373600.0,607900.0,False,0.0,14:05:31
88400.0,200,-700.0,0.0,SD,373600.0,607800.0,False,0.0,14:05:31
88400.0,700,-700.0,0.0,SD,373600.0,607600.0,False,0.0,14:05:31
88400.0,500,-700.0,0.0,SD,373600.0,606900.0,False,0.0,14:05:29
88400.0,1300,-700.0,0.0,BU,373600.0,606400.0,False,0.0,14:05:20
