p,v,cp,rcp,a,ba,sa,hl,pcp,t
22600.0,2000,0.0,0.0,BU,32500.0,23600.0,False,0.0,13:43:14
22600.0,1000,0.0,0.0,BU,30500.0,23600.0,False,0.0,13:19:08
22600.0,500,0.0,0.0,BU,29500.0,23600.0,False,0.0,11:13:34
22600.0,3000,0.0,0.0,BU,29000.0,23600.0,False,200.0,10:40:14
22400.0,5000,-200.0,0.0,BU,26000.0,23600.0,False,0.0,10:36:03
22400.0,400,-200.0,0.0,SD,21000.0,23600.0,False,0.0,10:31:23
22400.0,3300,-200.0,0.0,SD,21000.0,23200.0,False,0.0,10:31:12
22400.0,5000,-200.0,0.0,SD,21000.0,19900.0,False,-100.0,10:28:06
22500.0,4500,-100.0,0.0,BU,21000.0,14900.0,False,0.0,10:27:51
22500.0,500,-100.0,0.0,BU,16500.0,14900.0,False,0.0,10:27:36
22500.0,2500,-100.0,0.0,SD,16000.0,14900.0,False,-100.0,10:26:37
22600.0,5000,0.0,0.0,BU,16000.0,12400.0,False,0.0,10:03:24
22600.0,2000,0.0,0.0,BU,11000.0,12400.0,False,0.0,09:59:22
22600.0,5000,0.0,0.0,BU,9000.0,12400.0,False,200.0,09:57:44
22400.0,5000,-200.0,0.0,SD,4000.0,12400.0,False,0.0,09:56:40
22400.0,3000,-200.0,0.0,SD,4000.0,7400.0,False,0.0,09:48:44
22400.0,1000,-200.0,0.0,SD,4000.0,4400.0,False,0.0,09:47:17
22400.0,300,-200.0,0.0,SD,4000.0,3400.0,False,-400.0,09:43:24
22800.0,1000,200.0,0.0,BU,4000.0,3100.0,False,600.0,09:41:47
22200.0,1100,-400.0,0.0,SD,3000.0,3100.0,False,200.0,09:33:50
22000.0,3000,-600.0,0.0,BU,3000.0,2000.0,False,0.0,09:25:25
22000.0,2000,-600.0,0.0,SD,0.0,2000.0,False,0.0,09:23:31
