p,v,cp,rcp,a,ba,sa,hl,pcp,t
99000.0,500,0.0,0.0,BU,783100.0,198500.0,False,0.0,14:29:02
99000.0,400,0.0,0.0,BU,782600.0,198500.0,False,0.0,14:27:54
99000.0,500,0.0,0.0,SD,782200.0,198500.0,False,0.0,14:27:42
99000.0,100,0.0,0.0,BU,782200.0,198000.0,False,200.0,14:27:27
98800.0,100,-200.0,0.0,BU,782100.0,198000.0,False,-100.0,14:26:56
98900.0,500,-100.0,0.0,BU,782000.0,198000.0,False,100.0,14:26:56
98800.0,400,-200.0,0.0,BU,781500.0,198000.0,False,0.0,14:26:56
98800.0,600,-200.0,0.0,BU,781100.0,198000.0,False,400.0,14:26:34
98400.0,100,-600.0,0.0,SD,780500.0,198000.0,False,0.0,14:26:28
98400.0,200,-600.0,0.0,SD,780500.0,197900.0,False,0.0,14:26:15
98400.0,800,-600.0,0.0,SD,780500.0,197700.0,False,0.0,14:26:15
98400.0,100,-600.0,0.0,BU,780500.0,196900.0,False,500.0,14:26:01
97900.0,200,-1100.0,0.0,SD,780400.0,196900.0,False,0.0,14:25:55
97900.0,700,-1100.0,0.0,BU,780400.0,196700.0,False,100.0,14:25:33
97800.0,100,-1200.0,0.0,SD,779700.0,196700.0,False,200.0,14:25:26
97600.0,200,-1400.0,0.0,SD,779700.0,196600.0,False,300.0,14:25:24
97300.0,400,-1700.0,0.0,SD,779700.0,196400.0,False,0.0,14:24:55
97300.0,100,-1700.0,0.0,SD,779700.0,196000.0,False,-200.0,14:24:55
97500.0,100,-1500.0,0.0,SD,779700.0,195900.0,False,0.0,14:24:53
97500.0,900,-1500.0,0.0,BU,779700.0,195800.0,False,300.0,14:24:53
97200.0,200,-1800.0,0.0,SD,778800.0,195800.0,False,100.0,14:24:21
97100.0,1500,-1900.0,0.0,SD,778800.0,195600.0,False,0.0,14:24:03
97100.0,1000,-1900.0,0.0,SD,778800.0,194100.0,False,0.0,14:23:58
97100.0,100,-1900.0,0.0,SD,778800.0,193100.0,False,0.0,14:23:50
97100.0,1500,-1900.0,0.0,SD,778800.0,193000.0,False,0.0,14:23:49
97100.0,500,-1900.0,0.0,SD,778800.0,191500.0,False,0.0,14:23:46
97100.0,500,-1900.0,0.0,SD,778800.0,191000.0,False,100.0,14:23:46
97000.0,500,-2000.0,0.0,SD,778800.0,190500.0,False,0.0,14:23:35
97000.0,100,-2000.0,0.0,SD,778800.0,190000.0,False,0.0,14:23:35
97000.0,100,-2000.0,0.0,SD,778800.0,189900.0,False,0.0,14:23:35
97000.0,100,-2000.0,0.0,SD,778800.0,189800.0,False,0.0,14:23:35
97000.0,100,-2000.0,0.0,SD,778800.0,189700.0,False,0.0,14:23:35
97000.0,600,-2000.0,0.0,SD,778800.0,189600.0,False,0.0,14:23:35
97000.0,500,-2000.0,0.0,SD,778800.0,189000.0,False,0.0,14:23:32
97000.0,200,-2000.0,0.0,SD,778800.0,188500.0,False,0.0,14:23:32
97000.0,1500,-2000.0,0.0,SD,778800.0,188300.0,False,-100.0,14:23:24
97100.0,200,-1900.0,0.0,SD,778800.0,186800.0,False,100.0,14:23:19
97000.0,1000,-2000.0,0.0,SD,778800.0,186600.0,False,-100.0,14:23:07
97100.0,500,-1900.0,0.0,SD,778800.0,185600.0,False,0.0,14:23:05
97100.0,200,-1900.0,0.0,SD,778800.0,185100.0,False,0.0,14:23:05
97100.0,100,-1900.0,0.0,SD,778800.0,184900.0,False,0.0,14:23:05
97100.0,100,-1900.0,0.0,SD,778800.0,184800.0,False,-100.0,14:23:05
97200.0,100,-1800.0,0.0,SD,778800.0,184700.0,False,0.0,14:23:05
97200.0,500,-1800.0,0.0,SD,778800.0,184600.0,False,0.0,14:23:05
97200.0,1000,-1800.0,0.0,SD,778800.0,184100.0,False,100.0,14:22:59
97100.0,900,-1900.0,0.0,SD,778800.0,183100.0,False,-100.0,14:22:57
97200.0,100,-1800.0,0.0,SD,778800.0,182200.0,False,100.0,14:22:57
97100.0,1500,-1900.0,0.0,SD,778800.0,182100.0,False,0.0,14:22:52
