p,v,cp,rcp,a,ba,sa,hl,pcp,t
51100.0,32500,-500.0,0.0,,454900.0,339800.0,False,0.0,14:45:01
51100.0,7500,-500.0,0.0,BU,454900.0,339800.0,True,0.0,14:29:59
51100.0,10000,-500.0,0.0,BU,447400.0,339800.0,True,0.0,14:29:45
51100.0,7000,-500.0,0.0,BU,437400.0,339800.0,True,0.0,14:29:33
51100.0,19500,-500.0,0.0,BU,430400.0,339800.0,True,0.0,14:29:33
51100.0,300,-500.0,0.0,SD,410900.0,339800.0,False,0.0,14:29:05
51100.0,5800,-500.0,0.0,SD,410900.0,339500.0,True,0.0,14:28:57
51100.0,22300,-500.0,0.0,BU,410900.0,333700.0,True,0.0,14:28:38
51100.0,4200,-500.0,0.0,SD,388600.0,333700.0,True,0.0,14:28:19
51100.0,5700,-500.0,0.0,BU,388600.0,329500.0,True,100.0,14:28:03
51000.0,3000,-600.0,0.0,SD,382900.0,329500.0,False,-100.0,14:27:53
51100.0,500,-500.0,0.0,BU,382900.0,326500.0,False,0.0,14:27:49
51100.0,1200,-500.0,0.0,BU,382400.0,326500.0,False,0.0,14:26:53
51100.0,500,-500.0,0.0,SD,381200.0,326500.0,False,0.0,14:25:25
51100.0,19800,-500.0,0.0,SD,381200.0,326000.0,True,-100.0,14:25:13
51200.0,10000,-400.0,0.0,BU,381200.0,306200.0,True,0.0,14:24:32
51200.0,5000,-400.0,0.0,BU,371200.0,306200.0,True,0.0,14:24:18
51200.0,11500,-400.0,0.0,BU,366200.0,306200.0,True,100.0,14:24:18
51100.0,1000,-500.0,0.0,SD,354700.0,306200.0,False,0.0,14:23:43
51100.0,2400,-500.0,0.0,SD,354700.0,305200.0,False,-100.0,14:23:43
51200.0,4400,-400.0,0.0,SD,354700.0,302800.0,True,0.0,14:23:37
51200.0,8000,-400.0,0.0,SD,354700.0,298400.0,True,0.0,14:23:37
51200.0,7600,-400.0,0.0,SD,354700.0,290400.0,True,0.0,14:23:37
51200.0,4000,-400.0,0.0,SD,354700.0,282800.0,True,0.0,14:23:37
51200.0,7200,-400.0,0.0,SD,354700.0,278800.0,True,0.0,14:23:37
51200.0,6800,-400.0,0.0,SD,354700.0,271600.0,True,0.0,14:23:37
