p,v,cp,rcp,a,ba,sa,hl,pcp,t
12800.0,100,-400.0,0.0,BU,1311600.0,2612200.0,False,100.0,14:59:44
12700.0,7500,-500.0,0.0,SD,1311500.0,2612200.0,False,0.0,14:59:27
12700.0,20000,-500.0,0.0,SD,1311500.0,2604700.0,True,0.0,14:59:24
12700.0,1000,-500.0,0.0,SD,1311500.0,2584700.0,False,0.0,14:59:15
12700.0,3700,-500.0,0.0,SD,1311500.0,2583700.0,False,0.0,14:59:12
12700.0,1000,-500.0,0.0,SD,1311500.0,2580000.0,False,0.0,14:58:11
12700.0,200,-500.0,0.0,SD,1311500.0,2579000.0,False,0.0,14:57:59
12700.0,2000,-500.0,0.0,SD,1311500.0,2578800.0,False,0.0,14:57:25
12700.0,500,-500.0,0.0,SD,1311500.0,2576800.0,False,-100.0,14:56:39
12800.0,1000,-400.0,0.0,BU,1311500.0,2576300.0,False,0.0,14:56:33
12800.0,3000,-400.0,0.0,BU,1310500.0,2576300.0,False,0.0,14:56:20
12800.0,10000,-400.0,0.0,BU,1307500.0,2576300.0,False,0.0,14:54:58
12800.0,2500,-400.0,0.0,BU,1297500.0,2576300.0,False,100.0,14:54:07
12700.0,100,-500.0,0.0,SD,1295000.0,2576300.0,False,0.0,14:54:02
12700.0,10000,-500.0,0.0,SD,1295000.0,2576200.0,False,0.0,14:53:44
12700.0,3000,-500.0,0.0,SD,1295000.0,2566200.0,False,0.0,14:53:35
12700.0,2000,-500.0,0.0,SD,1295000.0,2563200.0,False,0.0,14:53:22
12700.0,600,-500.0,0.0,SD,1295000.0,2561200.0,False,0.0,14:52:04
12700.0,42100,-500.0,0.0,SD,1295000.0,2560600.0,True,0.0,14:50:26
12700.0,2000,-500.0,0.0,BU,1295000.0,2518500.0,False,0.0,14:50:17
12700.0,5000,-500.0,0.0,BU,1293000.0,2518500.0,False,0.0,14:49:21
12700.0,500,-500.0,0.0,BU,1288000.0,2518500.0,False,0.0,14:48:24
