p,v,cp,rcp,a,ba,sa,hl,pcp,t
32000.0,5500,-550.0,0.0,,102100.0,136900.0,False,0.0,14:45:00
32000.0,1500,-550.0,0.0,BU,102100.0,136900.0,False,100.0,14:29:21
31900.0,100,-650.0,0.0,BU,100600.0,136900.0,False,100.0,14:27:43
31800.0,100,-750.0,0.0,SD,100500.0,136900.0,False,0.0,14:26:02
31800.0,500,-750.0,0.0,SD,100500.0,136800.0,False,0.0,14:24:54
31800.0,100,-750.0,0.0,SD,100500.0,136300.0,False,-100.0,14:24:54
31900.0,500,-650.0,0.0,SD,100500.0,136200.0,False,0.0,14:24:42
31900.0,200,-650.0,0.0,SD,100500.0,135700.0,False,0.0,14:24:42
31900.0,200,-650.0,0.0,SD,100500.0,135500.0,False,-50.0,14:24:42
31950.0,200,-600.0,0.0,SD,100500.0,135300.0,False,-50.0,14:24:34
32000.0,3000,-550.0,0.0,SD,100500.0,135100.0,False,0.0,14:24:29
32000.0,1000,-550.0,0.0,SD,100500.0,132100.0,False,0.0,14:24:29
32000.0,300,-550.0,0.0,SD,100500.0,131100.0,False,0.0,14:24:29
32000.0,1100,-550.0,0.0,BU,100500.0,130800.0,False,0.0,14:21:44
32000.0,10000,-550.0,0.0,SD,99400.0,130800.0,True,0.0,14:19:17
32000.0,200,-550.0,0.0,SD,99400.0,120800.0,False,0.0,14:19:17
32000.0,200,-550.0,0.0,SD,99400.0,120600.0,False,-50.0,14:19:17
32050.0,500,-500.0,0.0,SD,99400.0,120400.0,False,50.0,14:19:17
32000.0,100,-550.0,0.0,SD,99400.0,119900.0,False,0.0,14:16:45
32000.0,900,-550.0,0.0,SD,99400.0,119800.0,False,0.0,14:13:50
32000.0,600,-550.0,0.0,SD,99400.0,118900.0,False,-500.0,14:13:45
32500.0,100,-50.0,0.0,BU,99400.0,118300.0,False,100.0,14:09:35
32400.0,100,-150.0,0.0,BU,99300.0,118300.0,False,0.0,14:09:35
32400.0,200,-150.0,0.0,BU,99200.0,118300.0,False,50.0,14:09:35
32350.0,100,-200.0,0.0,BU,99000.0,118300.0,False,0.0,14:09:35
32350.0,600,-200.0,0.0,BU,98900.0,118300.0,False,50.0,14:09:35
32300.0,100,-250.0,0.0,BU,98300.0,118300.0,False,0.0,14:09:35
32300.0,100,-250.0,0.0,BU,98200.0,118300.0,False,0.0,14:09:35
32300.0,200,-250.0,0.0,BU,98100.0,118300.0,False,100.0,14:09:35
32200.0,100,-350.0,0.0,BU,97900.0,118300.0,False,0.0,14:08:31
32200.0,400,-350.0,0.0,BU,97800.0,118300.0,False,200.0,14:08:31
32000.0,400,-550.0,0.0,BU,97400.0,118300.0,False,0.0,14:06:52
32000.0,900,-550.0,0.0,BU,97000.0,118300.0,False,0.0,14:05:04
32000.0,1000,-550.0,0.0,BU,96100.0,118300.0,False,0.0,14:04:54
32000.0,1100,-550.0,0.0,BU,95100.0,118300.0,False,0.0,14:04:50
32000.0,100,-550.0,0.0,BU,94000.0,118300.0,False,0.0,14:04:33
32000.0,500,-550.0,0.0,BU,93900.0,118300.0,False,0.0,14:04:30
32000.0,1000,-550.0,0.0,SD,93400.0,118300.0,False,-200.0,14:04:00
32200.0,100,-350.0,0.0,BU,93400.0,117300.0,False,200.0,14:02:28
32000.0,100,-550.0,0.0,BU,93300.0,117300.0,False,50.0,14:02:28
31950.0,100,-600.0,0.0,SD,93200.0,117300.0,False,0.0,14:01:55
31950.0,2300,-600.0,0.0,BU,93200.0,117200.0,False,0.0,13:57:04
31950.0,500,-600.0,0.0,BU,90900.0,117200.0,False,0.0,13:56:32
31950.0,4900,-600.0,0.0,BU,90400.0,117200.0,False,0.0,13:56:19
31950.0,200,-600.0,0.0,BU,85500.0,117200.0,False,0.0,13:56:04
31950.0,2800,-600.0,0.0,BU,85300.0,117200.0,False,0.0,13:54:42
31950.0,200,-600.0,0.0,BU,82500.0,117200.0,False,0.0,13:54:42
31950.0,100,-600.0,0.0,BU,82300.0,117200.0,False,0.0,13:53:09
31950.0,2900,-600.0,0.0,BU,82200.0,117200.0,False,150.0,13:53:09
31800.0,300,-750.0,0.0,BU,79300.0,117200.0,False,100.0,13:52:28
31700.0,200,-850.0,0.0,SD,79000.0,117200.0,False,0.0,13:51:20
31700.0,100,-850.0,0.0,BU,79000.0,117000.0,False,0.0,13:51:01
31700.0,900,-850.0,0.0,BU,78900.0,117000.0,False,0.0,13:51:01
31700.0,100,-850.0,0.0,BU,78000.0,117000.0,False,50.0,13:50:09
31650.0,100,-900.0,0.0,SD,77900.0,117000.0,False,0.0,13:49:59
31650.0,2000,-900.0,0.0,SD,77900.0,116900.0,False,0.0,13:49:59
31650.0,2000,-900.0,0.0,SD,77900.0,114900.0,False,0.0,13:49:59
31650.0,1000,-900.0,0.0,SD,77900.0,112900.0,False,0.0,13:49:59
31650.0,900,-900.0,0.0,SD,77900.0,111900.0,False,0.0,13:49:59
31650.0,100,-900.0,0.0,SD,77900.0,111000.0,False,-50.0,13:48:30
31700.0,500,-850.0,0.0,SD,77900.0,110900.0,False,-100.0,13:48:16
31800.0,100,-750.0,0.0,SD,77900.0,110400.0,False,0.0,13:47:30
31800.0,100,-750.0,0.0,SD,77900.0,110300.0,False,0.0,13:47:30
31800.0,100,-750.0,0.0,SD,77900.0,110200.0,False,0.0,13:45:50
31800.0,6000,-750.0,0.0,SD,77900.0,110100.0,False,0.0,13:45:50
31800.0,500,-750.0,0.0,SD,77900.0,104100.0,False,-100.0,13:45:50
31900.0,1000,-650.0,0.0,SD,77900.0,103600.0,False,0.0,13:45:22
31900.0,100,-650.0,0.0,SD,77900.0,102600.0,False,0.0,13:45:22
31900.0,200,-650.0,0.0,SD,77900.0,102500.0,False,0.0,13:45:22
31900.0,400,-650.0,0.0,SD,77900.0,102300.0,False,-50.0,13:45:22
31950.0,500,-600.0,0.0,SD,77900.0,101900.0,False,0.0,13:44:18
31950.0,500,-600.0,0.0,SD,77900.0,101400.0,False,0.0,13:44:18
31950.0,100,-600.0,0.0,SD,77900.0,100900.0,False,0.0,13:44:18
31950.0,1000,-600.0,0.0,SD,77900.0,100800.0,False,0.0,13:44:18
31950.0,200,-600.0,0.0,SD,77900.0,99800.0,False,-200.0,13:40:23
32150.0,400,-400.0,0.0,BU,77900.0,99600.0,False,200.0,13:40:08
31950.0,3800,-600.0,0.0,SD,77500.0,99600.0,False,0.0,13:38:55
31950.0,100,-600.0,0.0,SD,77500.0,95800.0,False,0.0,13:38:55
31950.0,1100,-600.0,0.0,SD,77500.0,95700.0,False,-350.0,13:38:55
32300.0,100,-250.0,0.0,BU,77500.0,94600.0,False,300.0,13:36:47
32000.0,300,-550.0,0.0,BU,77400.0,94600.0,False,50.0,13:36:47
31950.0,400,-600.0,0.0,SD,77100.0,94600.0,False,-50.0,13:35:15
32000.0,500,-550.0,0.0,BU,77100.0,94200.0,False,0.0,13:35:15
32000.0,1000,-550.0,0.0,BU,76600.0,94200.0,False,-300.0,13:35:15
32300.0,600,-250.0,0.0,BU,75600.0,94200.0,False,0.0,13:34:37
32300.0,100,-250.0,0.0,BU,75000.0,94200.0,False,0.0,13:34:37
32300.0,600,-250.0,0.0,BU,74900.0,94200.0,False,100.0,13:34:37
32200.0,200,-350.0,0.0,BU,74300.0,94200.0,False,0.0,13:34:37
32200.0,500,-350.0,0.0,BU,74100.0,94200.0,False,200.0,13:34:37
32000.0,1000,-550.0,0.0,SD,73600.0,94200.0,False,-100.0,13:33:28
32100.0,500,-450.0,0.0,BU,73600.0,93200.0,False,0.0,13:32:18
32100.0,100,-450.0,0.0,BU,73100.0,93200.0,False,0.0,13:32:18
32100.0,400,-450.0,0.0,BU,73000.0,93200.0,False,0.0,13:32:18
32100.0,600,-450.0,0.0,BU,72600.0,93200.0,False,150.0,13:31:36
31950.0,500,-600.0,0.0,BU,72000.0,93200.0,False,0.0,13:31:00
31950.0,500,-600.0,0.0,BU,71500.0,93200.0,False,0.0,13:31:00
31950.0,500,-600.0,0.0,SD,71000.0,93200.0,False,0.0,13:28:05
31950.0,1500,-600.0,0.0,SD,71000.0,92700.0,False,0.0,13:27:38
31950.0,100,-600.0,0.0,SD,71000.0,91200.0,False,0.0,13:27:29
31950.0,900,-600.0,0.0,SD,71000.0,91100.0,False,-50.0,13:26:23
32000.0,100,-550.0,0.0,SD,71000.0,90200.0,False,0.0,13:26:23
32000.0,500,-550.0,0.0,SD,71000.0,90100.0,False,0.0,13:24:51
32000.0,500,-550.0,0.0,SD,71000.0,89600.0,False,0.0,13:24:51
