p,v,cp,rcp,a,ba,sa,hl,pcp,t
4220.0,346300,-140.0,0.0,,3398400.0,6041200.0,False,-20.0,14:45:00
4240.0,200,-120.0,0.0,SD,3398400.0,6041200.0,False,-10.0,14:29:56
4250.0,1000,-110.0,0.0,BU,3398400.0,6041000.0,False,10.0,14:29:52
4240.0,200,-120.0,0.0,SD,3397400.0,6041000.0,False,-10.0,14:29:52
4250.0,400,-110.0,0.0,BU,3397400.0,6040800.0,False,10.0,14:29:43
4240.0,2900,-120.0,0.0,SD,3397000.0,6040800.0,False,0.0,14:29:38
4240.0,2100,-120.0,0.0,SD,3397000.0,6037900.0,False,0.0,14:29:38
4240.0,2800,-120.0,0.0,BU,3397000.0,6035800.0,False,0.0,14:29:21
4240.0,4300,-120.0,0.0,BU,3394200.0,6035800.0,False,0.0,14:29:21
4240.0,700,-120.0,0.0,BU,3389900.0,6035800.0,False,0.0,14:29:18
4240.0,400,-120.0,0.0,BU,3389200.0,6035800.0,False,0.0,14:29:18
4240.0,100,-120.0,0.0,BU,3388800.0,6035800.0,False,0.0,14:29:14
4240.0,1500,-120.0,0.0,BU,3388700.0,6035800.0,False,0.0,14:29:06
4240.0,1000,-120.0,0.0,BU,3387200.0,6035800.0,False,0.0,14:29:06
4240.0,1000,-120.0,0.0,BU,3386200.0,6035800.0,False,0.0,14:29:06
4240.0,2300,-120.0,0.0,BU,3385200.0,6035800.0,False,0.0,14:29:06
4240.0,4200,-120.0,0.0,BU,3382900.0,6035800.0,False,0.0,14:29:06
4240.0,3000,-120.0,0.0,BU,3378700.0,6035800.0,False,0.0,14:29:06
4240.0,100,-120.0,0.0,BU,3375700.0,6035800.0,False,0.0,14:29:01
4240.0,2000,-120.0,0.0,BU,3375600.0,6035800.0,False,10.0,14:28:48
4230.0,5000,-130.0,0.0,SD,3373600.0,6035800.0,False,-10.0,14:28:27
4240.0,100,-120.0,0.0,BU,3373600.0,6030800.0,False,10.0,14:28:24
4230.0,2000,-130.0,0.0,SD,3373500.0,6030800.0,False,0.0,14:28:18
4230.0,500,-130.0,0.0,BU,3373500.0,6028800.0,False,0.0,14:28:11
4230.0,10000,-130.0,0.0,BU,3373000.0,6028800.0,False,0.0,14:28:11
4230.0,1000,-130.0,0.0,BU,3363000.0,6028800.0,False,0.0,14:28:11
4230.0,12600,-130.0,0.0,BU,3362000.0,6028800.0,False,0.0,14:28:11
4230.0,300,-130.0,0.0,BU,3349400.0,6028800.0,False,0.0,14:28:09
4230.0,6000,-130.0,0.0,BU,3349100.0,6028800.0,False,0.0,14:28:08
4230.0,500,-130.0,0.0,BU,3343100.0,6028800.0,False,0.0,14:28:06
4230.0,3000,-130.0,0.0,BU,3342600.0,6028800.0,False,0.0,14:28:03
4230.0,100,-130.0,0.0,BU,3339600.0,6028800.0,False,10.0,14:27:55
4220.0,2900,-140.0,0.0,SD,3339500.0,6028800.0,False,-10.0,14:27:50
4230.0,200,-130.0,0.0,SD,3339500.0,6025900.0,False,0.0,14:27:50
4230.0,800,-130.0,0.0,SD,3339500.0,6025700.0,False,0.0,14:27:50
4230.0,5900,-130.0,0.0,SD,3339500.0,6024900.0,False,0.0,14:27:50
