p,v,cp,rcp,a,ba,sa,hl,pcp,t
71000.0,100,400.0,0.0,BU,11400.0,15600.0,False,600.0,14:09:10
70400.0,300,-200.0,0.0,SD,11300.0,15600.0,False,0.0,14:04:02
70400.0,1000,-200.0,0.0,SD,11300.0,15300.0,False,0.0,13:39:29
70400.0,100,-200.0,0.0,SD,11300.0,14300.0,False,-100.0,13:27:57
70500.0,400,-100.0,0.0,SD,11300.0,14200.0,False,0.0,13:27:57
70500.0,200,-100.0,0.0,SD,11300.0,13800.0,False,-700.0,13:27:57
71200.0,100,600.0,0.0,BU,11300.0,13600.0,False,800.0,13:06:29
70400.0,100,-200.0,0.0,SD,11200.0,13600.0,False,0.0,13:02:59
70400.0,1200,-200.0,0.0,SD,11200.0,13500.0,False,0.0,11:25:20
70400.0,1500,-200.0,0.0,SD,11200.0,12300.0,False,-100.0,11:25:20
70500.0,3000,-100.0,0.0,BU,11200.0,10800.0,True,0.0,11:25:20
70500.0,700,-100.0,0.0,BU,8200.0,10800.0,False,-100.0,11:25:20
70600.0,1400,0.0,0.0,BU,7500.0,10800.0,False,0.0,11:25:20
70600.0,100,0.0,0.0,SD,6100.0,10800.0,False,0.0,11:09:32
70600.0,100,0.0,0.0,SD,6100.0,10700.0,False,-800.0,11:09:32
71400.0,100,800.0,0.0,BU,6100.0,10600.0,False,800.0,10:38:34
70600.0,1400,0.0,0.0,SD,6000.0,10600.0,False,0.0,10:35:08
70600.0,400,0.0,0.0,SD,6000.0,9200.0,False,0.0,10:35:08
70600.0,1000,0.0,0.0,SD,6000.0,8800.0,False,-100.0,10:35:08
70700.0,200,100.0,0.0,SD,6000.0,7800.0,False,0.0,10:35:08
70700.0,900,100.0,0.0,SD,6000.0,7600.0,False,0.0,10:32:13
70700.0,300,100.0,0.0,SD,6000.0,6700.0,False,-800.0,10:32:13
71500.0,100,900.0,0.0,BU,6000.0,6400.0,False,900.0,10:05:03
70600.0,100,0.0,0.0,SD,5900.0,6400.0,False,-900.0,09:56:59
71500.0,100,900.0,0.0,BU,5900.0,6300.0,False,1000.0,09:40:14
70500.0,800,-100.0,0.0,SD,5800.0,6300.0,False,-100.0,09:39:38
70600.0,200,0.0,0.0,SD,5800.0,5500.0,False,-900.0,09:39:38
71500.0,100,900.0,0.0,BU,5800.0,5300.0,False,1000.0,09:39:13
70500.0,1300,-100.0,0.0,SD,5700.0,5300.0,False,-100.0,09:35:47
70600.0,100,0.0,0.0,SD,5700.0,4000.0,False,0.0,09:35:47
70600.0,300,0.0,0.0,SD,5700.0,3900.0,False,0.0,09:35:47
70600.0,1500,0.0,0.0,SD,5700.0,3600.0,False,0.0,09:35:47
70600.0,400,0.0,0.0,SD,5700.0,2100.0,False,-100.0,09:35:47
70700.0,400,100.0,0.0,SD,5700.0,1700.0,False,0.0,09:35:47
70700.0,100,100.0,0.0,SD,5700.0,1300.0,False,0.0,09:35:47
70700.0,100,100.0,0.0,SD,5700.0,1200.0,False,-500.0,09:35:47
71200.0,100,600.0,0.0,BU,5700.0,1100.0,False,-300.0,09:33:54
71500.0,600,900.0,0.0,BU,5600.0,1100.0,False,0.0,09:33:46
71500.0,400,900.0,0.0,BU,5000.0,1100.0,False,0.0,09:33:46
71500.0,100,900.0,0.0,BU,4600.0,1100.0,False,-300.0,09:27:41
71800.0,100,1200.0,0.0,BU,4500.0,1100.0,False,600.0,09:25:55
71200.0,100,600.0,0.0,BU,4400.0,1100.0,False,0.0,09:25:08
71200.0,1000,600.0,0.0,BU,4300.0,1100.0,False,0.0,09:25:08
71200.0,1300,600.0,0.0,BU,3300.0,1100.0,False,0.0,09:25:08
71200.0,100,600.0,0.0,BU,2000.0,1100.0,False,700.0,09:19:36
70500.0,200,-100.0,0.0,SD,1900.0,1100.0,False,-100.0,09:17:49
70600.0,1500,0.0,0.0,BU,1900.0,900.0,False,-100.0,09:17:49
70700.0,100,100.0,0.0,BU,400.0,900.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,BU,300.0,900.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,BU,200.0,900.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,BU,100.0,900.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,SD,0.0,900.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,SD,0.0,800.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,SD,0.0,700.0,False,0.0,09:17:49
70700.0,100,100.0,0.0,SD,0.0,600.0,False,0.0,09:17:49
70700.0,500,100.0,0.0,SD,0.0,500.0,False,-500.0,09:17:49
71200.0,1000,600.0,0.0,,0.0,0.0,False,0.0,09:15:01
