p,v,cp,rcp,a,ba,sa,hl,pcp,t
19150.0,764700,100.0,0.0,,5837900.0,8194400.0,False,100.0,14:45:02
19050.0,400,0.0,0.0,BU,5837900.0,8194400.0,False,0.0,14:29:59
19050.0,2000,0.0,0.0,BU,5837500.0,8194400.0,False,50.0,14:29:58
19000.0,800,-50.0,0.0,SD,5835500.0,8194400.0,False,0.0,14:29:55
19000.0,100,-50.0,0.0,SD,5835500.0,8193600.0,False,0.0,14:29:55
19000.0,100,-50.0,0.0,SD,5835500.0,8193500.0,False,-50.0,14:29:55
19050.0,100,0.0,0.0,BU,5835500.0,8193400.0,False,0.0,14:29:50
19050.0,5000,0.0,0.0,BU,5835400.0,8193400.0,False,0.0,14:29:47
19050.0,200,0.0,0.0,BU,5830400.0,8193400.0,False,0.0,14:29:47
19050.0,100,0.0,0.0,BU,5830200.0,8193400.0,False,0.0,14:29:47
19050.0,100,0.0,0.0,BU,5830100.0,8193400.0,False,0.0,14:29:47
19050.0,5000,0.0,0.0,BU,5830000.0,8193400.0,False,0.0,14:29:47
19050.0,500,0.0,0.0,BU,5825000.0,8193400.0,False,0.0,14:29:47
19050.0,4000,0.0,0.0,BU,5824500.0,8193400.0,False,0.0,14:29:47
19050.0,18100,0.0,0.0,BU,5820500.0,8193400.0,True,0.0,14:29:47
19050.0,3300,0.0,0.0,BU,5802400.0,8193400.0,False,0.0,14:29:43
19050.0,1500,0.0,0.0,BU,5799100.0,8193400.0,False,0.0,14:29:43
19050.0,200,0.0,0.0,BU,5797600.0,8193400.0,False,0.0,14:29:43
19050.0,4800,0.0,0.0,BU,5797400.0,8193400.0,False,0.0,14:29:40
19050.0,2800,0.0,0.0,BU,5792600.0,8193400.0,False,0.0,14:29:40
19050.0,400,0.0,0.0,BU,5789800.0,8193400.0,False,0.0,14:29:40
19050.0,200,0.0,0.0,BU,5789400.0,8193400.0,False,50.0,14:29:40
19000.0,1400,-50.0,0.0,SD,5789200.0,8193400.0,False,0.0,14:29:38
19000.0,1600,-50.0,0.0,SD,5789200.0,8192000.0,False,-50.0,14:29:38
19050.0,2500,0.0,0.0,BU,5789200.0,8190400.0,False,0.0,14:29:37
19050.0,2500,0.0,0.0,BU,5786700.0,8190400.0,False,50.0,14:29:37
19000.0,2900,-50.0,0.0,SD,5784200.0,8190400.0,False,0.0,14:29:25
19000.0,500,-50.0,0.0,SD,5784200.0,8187500.0,False,0.0,14:29:20
19000.0,1800,-50.0,0.0,SD,5784200.0,8187000.0,False,0.0,14:29:20
19000.0,200,-50.0,0.0,SD,5784200.0,8185200.0,False,0.0,14:29:20
19000.0,100,-50.0,0.0,SD,5784200.0,8185000.0,False,0.0,14:29:17
19000.0,900,-50.0,0.0,SD,5784200.0,8184900.0,False,0.0,14:29:16
19000.0,200,-50.0,0.0,SD,5784200.0,8184000.0,False,-50.0,14:29:16
19050.0,200,0.0,0.0,BU,5784200.0,8183800.0,False,50.0,14:29:14
19000.0,300,-50.0,0.0,SD,5784000.0,8183800.0,False,0.0,14:29:09
19000.0,100,-50.0,0.0,SD,5784000.0,8183500.0,False,-50.0,14:29:09
19050.0,2000,0.0,0.0,BU,5784000.0,8183400.0,False,50.0,14:29:06
19000.0,400,-50.0,0.0,SD,5782000.0,8183400.0,False,0.0,14:29:05
19000.0,800,-50.0,0.0,SD,5782000.0,8183000.0,False,0.0,14:29:05
19000.0,400,-50.0,0.0,SD,5782000.0,8182200.0,False,0.0,14:29:05
19000.0,100,-50.0,0.0,SD,5782000.0,8181800.0,False,0.0,14:29:05
19000.0,100,-50.0,0.0,SD,5782000.0,8181700.0,False,0.0,14:29:05
19000.0,1000,-50.0,0.0,SD,5782000.0,8181600.0,False,0.0,14:29:05
19000.0,2000,-50.0,0.0,SD,5782000.0,8180600.0,False,0.0,14:29:00
19000.0,300,-50.0,0.0,SD,5782000.0,8178600.0,False,0.0,14:29:00
19000.0,1700,-50.0,0.0,SD,5782000.0,8178300.0,False,0.0,14:29:00
