p,v,cp,rcp,a,ba,sa,hl,pcp,t
5000.0,200,-200.0,0.0,SD,202000.0,211200.0,False,0.0,14:52:11
5000.0,3000,-200.0,0.0,SD,202000.0,211000.0,False,0.0,14:39:26
5000.0,2000,-200.0,0.0,SD,202000.0,208000.0,False,0.0,14:27:01
5000.0,100,-200.0,0.0,SD,202000.0,206000.0,False,-100.0,14:24:41
5100.0,100,-100.0,0.0,BU,202000.0,205900.0,False,0.0,14:24:29
5100.0,100,-100.0,0.0,BU,201900.0,205900.0,False,0.0,14:23:42
5100.0,100,-100.0,0.0,BU,201800.0,205900.0,False,0.0,14:22:55
5100.0,1000,-100.0,0.0,BU,201700.0,205900.0,False,0.0,14:21:23
5100.0,3500,-100.0,0.0,BU,200700.0,205900.0,False,0.0,14:21:19
5100.0,100,-100.0,0.0,BU,197200.0,205900.0,False,0.0,14:17:52
5100.0,4000,-100.0,0.0,SD,197100.0,205900.0,False,0.0,14:15:24
5100.0,4800,-100.0,0.0,SD,197100.0,201900.0,False,0.0,14:15:07
5100.0,3900,-100.0,0.0,SD,197100.0,197100.0,False,0.0,14:13:36
5100.0,7400,-100.0,0.0,BU,197100.0,193200.0,False,0.0,14:03:57
5100.0,12600,-100.0,0.0,SD,189700.0,193200.0,False,0.0,14:02:58
5100.0,7600,-100.0,0.0,BU,189700.0,180600.0,False,0.0,14:02:34
5100.0,10000,-100.0,0.0,BU,182100.0,180600.0,False,0.0,14:02:25
5100.0,100,-100.0,0.0,BU,172100.0,180600.0,False,0.0,14:02:15
5100.0,5000,-100.0,0.0,BU,172000.0,180600.0,False,0.0,14:01:30
5100.0,10000,-100.0,0.0,BU,167000.0,180600.0,False,0.0,13:55:49
5100.0,10000,-100.0,0.0,BU,157000.0,180600.0,False,100.0,13:47:34
5000.0,6400,-200.0,0.0,SD,147000.0,180600.0,False,-100.0,13:47:28
5100.0,1000,-100.0,0.0,BU,147000.0,174200.0,False,0.0,13:44:02
5100.0,2600,-100.0,0.0,SD,146000.0,174200.0,False,0.0,13:42:15
5100.0,1000,-100.0,0.0,SD,146000.0,171600.0,False,0.0,13:41:10
5100.0,1000,-100.0,0.0,SD,146000.0,170600.0,False,0.0,13:40:31
5100.0,3000,-100.0,0.0,SD,146000.0,169600.0,False,0.0,13:39:47
5100.0,8600,-100.0,0.0,BU,146000.0,166600.0,False,0.0,13:38:25
5100.0,5000,-100.0,0.0,BU,137400.0,166600.0,False,0.0,13:38:21
5100.0,15000,-100.0,0.0,BU,132400.0,166600.0,False,0.0,13:38:16
5100.0,1000,-100.0,0.0,BU,117400.0,166600.0,False,0.0,13:38:05
5100.0,5000,-100.0,0.0,BU,116400.0,166600.0,False,0.0,13:37:18
5100.0,200,-100.0,0.0,BU,111400.0,166600.0,False,0.0,13:37:04
5100.0,1100,-100.0,0.0,BU,111200.0,166600.0,False,0.0,13:36:13
5100.0,200,-100.0,0.0,BU,110100.0,166600.0,False,100.0,13:35:08
5000.0,1600,-200.0,0.0,SD,109900.0,166600.0,False,0.0,13:27:10
5000.0,2000,-200.0,0.0,SD,109900.0,165000.0,False,0.0,13:26:48
5000.0,7000,-200.0,0.0,SD,109900.0,163000.0,False,-100.0,13:26:26
5100.0,100,-100.0,0.0,BU,109900.0,156000.0,False,100.0,13:13:14
5000.0,4000,-200.0,0.0,SD,109800.0,156000.0,False,0.0,13:08:37
5000.0,8200,-200.0,0.0,SD,109800.0,152000.0,False,0.0,13:08:35
5000.0,10000,-200.0,0.0,SD,109800.0,143800.0,False,-100.0,13:06:23
5100.0,300,-100.0,0.0,BU,109800.0,133800.0,False,100.0,13:04:43
5000.0,10000,-200.0,0.0,SD,109500.0,133800.0,False,-100.0,13:03:27
5100.0,400,-100.0,0.0,BU,109500.0,123800.0,False,0.0,13:00:06
5100.0,10000,-100.0,0.0,BU,109100.0,123800.0,False,0.0,13:00:05
5100.0,3600,-100.0,0.0,BU,99100.0,123800.0,False,0.0,11:26:35
5100.0,3500,-100.0,0.0,BU,95500.0,123800.0,False,0.0,11:24:06
5100.0,200,-100.0,0.0,BU,92000.0,123800.0,False,0.0,11:22:11
5100.0,900,-100.0,0.0,BU,91800.0,123800.0,False,0.0,11:20:18
5100.0,500,-100.0,0.0,BU,90900.0,123800.0,False,0.0,11:12:10
5100.0,500,-100.0,0.0,BU,90400.0,123800.0,False,0.0,11:10:31
5100.0,5000,-100.0,0.0,BU,89900.0,123800.0,False,0.0,11:09:43
5100.0,2700,-100.0,0.0,BU,84900.0,123800.0,False,0.0,11:08:27
5100.0,14500,-100.0,0.0,BU,82200.0,123800.0,False,0.0,11:08:06
5100.0,1000,-100.0,0.0,SD,67700.0,123800.0,False,0.0,11:07:20
5100.0,5000,-100.0,0.0,SD,67700.0,122800.0,False,0.0,11:04:19
5100.0,5000,-100.0,0.0,SD,67700.0,117800.0,False,0.0,11:02:17
5100.0,500,-100.0,0.0,SD,67700.0,112800.0,False,0.0,10:55:43
5100.0,500,-100.0,0.0,SD,67700.0,112300.0,False,0.0,10:55:25
5100.0,400,-100.0,0.0,SD,67700.0,111800.0,False,0.0,10:55:05
5100.0,400,-100.0,0.0,SD,67700.0,111400.0,False,0.0,10:54:53
5100.0,7500,-100.0,0.0,SD,67700.0,111000.0,False,0.0,10:52:11
5100.0,10000,-100.0,0.0,SD,67700.0,103500.0,False,0.0,10:51:47
5100.0,5000,-100.0,0.0,SD,67700.0,93500.0,False,0.0,10:44:04
5100.0,8000,-100.0,0.0,SD,67700.0,88500.0,False,0.0,10:43:57
5100.0,100,-100.0,0.0,SD,67700.0,80500.0,False,0.0,10:42:44
5100.0,17000,-100.0,0.0,SD,67700.0,80400.0,False,0.0,10:39:52
5100.0,200,-100.0,0.0,BU,67700.0,63400.0,False,100.0,10:37:42
5000.0,400,-200.0,0.0,SD,67500.0,63400.0,False,-100.0,10:34:35
5100.0,100,-100.0,0.0,BU,67500.0,63000.0,False,0.0,10:32:17
5100.0,1000,-100.0,0.0,BU,67400.0,63000.0,False,0.0,10:30:45
5100.0,500,-100.0,0.0,BU,66400.0,63000.0,False,0.0,10:26:28
5100.0,1200,-100.0,0.0,BU,65900.0,63000.0,False,0.0,10:18:27
5100.0,500,-100.0,0.0,BU,64700.0,63000.0,False,0.0,10:17:15
5100.0,3300,-100.0,0.0,SD,64200.0,63000.0,False,0.0,10:15:17
5100.0,200,-100.0,0.0,SD,64200.0,59700.0,False,0.0,10:11:44
5100.0,1000,-100.0,0.0,SD,64200.0,59500.0,False,0.0,10:10:47
5100.0,1000,-100.0,0.0,SD,64200.0,58500.0,False,0.0,10:09:03
5100.0,1000,-100.0,0.0,SD,64200.0,57500.0,False,0.0,10:08:46
5100.0,2000,-100.0,0.0,SD,64200.0,56500.0,False,0.0,10:08:20
5100.0,10000,-100.0,0.0,SD,64200.0,54500.0,False,0.0,10:06:38
5100.0,3100,-100.0,0.0,SD,64200.0,44500.0,False,0.0,10:05:15
5100.0,2000,-100.0,0.0,SD,64200.0,41400.0,False,0.0,10:04:28
5100.0,5000,-100.0,0.0,SD,64200.0,39400.0,False,0.0,10:01:34
5100.0,1000,-100.0,0.0,SD,64200.0,34400.0,False,0.0,09:50:03
5100.0,3100,-100.0,0.0,SD,64200.0,33400.0,False,0.0,09:47:33
5100.0,10000,-100.0,0.0,BU,64200.0,30300.0,False,0.0,09:47:12
5100.0,700,-100.0,0.0,BU,54200.0,30300.0,False,0.0,09:46:42
5100.0,40000,-100.0,0.0,BU,53500.0,30300.0,True,0.0,09:46:37
5100.0,1200,-100.0,0.0,BU,13500.0,30300.0,False,0.0,09:46:05
5100.0,500,-100.0,0.0,BU,12300.0,30300.0,False,0.0,09:38:51
5100.0,10600,-100.0,0.0,BU,11800.0,30300.0,False,0.0,09:37:52
5100.0,5000,-100.0,0.0,SD,1200.0,30300.0,False,0.0,09:37:05
5100.0,10000,-100.0,0.0,SD,1200.0,25300.0,False,0.0,09:35:32
5100.0,200,-100.0,0.0,SD,1200.0,15300.0,False,-100.0,09:34:42
5200.0,100,0.0,0.0,BU,1200.0,15100.0,False,100.0,09:29:39
5100.0,2000,-100.0,0.0,SD,1100.0,15100.0,False,0.0,09:29:03
5100.0,200,-100.0,0.0,SD,1100.0,13100.0,False,0.0,09:29:01
5100.0,3900,-100.0,0.0,SD,1100.0,12900.0,False,0.0,09:27:47
5100.0,5000,-100.0,0.0,SD,1100.0,9000.0,False,0.0,09:23:55
5100.0,4000,-100.0,0.0,SD,1100.0,4000.0,False,-100.0,09:23:38
5200.0,100,0.0,0.0,BU,1100.0,0.0,False,0.0,09:04:17
5200.0,300,0.0,0.0,BU,1000.0,0.0,False,0.0,09:00:19
5200.0,700,0.0,0.0,BU,700.0,0.0,False,0.0,09:00:10
