p,v,cp,rcp,a,ba,sa,hl,pcp,t
49400.0,2000,-800.0,0.0,SD,423900.0,637700.0,False,0.0,14:59:52
49400.0,4000,-800.0,0.0,SD,423900.0,635700.0,False,0.0,14:59:12
49400.0,500,-800.0,0.0,SD,423900.0,631700.0,False,0.0,14:58:38
49400.0,500,-800.0,0.0,SD,423900.0,631200.0,False,0.0,14:58:34
49400.0,500,-800.0,0.0,SD,423900.0,630700.0,False,0.0,14:58:22
49400.0,500,-800.0,0.0,SD,423900.0,630200.0,False,0.0,14:56:37
49400.0,500,-800.0,0.0,SD,423900.0,629700.0,False,-100.0,14:55:44
49500.0,200,-700.0,0.0,BU,423900.0,629200.0,False,0.0,14:53:26
49500.0,100,-700.0,0.0,BU,423700.0,629200.0,False,100.0,14:50:16
49400.0,100,-800.0,0.0,SD,423600.0,629200.0,False,0.0,14:50:15
49400.0,1200,-800.0,0.0,SD,423600.0,629100.0,False,0.0,14:49:52
49400.0,3700,-800.0,0.0,SD,423600.0,627900.0,False,0.0,14:49:29
49400.0,100,-800.0,0.0,BU,423600.0,624200.0,False,0.0,14:49:21
49400.0,200,-800.0,0.0,BU,423500.0,624200.0,False,100.0,14:48:15
49300.0,1200,-900.0,0.0,SD,423300.0,624200.0,False,0.0,14:44:37
49300.0,1200,-900.0,0.0,BU,423300.0,623000.0,False,0.0,14:44:34
49300.0,200,-900.0,0.0,SD,422100.0,623000.0,False,0.0,14:43:50
49300.0,19400,-900.0,0.0,SD,422100.0,622800.0,True,0.0,14:43:43
49300.0,900,-900.0,0.0,BU,422100.0,603400.0,False,0.0,14:42:38
49300.0,200,-900.0,0.0,BU,421200.0,603400.0,False,0.0,14:42:34
49300.0,300,-900.0,0.0,BU,421000.0,603400.0,False,0.0,14:41:17
49300.0,100,-900.0,0.0,BU,420700.0,603400.0,False,0.0,14:40:56
49300.0,200,-900.0,0.0,BU,420600.0,603400.0,False,0.0,14:40:54
49300.0,100,-900.0,0.0,BU,420400.0,603400.0,False,0.0,14:40:18
49300.0,800,-900.0,0.0,BU,420300.0,603400.0,False,0.0,14:39:30
49300.0,9900,-900.0,0.0,BU,419500.0,603400.0,True,0.0,14:39:22
49300.0,100,-900.0,0.0,SD,409600.0,603400.0,False,0.0,14:38:54
49300.0,900,-900.0,0.0,BU,409600.0,603300.0,False,0.0,14:38:09
49300.0,1800,-900.0,0.0,SD,408700.0,603300.0,False,0.0,14:37:39
49300.0,1000,-900.0,0.0,SD,408700.0,601500.0,False,0.0,14:37:29
49300.0,3000,-900.0,0.0,SD,408700.0,600500.0,False,-100.0,14:37:10
49400.0,500,-800.0,0.0,BU,408700.0,597500.0,False,100.0,14:36:39
49300.0,200,-900.0,0.0,SD,408200.0,597500.0,False,0.0,14:36:31
49300.0,11600,-900.0,0.0,SD,408200.0,597300.0,True,-100.0,14:36:12
49400.0,100,-800.0,0.0,BU,408200.0,585700.0,False,0.0,14:35:25
49400.0,5000,-800.0,0.0,BU,408100.0,585700.0,True,0.0,14:35:11
49400.0,100,-800.0,0.0,BU,403100.0,585700.0,False,0.0,14:33:39
49400.0,100,-800.0,0.0,BU,403000.0,585700.0,False,0.0,14:33:11
49400.0,100,-800.0,0.0,BU,402900.0,585700.0,False,0.0,14:31:28
49400.0,700,-800.0,0.0,BU,402800.0,585700.0,False,0.0,14:30:07
49400.0,1000,-800.0,0.0,BU,402100.0,585700.0,False,0.0,14:29:37
49400.0,500,-800.0,0.0,BU,401100.0,585700.0,False,0.0,14:29:22
49400.0,100,-800.0,0.0,BU,400600.0,585700.0,False,100.0,14:29:07
49300.0,3000,-900.0,0.0,SD,400500.0,585700.0,False,0.0,14:29:01
49300.0,3000,-900.0,0.0,SD,400500.0,582700.0,False,-100.0,14:28:57
49400.0,900,-800.0,0.0,BU,400500.0,579700.0,False,100.0,14:28:47
49300.0,3000,-900.0,0.0,SD,399600.0,579700.0,False,0.0,14:28:30
49300.0,500,-900.0,0.0,SD,399600.0,576700.0,False,0.0,14:28:13
49300.0,500,-900.0,0.0,SD,399600.0,576200.0,False,0.0,14:26:18
49300.0,2000,-900.0,0.0,SD,399600.0,575700.0,False,-100.0,14:25:59
49400.0,300,-800.0,0.0,BU,399600.0,573700.0,False,0.0,14:24:48
49400.0,100,-800.0,0.0,BU,399300.0,573700.0,False,0.0,14:24:44
49400.0,500,-800.0,0.0,BU,399200.0,573700.0,False,0.0,14:24:42
49400.0,500,-800.0,0.0,BU,398700.0,573700.0,False,0.0,14:22:55
49400.0,400,-800.0,0.0,SD,398200.0,573700.0,False,0.0,14:22:43
49400.0,200,-800.0,0.0,SD,398200.0,573300.0,False,0.0,14:21:53
49400.0,1000,-800.0,0.0,BU,398200.0,573100.0,False,0.0,14:21:17
49400.0,500,-800.0,0.0,BU,397200.0,573100.0,False,0.0,14:20:43
49400.0,500,-800.0,0.0,BU,396700.0,573100.0,False,0.0,14:20:27
49400.0,2800,-800.0,0.0,BU,396200.0,573100.0,False,0.0,14:20:07
49400.0,500,-800.0,0.0,BU,393400.0,573100.0,False,100.0,14:16:30
49300.0,700,-900.0,0.0,SD,392900.0,573100.0,False,0.0,14:16:08
49300.0,100,-900.0,0.0,BU,392900.0,572400.0,False,0.0,14:14:56
49300.0,1900,-900.0,0.0,BU,392800.0,572400.0,False,0.0,14:14:26
49300.0,200,-900.0,0.0,SD,390900.0,572400.0,False,-100.0,14:14:24
49400.0,1600,-800.0,0.0,BU,390900.0,572200.0,False,-100.0,14:14:10
49500.0,600,-700.0,0.0,BU,389300.0,572200.0,False,100.0,14:13:53
49400.0,200,-800.0,0.0,SD,388700.0,572200.0,False,-100.0,14:12:04
49500.0,100,-700.0,0.0,BU,388700.0,572000.0,False,0.0,14:12:00
49500.0,4700,-700.0,0.0,BU,388600.0,572000.0,True,-100.0,14:11:39
49600.0,1000,-600.0,0.0,SD,383900.0,572000.0,False,0.0,14:11:20
49600.0,2000,-600.0,0.0,SD,383900.0,571000.0,False,-100.0,14:11:02
49700.0,2800,-500.0,0.0,SD,383900.0,569000.0,False,-100.0,14:10:45
49800.0,1000,-400.0,0.0,BU,383900.0,566200.0,False,0.0,14:09:42
49800.0,100,-400.0,0.0,BU,382900.0,566200.0,False,0.0,14:09:03
49800.0,1200,-400.0,0.0,BU,382800.0,566200.0,False,100.0,14:08:14
49700.0,2200,-500.0,0.0,SD,381600.0,566200.0,False,0.0,14:07:44
49700.0,200,-500.0,0.0,BU,381600.0,564000.0,False,0.0,14:07:30
49700.0,500,-500.0,0.0,BU,381400.0,564000.0,False,0.0,14:06:08
49700.0,4100,-500.0,0.0,SD,380900.0,564000.0,True,0.0,14:05:05
49700.0,1900,-500.0,0.0,BU,380900.0,559900.0,False,0.0,14:03:54
49700.0,600,-500.0,0.0,BU,379000.0,559900.0,False,0.0,14:03:50
49700.0,100,-500.0,0.0,BU,378400.0,559900.0,False,100.0,14:03:15
49600.0,4300,-600.0,0.0,SD,378300.0,559900.0,True,100.0,14:02:44
49500.0,3100,-700.0,0.0,BU,378300.0,555600.0,False,0.0,14:02:40
49500.0,100,-700.0,0.0,BU,375200.0,555600.0,False,0.0,14:02:38
49500.0,400,-700.0,0.0,BU,375100.0,555600.0,False,100.0,14:02:12
49400.0,100,-800.0,0.0,SD,374700.0,555600.0,False,0.0,14:01:17
49400.0,200,-800.0,0.0,SD,374700.0,555500.0,False,-100.0,14:01:13
49500.0,6000,-700.0,0.0,BU,374700.0,555300.0,True,100.0,14:00:41
49400.0,500,-800.0,0.0,SD,368700.0,555300.0,False,0.0,14:00:10
49400.0,100,-800.0,0.0,SD,368700.0,554800.0,False,0.0,13:59:53
49400.0,5000,-800.0,0.0,SD,368700.0,554700.0,True,-100.0,13:59:44
49500.0,200,-700.0,0.0,BU,368700.0,549700.0,False,100.0,13:59:43
49400.0,200,-800.0,0.0,SD,368500.0,549700.0,False,0.0,13:59:39
49400.0,200,-800.0,0.0,SD,368500.0,549500.0,False,0.0,13:59:25
49400.0,5000,-800.0,0.0,SD,368500.0,549300.0,True,0.0,13:58:47
49400.0,100,-800.0,0.0,SD,368500.0,544300.0,False,0.0,13:58:34
49400.0,200,-800.0,0.0,SD,368500.0,544200.0,False,-100.0,13:57:34
49500.0,10000,-700.0,0.0,BU,368500.0,544000.0,True,100.0,13:56:29
49400.0,2300,-800.0,0.0,SD,358500.0,544000.0,False,0.0,13:56:16
49400.0,200,-800.0,0.0,BU,358500.0,541700.0,False,0.0,13:56:15
49400.0,400,-800.0,0.0,BU,358300.0,541700.0,False,0.0,13:55:56
49400.0,200,-800.0,0.0,BU,357900.0,541700.0,False,0.0,13:55:42
49400.0,400,-800.0,0.0,BU,357700.0,541700.0,False,0.0,13:55:30
49400.0,100,-800.0,0.0,BU,357300.0,541700.0,False,0.0,13:55:02
49400.0,500,-800.0,0.0,BU,357200.0,541700.0,False,0.0,13:55:01
49400.0,300,-800.0,0.0,BU,356700.0,541700.0,False,0.0,13:54:40
49400.0,100,-800.0,0.0,BU,356400.0,541700.0,False,100.0,13:53:56
49300.0,1800,-900.0,0.0,SD,356300.0,541700.0,False,0.0,13:52:41
49300.0,1300,-900.0,0.0,SD,356300.0,539900.0,False,0.0,13:52:20
49300.0,1400,-900.0,0.0,SD,356300.0,538600.0,False,0.0,13:52:18
49300.0,1000,-900.0,0.0,BU,356300.0,537200.0,False,0.0,13:51:55
49300.0,5000,-900.0,0.0,BU,355300.0,537200.0,True,0.0,13:50:53
49300.0,100,-900.0,0.0,BU,350300.0,537200.0,False,100.0,13:50:50
49200.0,1000,-1000.0,0.0,SD,350200.0,537200.0,False,0.0,13:50:39
49200.0,500,-1000.0,0.0,SD,350200.0,536200.0,False,0.0,13:50:05
49200.0,1500,-1000.0,0.0,SD,350200.0,535700.0,False,0.0,13:49:26
49200.0,8500,-1000.0,0.0,BU,350200.0,534200.0,True,0.0,13:49:25
49200.0,2000,-1000.0,0.0,SD,341700.0,534200.0,False,0.0,13:49:18
49200.0,15000,-1000.0,0.0,SD,341700.0,532200.0,True,0.0,13:49:16
49200.0,100,-1000.0,0.0,SD,341700.0,517200.0,False,0.0,13:48:45
49200.0,1000,-1000.0,0.0,SD,341700.0,517100.0,False,0.0,13:48:26
49200.0,28000,-1000.0,0.0,SD,341700.0,516100.0,True,-100.0,13:48:05
