p,v,cp,rcp,a,ba,sa,hl,pcp,t
9700.0,100,-200.0,0.0,BU,2608000.0,3436900.0,False,0.0,15:00:02
9700.0,500,-200.0,0.0,BU,2607900.0,3436900.0,False,0.0,15:00:01
9700.0,100,-200.0,0.0,BU,2607400.0,3436900.0,False,100.0,14:59:53
9600.0,500,-300.0,0.0,SD,2607300.0,3436900.0,False,0.0,14:59:31
9600.0,5500,-300.0,0.0,SD,2607300.0,3436400.0,False,0.0,14:59:23
9600.0,500,-300.0,0.0,SD,2607300.0,3430900.0,False,0.0,14:59:17
9600.0,100,-300.0,0.0,SD,2607300.0,3430400.0,False,-100.0,14:58:50
9700.0,500,-200.0,0.0,BU,2607300.0,3430300.0,False,100.0,14:58:45
9600.0,1500,-300.0,0.0,SD,2606800.0,3430300.0,False,0.0,14:58:10
9600.0,1000,-300.0,0.0,SD,2606800.0,3428800.0,False,0.0,14:57:43
9600.0,10000,-300.0,0.0,SD,2606800.0,3427800.0,False,-100.0,14:56:52
9700.0,100,-200.0,0.0,BU,2606800.0,3417800.0,False,100.0,14:56:42
9600.0,10000,-300.0,0.0,SD,2606700.0,3417800.0,False,0.0,14:55:24
9600.0,20000,-300.0,0.0,SD,2606700.0,3407800.0,False,0.0,14:53:48
9600.0,10000,-300.0,0.0,SD,2606700.0,3387800.0,False,0.0,14:52:32
9600.0,2000,-300.0,0.0,SD,2606700.0,3377800.0,False,0.0,14:51:45
9600.0,200,-300.0,0.0,SD,2606700.0,3375800.0,False,0.0,14:51:29
9600.0,1000,-300.0,0.0,SD,2606700.0,3375600.0,False,0.0,14:51:24
9600.0,2000,-300.0,0.0,SD,2606700.0,3374600.0,False,0.0,14:51:18
9600.0,200,-300.0,0.0,SD,2606700.0,3372600.0,False,0.0,14:51:13
9600.0,1800,-300.0,0.0,SD,2606700.0,3372400.0,False,0.0,14:51:05
9600.0,5000,-300.0,0.0,SD,2606700.0,3370600.0,False,0.0,14:51:02
9600.0,20000,-300.0,0.0,SD,2606700.0,3365600.0,False,0.0,14:51:00
9600.0,200,-300.0,0.0,SD,2606700.0,3345600.0,False,0.0,14:50:59
9600.0,1000,-300.0,0.0,SD,2606700.0,3345400.0,False,0.0,14:50:49
9600.0,2000,-300.0,0.0,SD,2606700.0,3344400.0,False,0.0,14:50:21
9600.0,12000,-300.0,0.0,SD,2606700.0,3342400.0,False,0.0,14:50:11
