p,v,cp,rcp,a,ba,sa,hl,pcp,t
17100.0,51200,-100.0,0.0,,99100.0,479200.0,False,250.0,14:45:01
16850.0,2000,-350.0,0.0,SD,99100.0,479200.0,False,0.0,14:29:45
16850.0,200,-350.0,0.0,SD,99100.0,477200.0,False,0.0,14:29:34
16850.0,200,-350.0,0.0,SD,99100.0,477000.0,False,0.0,14:29:34
16850.0,100,-350.0,0.0,SD,99100.0,476800.0,False,0.0,14:29:34
16850.0,700,-350.0,0.0,SD,99100.0,476700.0,False,0.0,14:29:34
16850.0,1000,-350.0,0.0,SD,99100.0,476000.0,False,0.0,14:29:20
16850.0,300,-350.0,0.0,SD,99100.0,475000.0,False,0.0,14:29:20
16850.0,100,-350.0,0.0,SD,99100.0,474700.0,False,0.0,14:29:20
16850.0,100,-350.0,0.0,SD,99100.0,474600.0,False,0.0,14:29:20
16850.0,5000,-350.0,0.0,SD,99100.0,474500.0,False,0.0,14:29:20
16850.0,500,-350.0,0.0,SD,99100.0,469500.0,False,0.0,14:29:20
16850.0,5000,-350.0,0.0,SD,99100.0,469000.0,False,0.0,14:29:20
16850.0,400,-350.0,0.0,SD,99100.0,464000.0,False,0.0,14:29:20
16850.0,500,-350.0,0.0,SD,99100.0,463600.0,False,0.0,14:29:20
16850.0,6100,-350.0,0.0,SD,99100.0,463100.0,False,-50.0,14:29:20
16900.0,900,-300.0,0.0,SD,99100.0,457000.0,False,0.0,14:29:16
16900.0,400,-300.0,0.0,SD,99100.0,456100.0,False,0.0,14:29:16
16900.0,100,-300.0,0.0,SD,99100.0,455700.0,False,0.0,14:29:16
16900.0,1200,-300.0,0.0,SD,99100.0,455600.0,False,0.0,14:29:16
16900.0,300,-300.0,0.0,SD,99100.0,454400.0,False,0.0,14:28:57
16900.0,700,-300.0,0.0,SD,99100.0,454100.0,False,0.0,14:28:57
16900.0,300,-300.0,0.0,SD,99100.0,453400.0,False,0.0,14:26:56
16900.0,1000,-300.0,0.0,SD,99100.0,453100.0,False,0.0,14:26:56
16900.0,300,-300.0,0.0,SD,99100.0,452100.0,False,0.0,14:26:55
16900.0,500,-300.0,0.0,SD,99100.0,451800.0,False,0.0,14:26:55
16900.0,200,-300.0,0.0,SD,99100.0,451300.0,False,0.0,14:26:55
16900.0,5000,-300.0,0.0,SD,99100.0,451100.0,False,0.0,14:26:55
16900.0,2700,-300.0,0.0,SD,99100.0,446100.0,False,0.0,14:26:55
16900.0,2500,-300.0,0.0,SD,99100.0,443400.0,False,0.0,14:26:37
16900.0,800,-300.0,0.0,SD,99100.0,440900.0,False,0.0,14:26:04
16900.0,200,-300.0,0.0,SD,99100.0,440100.0,False,0.0,14:26:04
16900.0,1500,-300.0,0.0,SD,99100.0,439900.0,False,0.0,14:25:56
16900.0,100,-300.0,0.0,SD,99100.0,438400.0,False,0.0,14:25:56
16900.0,1400,-300.0,0.0,SD,99100.0,438300.0,False,0.0,14:25:56
16900.0,100,-300.0,0.0,SD,99100.0,436900.0,False,-50.0,14:24:43
16950.0,100,-250.0,0.0,SD,99100.0,436800.0,False,0.0,14:23:43
16950.0,200,-250.0,0.0,SD,99100.0,436700.0,False,0.0,14:23:43
16950.0,300,-250.0,0.0,SD,99100.0,436500.0,False,0.0,14:23:43
16950.0,800,-250.0,0.0,SD,99100.0,436200.0,False,0.0,14:23:00
16950.0,500,-250.0,0.0,SD,99100.0,435400.0,False,0.0,14:23:00
16950.0,300,-250.0,0.0,SD,99100.0,434900.0,False,0.0,14:23:00
16950.0,100,-250.0,0.0,SD,99100.0,434600.0,False,0.0,14:19:03
16950.0,600,-250.0,0.0,SD,99100.0,434500.0,False,0.0,14:15:04
16950.0,400,-250.0,0.0,SD,99100.0,433900.0,False,0.0,14:15:04
16950.0,200,-250.0,0.0,SD,99100.0,433500.0,False,-50.0,14:14:48
17000.0,1000,-200.0,0.0,SD,99100.0,433300.0,False,0.0,14:12:19
17000.0,1000,-200.0,0.0,SD,99100.0,432300.0,False,0.0,14:12:19
17000.0,1500,-200.0,0.0,SD,99100.0,431300.0,False,0.0,14:12:19
17000.0,400,-200.0,0.0,BU,99100.0,429800.0,False,0.0,14:09:15
17000.0,200,-200.0,0.0,BU,98700.0,429800.0,False,0.0,14:08:40
17000.0,300,-200.0,0.0,BU,98500.0,429800.0,False,0.0,14:08:40
17000.0,500,-200.0,0.0,BU,98200.0,429800.0,False,0.0,14:08:40
17000.0,500,-200.0,0.0,BU,97700.0,429800.0,False,0.0,14:08:26
17000.0,1000,-200.0,0.0,BU,97200.0,429800.0,False,0.0,14:08:04
17000.0,800,-200.0,0.0,BU,96200.0,429800.0,False,0.0,14:07:35
17000.0,600,-200.0,0.0,BU,95400.0,429800.0,False,0.0,14:07:28
17000.0,300,-200.0,0.0,BU,94800.0,429800.0,False,0.0,14:07:27
17000.0,100,-200.0,0.0,BU,94500.0,429800.0,False,50.0,14:04:48
16950.0,1700,-250.0,0.0,BU,94400.0,429800.0,False,0.0,14:03:17
16950.0,500,-250.0,0.0,BU,92700.0,429800.0,False,0.0,14:03:16
16950.0,1000,-250.0,0.0,BU,92200.0,429800.0,False,0.0,14:03:01
16950.0,1000,-250.0,0.0,BU,91200.0,429800.0,False,0.0,14:02:31
16950.0,500,-250.0,0.0,BU,90200.0,429800.0,False,50.0,14:02:10
16900.0,100,-300.0,0.0,SD,89700.0,429800.0,False,-50.0,14:00:38
16950.0,200,-250.0,0.0,BU,89700.0,429700.0,False,0.0,13:59:25
16950.0,400,-250.0,0.0,BU,89500.0,429700.0,False,0.0,13:59:10
16950.0,100,-250.0,0.0,BU,89100.0,429700.0,False,0.0,13:59:08
16950.0,1000,-250.0,0.0,BU,89000.0,429700.0,False,0.0,13:58:59
16950.0,100,-250.0,0.0,BU,88000.0,429700.0,False,50.0,13:57:57
16900.0,3400,-300.0,0.0,SD,87900.0,429700.0,False,0.0,13:55:44
16900.0,100,-300.0,0.0,SD,87900.0,426300.0,False,0.0,13:55:44
16900.0,500,-300.0,0.0,SD,87900.0,426200.0,False,-50.0,13:55:44
16950.0,1000,-250.0,0.0,BU,87900.0,425700.0,False,50.0,13:55:29
16900.0,2000,-300.0,0.0,SD,86900.0,425700.0,False,0.0,13:54:21
16900.0,1300,-300.0,0.0,SD,86900.0,423700.0,False,0.0,13:53:45
16900.0,1500,-300.0,0.0,SD,86900.0,422400.0,False,0.0,13:53:37
16900.0,700,-300.0,0.0,SD,86900.0,420900.0,False,50.0,13:53:05
16850.0,2500,-350.0,0.0,SD,86900.0,420200.0,False,-50.0,13:52:57
16900.0,1000,-300.0,0.0,SD,86900.0,417700.0,False,0.0,13:52:57
16900.0,1500,-300.0,0.0,SD,86900.0,416700.0,False,0.0,13:52:57
16900.0,1500,-300.0,0.0,BU,86900.0,415200.0,False,0.0,13:52:37
16900.0,100,-300.0,0.0,BU,85400.0,415200.0,False,50.0,13:52:34
16850.0,1400,-350.0,0.0,SD,85300.0,415200.0,False,0.0,13:52:19
16850.0,100,-350.0,0.0,SD,85300.0,413800.0,False,-50.0,13:52:19
16900.0,100,-300.0,0.0,BU,85300.0,413700.0,False,0.0,13:52:19
16900.0,200,-300.0,0.0,BU,85200.0,413700.0,False,0.0,13:51:56
16900.0,500,-300.0,0.0,BU,85000.0,413700.0,False,0.0,13:51:55
16900.0,600,-300.0,0.0,BU,84500.0,413700.0,False,0.0,13:51:24
16900.0,400,-300.0,0.0,BU,83900.0,413700.0,False,0.0,13:51:24
16900.0,200,-300.0,0.0,BU,83500.0,413700.0,False,0.0,13:51:16
16900.0,900,-300.0,0.0,SD,83300.0,413700.0,False,0.0,13:49:49
16900.0,1100,-300.0,0.0,BU,83300.0,412800.0,False,0.0,13:49:42
16900.0,100,-300.0,0.0,BU,82200.0,412800.0,False,0.0,13:49:34
16900.0,300,-300.0,0.0,BU,82100.0,412800.0,False,0.0,13:49:34
16900.0,200,-300.0,0.0,BU,81800.0,412800.0,False,0.0,13:49:34
16900.0,300,-300.0,0.0,BU,81600.0,412800.0,False,0.0,13:49:34
16900.0,200,-300.0,0.0,SD,81300.0,412800.0,False,0.0,13:49:11
16900.0,200,-300.0,0.0,SD,81300.0,412600.0,False,0.0,13:49:11
16900.0,1000,-300.0,0.0,SD,81300.0,412400.0,False,0.0,13:49:11
16900.0,300,-300.0,0.0,SD,81300.0,411400.0,False,0.0,13:49:11
16900.0,100,-300.0,0.0,SD,81300.0,411100.0,False,0.0,13:49:11
16900.0,1000,-300.0,0.0,SD,81300.0,411000.0,False,0.0,13:49:11
16900.0,100,-300.0,0.0,SD,81300.0,410000.0,False,0.0,13:49:11
16900.0,100,-300.0,0.0,SD,81300.0,409900.0,False,0.0,13:49:11
16900.0,200,-300.0,0.0,SD,81300.0,409800.0,False,0.0,13:49:11
16900.0,6100,-300.0,0.0,SD,81300.0,409600.0,False,0.0,13:49:11
16900.0,700,-300.0,0.0,SD,81300.0,403500.0,False,0.0,13:49:11
16900.0,5000,-300.0,0.0,SD,81300.0,402800.0,False,0.0,13:48:22
16900.0,700,-300.0,0.0,SD,81300.0,397800.0,False,0.0,13:47:41
16900.0,3000,-300.0,0.0,SD,81300.0,397100.0,False,-50.0,13:46:23
16950.0,100,-250.0,0.0,BU,81300.0,394100.0,False,50.0,13:44:58
16900.0,600,-300.0,0.0,SD,81200.0,394100.0,False,0.0,13:44:46
16900.0,4900,-300.0,0.0,SD,81200.0,393500.0,False,-50.0,13:44:46
16950.0,2000,-250.0,0.0,SD,81200.0,388600.0,False,0.0,13:44:35
16950.0,400,-250.0,0.0,SD,81200.0,386600.0,False,0.0,13:44:35
16950.0,500,-250.0,0.0,SD,81200.0,386200.0,False,0.0,13:44:08
16950.0,100,-250.0,0.0,SD,81200.0,385700.0,False,0.0,13:43:56
16950.0,400,-250.0,0.0,SD,81200.0,385600.0,False,-50.0,13:43:56
17000.0,100,-200.0,0.0,SD,81200.0,385200.0,False,0.0,13:41:25
17000.0,400,-200.0,0.0,SD,81200.0,385100.0,False,0.0,13:41:25
17000.0,200,-200.0,0.0,SD,81200.0,384700.0,False,0.0,13:41:22
17000.0,2400,-200.0,0.0,SD,81200.0,384500.0,False,50.0,13:39:52
16950.0,200,-250.0,0.0,BU,81200.0,382100.0,False,0.0,13:38:43
16950.0,200,-250.0,0.0,BU,81000.0,382100.0,False,0.0,13:38:43
16950.0,100,-250.0,0.0,BU,80800.0,382100.0,False,0.0,13:38:24
16950.0,200,-250.0,0.0,BU,80700.0,382100.0,False,0.0,13:37:50
16950.0,300,-250.0,0.0,BU,80500.0,382100.0,False,0.0,13:37:50
16950.0,1000,-250.0,0.0,BU,80200.0,382100.0,False,0.0,13:37:21
16950.0,300,-250.0,0.0,BU,79200.0,382100.0,False,0.0,13:37:20
16950.0,100,-250.0,0.0,BU,78900.0,382100.0,False,0.0,13:36:42
16950.0,100,-250.0,0.0,BU,78800.0,382100.0,False,0.0,13:35:57
16950.0,1000,-250.0,0.0,BU,78700.0,382100.0,False,0.0,13:35:19
16950.0,2000,-250.0,0.0,BU,77700.0,382100.0,False,50.0,13:35:11
16900.0,1000,-300.0,0.0,SD,75700.0,382100.0,False,0.0,13:34:43
16900.0,2000,-300.0,0.0,SD,75700.0,381100.0,False,-50.0,13:34:20
16950.0,100,-250.0,0.0,BU,75700.0,379100.0,False,0.0,13:33:57
16950.0,100,-250.0,0.0,BU,75600.0,379100.0,False,50.0,13:33:34
16900.0,2100,-300.0,0.0,SD,75500.0,379100.0,False,0.0,13:33:31
16900.0,100,-300.0,0.0,SD,75500.0,377000.0,False,0.0,13:33:31
16900.0,500,-300.0,0.0,SD,75500.0,376900.0,False,0.0,13:33:31
16900.0,100,-300.0,0.0,SD,75500.0,376400.0,False,0.0,13:33:31
16900.0,100,-300.0,0.0,SD,75500.0,376300.0,False,0.0,13:33:31
16900.0,7100,-300.0,0.0,SD,75500.0,376200.0,False,0.0,13:33:31
16900.0,200,-300.0,0.0,SD,75500.0,369100.0,False,0.0,13:33:08
16900.0,100,-300.0,0.0,SD,75500.0,368900.0,False,0.0,13:32:51
16900.0,2500,-300.0,0.0,SD,75500.0,368800.0,False,0.0,13:32:24
16900.0,100,-300.0,0.0,SD,75500.0,366300.0,False,0.0,13:32:18
16900.0,2900,-300.0,0.0,SD,75500.0,366200.0,False,0.0,13:32:18
16900.0,5000,-300.0,0.0,SD,75500.0,363300.0,False,0.0,13:32:13
16900.0,2100,-300.0,0.0,SD,75500.0,358300.0,False,0.0,13:32:11
16900.0,200,-300.0,0.0,SD,75500.0,356200.0,False,0.0,13:32:11
16900.0,100,-300.0,0.0,SD,75500.0,356000.0,False,0.0,13:32:11
16900.0,100,-300.0,0.0,SD,75500.0,355900.0,False,0.0,13:32:11
16900.0,1000,-300.0,0.0,SD,75500.0,355800.0,False,0.0,13:32:11
16900.0,500,-300.0,0.0,SD,75500.0,354800.0,False,0.0,13:32:11
16900.0,500,-300.0,0.0,SD,75500.0,354300.0,False,0.0,13:31:33
16900.0,200,-300.0,0.0,SD,75500.0,353800.0,False,0.0,13:31:33
16900.0,5000,-300.0,0.0,SD,75500.0,353600.0,False,0.0,13:31:33
16900.0,3000,-300.0,0.0,SD,75500.0,348600.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,345600.0,False,0.0,13:31:33
16900.0,1000,-300.0,0.0,SD,75500.0,345500.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,344500.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,344400.0,False,0.0,13:31:33
16900.0,500,-300.0,0.0,SD,75500.0,344300.0,False,0.0,13:31:33
16900.0,200,-300.0,0.0,SD,75500.0,343800.0,False,0.0,13:31:33
16900.0,6000,-300.0,0.0,SD,75500.0,343600.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,337600.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,337500.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,337400.0,False,0.0,13:31:33
16900.0,400,-300.0,0.0,SD,75500.0,337300.0,False,0.0,13:31:33
16900.0,200,-300.0,0.0,SD,75500.0,336900.0,False,0.0,13:31:33
16900.0,500,-300.0,0.0,SD,75500.0,336700.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,336200.0,False,0.0,13:31:33
16900.0,100,-300.0,0.0,SD,75500.0,336100.0,False,0.0,13:31:33
16900.0,200,-300.0,0.0,SD,75500.0,336000.0,False,0.0,13:31:33
16900.0,10000,-300.0,0.0,SD,75500.0,335800.0,False,0.0,13:31:33
16900.0,4000,-300.0,0.0,SD,75500.0,325800.0,False,-50.0,13:31:33
16950.0,100,-250.0,0.0,SD,75500.0,321800.0,False,0.0,13:31:33
16950.0,5000,-250.0,0.0,SD,75500.0,321700.0,False,0.0,13:31:33
16950.0,100,-250.0,0.0,SD,75500.0,316700.0,False,0.0,13:31:33
16950.0,1000,-250.0,0.0,SD,75500.0,316600.0,False,0.0,13:31:33
16950.0,5000,-250.0,0.0,SD,75500.0,315600.0,False,0.0,13:31:33
16950.0,500,-250.0,0.0,SD,75500.0,310600.0,False,0.0,13:31:33
16950.0,3000,-250.0,0.0,SD,75500.0,310100.0,False,0.0,13:31:33
