p,v,cp,rcp,a,ba,sa,hl,pcp,t
4830.0,247700,-330.0,-0.1,,2087000.0,4893900.0,False,-20.0,14:45:02
4850.0,1000,-310.0,-0.1,BU,2087000.0,4893900.0,False,10.0,14:29:57
4840.0,100,-320.0,-0.1,SD,2086000.0,4893900.0,False,-10.0,14:29:55
4850.0,300,-310.0,-0.1,BU,2086000.0,4893800.0,False,0.0,14:29:55
4850.0,900,-310.0,-0.1,BU,2085700.0,4893800.0,False,-30.0,14:29:55
4880.0,200,-280.0,-0.1,BU,2084800.0,4893800.0,False,0.0,14:29:54
4880.0,800,-280.0,-0.1,BU,2084600.0,4893800.0,False,0.0,14:29:54
4880.0,1700,-280.0,-0.1,BU,2083800.0,4893800.0,False,30.0,14:29:54
4850.0,1100,-310.0,-0.1,SD,2082100.0,4893800.0,False,10.0,14:29:52
4840.0,200,-320.0,-0.1,SD,2082100.0,4892700.0,False,-10.0,14:29:52
4850.0,1000,-310.0,-0.1,BU,2082100.0,4892500.0,False,0.0,14:29:52
4850.0,1000,-310.0,-0.1,BU,2081100.0,4892500.0,False,10.0,14:29:49
4840.0,10000,-320.0,-0.1,SD,2080100.0,4892500.0,False,0.0,14:29:48
4840.0,1500,-320.0,-0.1,SD,2080100.0,4882500.0,False,-10.0,14:29:46
4850.0,100,-310.0,-0.1,BU,2080100.0,4881000.0,False,0.0,14:29:45
4850.0,2500,-310.0,-0.1,BU,2080000.0,4881000.0,False,0.0,14:29:44
4850.0,7500,-310.0,-0.1,BU,2077500.0,4881000.0,False,0.0,14:29:44
4850.0,500,-310.0,-0.1,BU,2070000.0,4881000.0,False,0.0,14:29:43
4850.0,2000,-310.0,-0.1,BU,2069500.0,4881000.0,False,0.0,14:29:41
4850.0,1000,-310.0,-0.1,BU,2067500.0,4881000.0,False,0.0,14:29:41
4850.0,100,-310.0,-0.1,BU,2066500.0,4881000.0,False,0.0,14:29:39
4850.0,1000,-310.0,-0.1,BU,2066400.0,4881000.0,False,0.0,14:29:39
4850.0,1000,-310.0,-0.1,BU,2065400.0,4881000.0,False,0.0,14:29:38
4850.0,2000,-310.0,-0.1,BU,2064400.0,4881000.0,False,0.0,14:29:35
4850.0,100,-310.0,-0.1,BU,2062400.0,4881000.0,False,0.0,14:29:32
4850.0,200,-310.0,-0.1,BU,2062300.0,4881000.0,False,0.0,14:29:30
4850.0,1600,-310.0,-0.1,BU,2062100.0,4881000.0,False,-10.0,14:29:30
4860.0,200,-300.0,-0.1,BU,2060500.0,4881000.0,False,0.0,14:29:29
