p,v,cp,rcp,a,ba,sa,hl,pcp,t
41000.0,10100,-550.0,0.0,,186800.0,261700.0,False,0.0,14:45:02
41000.0,200,-550.0,0.0,SD,186800.0,261700.0,False,-50.0,14:29:58
41050.0,100,-500.0,0.0,BU,186800.0,261500.0,False,0.0,14:29:49
41050.0,1900,-500.0,0.0,BU,186700.0,261500.0,False,50.0,14:29:35
41000.0,100,-550.0,0.0,SD,184800.0,261500.0,False,-50.0,14:29:29
41050.0,100,-500.0,0.0,BU,184800.0,261400.0,False,50.0,14:29:20
41000.0,100,-550.0,0.0,SD,184700.0,261400.0,False,0.0,14:29:17
41000.0,5000,-550.0,0.0,SD,184700.0,261300.0,True,0.0,14:28:39
41000.0,200,-550.0,0.0,SD,184700.0,256300.0,False,0.0,14:28:31
41000.0,3200,-550.0,0.0,SD,184700.0,256100.0,False,50.0,14:28:28
40950.0,200,-600.0,0.0,SD,184700.0,252900.0,False,0.0,14:28:01
40950.0,500,-600.0,0.0,SD,184700.0,252700.0,False,0.0,14:28:01
40950.0,100,-600.0,0.0,SD,184700.0,252200.0,False,0.0,14:28:01
40950.0,200,-600.0,0.0,SD,184700.0,252100.0,False,0.0,14:28:01
40950.0,100,-600.0,0.0,SD,184700.0,251900.0,False,0.0,14:27:52
40950.0,100,-600.0,0.0,SD,184700.0,251800.0,False,0.0,14:27:19
40950.0,500,-600.0,0.0,SD,184700.0,251700.0,False,0.0,14:27:11
40950.0,700,-600.0,0.0,BU,184700.0,251200.0,False,0.0,14:26:54
40950.0,500,-600.0,0.0,BU,184000.0,251200.0,False,450.0,14:26:49
40500.0,900,-1050.0,0.0,SD,183500.0,251200.0,False,-400.0,14:26:44
40900.0,100,-650.0,0.0,SD,183500.0,250300.0,False,-50.0,14:26:44
40950.0,100,-600.0,0.0,BU,183500.0,250200.0,False,50.0,14:26:42
40900.0,400,-650.0,0.0,BU,183400.0,250200.0,False,-50.0,14:26:42
40950.0,500,-600.0,0.0,BU,183000.0,250200.0,False,0.0,14:26:28
40950.0,100,-600.0,0.0,BU,182500.0,250200.0,False,650.0,14:26:17
40300.0,300,-1250.0,0.0,SD,182400.0,250200.0,False,100.0,14:26:14
40200.0,1500,-1350.0,0.0,SD,182400.0,249900.0,False,0.0,14:26:03
40200.0,700,-1350.0,0.0,SD,182400.0,248400.0,False,100.0,14:25:51
40100.0,100,-1450.0,0.0,BU,182400.0,247700.0,False,50.0,14:25:07
40050.0,700,-1500.0,0.0,SD,182300.0,247700.0,False,-50.0,14:24:46
40100.0,100,-1450.0,0.0,SD,182300.0,247000.0,False,0.0,14:24:46
40100.0,400,-1450.0,0.0,SD,182300.0,246900.0,False,-900.0,14:24:45
41000.0,3000,-550.0,0.0,BU,182300.0,246500.0,False,0.0,14:24:33
41000.0,1000,-550.0,0.0,BU,179300.0,246500.0,False,900.0,14:24:21
40100.0,4000,-1450.0,0.0,SD,178300.0,246500.0,False,-100.0,14:24:19
40200.0,200,-1350.0,0.0,SD,178300.0,242500.0,False,-100.0,14:24:19
40300.0,300,-1250.0,0.0,SD,178300.0,242300.0,False,0.0,14:24:19
40300.0,500,-1250.0,0.0,SD,178300.0,242000.0,False,0.0,14:24:19
40300.0,1000,-1250.0,0.0,SD,178300.0,241500.0,False,-100.0,14:24:19
40400.0,300,-1150.0,0.0,SD,178300.0,240500.0,False,0.0,14:24:19
40400.0,500,-1150.0,0.0,SD,178300.0,240200.0,False,-100.0,14:24:19
40500.0,1500,-1050.0,0.0,SD,178300.0,239700.0,False,0.0,14:24:19
40500.0,1000,-1050.0,0.0,SD,178300.0,238200.0,False,0.0,14:24:19
40500.0,300,-1050.0,0.0,SD,178300.0,237200.0,False,0.0,14:24:19
40500.0,2200,-1050.0,0.0,SD,178300.0,236900.0,False,0.0,14:24:19
40500.0,300,-1050.0,0.0,SD,178300.0,234700.0,False,0.0,14:24:19
40500.0,1500,-1050.0,0.0,SD,178300.0,234400.0,False,0.0,14:24:19
40500.0,100,-1050.0,0.0,SD,178300.0,232900.0,False,0.0,14:24:19
40500.0,200,-1050.0,0.0,SD,178300.0,232800.0,False,0.0,14:24:19
40500.0,500,-1050.0,0.0,SD,178300.0,232600.0,False,-100.0,14:24:19
40600.0,100,-950.0,0.0,SD,178300.0,232100.0,False,0.0,14:24:19
40600.0,300,-950.0,0.0,SD,178300.0,232000.0,False,0.0,14:24:19
40600.0,100,-950.0,0.0,SD,178300.0,231700.0,False,0.0,14:24:19
40600.0,100,-950.0,0.0,SD,178300.0,231600.0,False,0.0,14:24:19
40600.0,100,-950.0,0.0,SD,178300.0,231500.0,False,-150.0,14:24:19
40750.0,1000,-800.0,0.0,BU,178300.0,231400.0,False,-50.0,14:24:19
40800.0,100,-750.0,0.0,BU,177300.0,231400.0,False,0.0,14:24:19
40800.0,100,-750.0,0.0,BU,177200.0,231400.0,False,-50.0,14:24:19
40850.0,100,-700.0,0.0,BU,177100.0,231400.0,False,0.0,14:24:19
40850.0,900,-700.0,0.0,BU,177000.0,231400.0,False,0.0,14:24:19
40850.0,600,-700.0,0.0,BU,176100.0,231400.0,False,-50.0,14:24:19
40900.0,300,-650.0,0.0,BU,175500.0,231400.0,False,0.0,14:24:19
40900.0,200,-650.0,0.0,BU,175200.0,231400.0,False,0.0,14:24:19
40900.0,1000,-650.0,0.0,BU,175000.0,231400.0,False,0.0,14:24:19
40900.0,5000,-650.0,0.0,BU,174000.0,231400.0,True,0.0,14:24:19
40900.0,100,-650.0,0.0,BU,169000.0,231400.0,False,0.0,14:24:19
40900.0,100,-650.0,0.0,BU,168900.0,231400.0,False,0.0,14:24:19
40900.0,300,-650.0,0.0,BU,168800.0,231400.0,False,0.0,14:24:19
40900.0,3000,-650.0,0.0,BU,168500.0,231400.0,False,-50.0,14:24:19
40950.0,2000,-600.0,0.0,BU,165500.0,231400.0,False,0.0,14:24:19
40950.0,100,-600.0,0.0,BU,163500.0,231400.0,False,-50.0,14:24:19
41000.0,2000,-550.0,0.0,SD,163400.0,231400.0,False,0.0,14:23:46
41000.0,300,-550.0,0.0,SD,163400.0,229400.0,False,0.0,14:23:46
41000.0,300,-550.0,0.0,SD,163400.0,229100.0,False,0.0,14:23:46
41000.0,4400,-550.0,0.0,SD,163400.0,228800.0,False,0.0,14:23:46
41000.0,500,-550.0,0.0,SD,163400.0,224400.0,False,0.0,14:23:46
41000.0,2000,-550.0,0.0,SD,163400.0,223900.0,False,0.0,14:23:46
41000.0,1000,-550.0,0.0,SD,163400.0,221900.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,220900.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,220800.0,False,0.0,14:23:46
41000.0,500,-550.0,0.0,SD,163400.0,220700.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,220200.0,False,0.0,14:23:46
41000.0,200,-550.0,0.0,SD,163400.0,220100.0,False,0.0,14:23:46
41000.0,300,-550.0,0.0,SD,163400.0,219900.0,False,0.0,14:23:46
41000.0,200,-550.0,0.0,SD,163400.0,219600.0,False,0.0,14:23:46
41000.0,200,-550.0,0.0,SD,163400.0,219400.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,219200.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,219100.0,False,0.0,14:23:46
41000.0,200,-550.0,0.0,SD,163400.0,219000.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,218800.0,False,0.0,14:23:46
41000.0,100,-550.0,0.0,SD,163400.0,218700.0,False,0.0,14:23:46
41000.0,1700,-550.0,0.0,SD,163400.0,218600.0,False,0.0,14:23:07
41000.0,200,-550.0,0.0,SD,163400.0,216900.0,False,-50.0,14:23:07
41050.0,100,-500.0,0.0,SD,163400.0,216700.0,False,0.0,14:23:07
41050.0,100,-500.0,0.0,SD,163400.0,216600.0,False,0.0,14:23:07
41050.0,200,-500.0,0.0,SD,163400.0,216500.0,False,0.0,14:23:07
41050.0,100,-500.0,0.0,SD,163400.0,216300.0,False,0.0,14:23:07
41050.0,100,-500.0,0.0,SD,163400.0,216200.0,False,0.0,14:23:07
41050.0,2000,-500.0,0.0,SD,163400.0,216100.0,False,-50.0,14:23:07
41100.0,4000,-450.0,0.0,SD,163400.0,214100.0,False,0.0,14:23:07
41100.0,4800,-450.0,0.0,SD,163400.0,210100.0,False,50.0,14:23:07
41050.0,300,-500.0,0.0,SD,163400.0,205300.0,False,0.0,14:23:07
41050.0,100,-500.0,0.0,SD,163400.0,205000.0,False,-50.0,14:23:07
41100.0,300,-450.0,0.0,SD,163400.0,204900.0,False,0.0,14:23:07
41100.0,1000,-450.0,0.0,SD,163400.0,204600.0,False,-50.0,14:23:07
41150.0,500,-400.0,0.0,BU,163400.0,203600.0,False,0.0,14:22:36
41150.0,2000,-400.0,0.0,SD,162900.0,203600.0,False,0.0,14:22:06
41150.0,1000,-400.0,0.0,SD,162900.0,201600.0,False,-350.0,14:22:06
41500.0,400,-50.0,0.0,BU,162900.0,200600.0,False,50.0,14:20:42
41450.0,500,-100.0,0.0,BU,162500.0,200600.0,False,50.0,14:20:42
41400.0,100,-150.0,0.0,BU,162000.0,200600.0,False,250.0,14:20:42
41150.0,1000,-400.0,0.0,SD,161900.0,200600.0,False,-50.0,14:20:14
41200.0,100,-350.0,0.0,SD,161900.0,199600.0,False,0.0,14:18:21
41200.0,200,-350.0,0.0,SD,161900.0,199500.0,False,0.0,14:18:21
41200.0,1700,-350.0,0.0,SD,161900.0,199300.0,False,0.0,14:17:03
