p,v,cp,rcp,a,ba,sa,hl,pcp,t
47150.0,6500,150.0,0.0,,163000.0,183500.0,False,200.0,14:45:00
46950.0,200,-50.0,0.0,SD,163000.0,183500.0,False,100.0,14:29:49
46850.0,400,-150.0,0.0,SD,163000.0,183300.0,False,0.0,14:25:08
46850.0,1600,-150.0,0.0,BU,163000.0,182900.0,False,0.0,14:23:54
46850.0,600,-150.0,0.0,BU,161400.0,182900.0,False,0.0,14:23:19
46850.0,100,-150.0,0.0,SD,160800.0,182900.0,False,0.0,14:22:40
46850.0,1600,-150.0,0.0,SD,160800.0,182800.0,False,-50.0,14:22:40
46900.0,300,-100.0,0.0,BU,160800.0,181200.0,False,0.0,14:22:18
46900.0,500,-100.0,0.0,SD,160500.0,181200.0,False,50.0,14:21:12
46850.0,400,-150.0,0.0,BU,160500.0,180700.0,False,0.0,14:20:33
46850.0,100,-150.0,0.0,SD,160100.0,180700.0,False,-50.0,14:20:27
46900.0,200,-100.0,0.0,BU,160100.0,180600.0,False,0.0,14:20:05
46900.0,200,-100.0,0.0,BU,159900.0,180600.0,False,0.0,14:20:00
46900.0,200,-100.0,0.0,BU,159700.0,180600.0,False,0.0,14:19:04
46900.0,200,-100.0,0.0,BU,159500.0,180600.0,False,0.0,14:18:44
46900.0,2000,-100.0,0.0,BU,159300.0,180600.0,False,0.0,14:18:31
46900.0,500,-100.0,0.0,BU,157300.0,180600.0,False,0.0,14:18:23
46900.0,200,-100.0,0.0,BU,156800.0,180600.0,False,0.0,14:17:28
46900.0,100,-100.0,0.0,SD,156600.0,180600.0,False,0.0,14:17:25
46900.0,500,-100.0,0.0,SD,156600.0,180500.0,False,0.0,14:17:25
46900.0,400,-100.0,0.0,SD,156600.0,180000.0,False,-100.0,14:17:25
47000.0,800,0.0,0.0,BU,156600.0,179600.0,False,0.0,14:17:09
47000.0,2000,0.0,0.0,SD,155800.0,179600.0,False,0.0,14:16:59
47000.0,500,0.0,0.0,SD,155800.0,177600.0,False,0.0,14:16:59
47000.0,300,0.0,0.0,SD,155800.0,177100.0,False,0.0,14:16:59
47000.0,500,0.0,0.0,SD,155800.0,176800.0,False,0.0,14:16:59
47000.0,1000,0.0,0.0,SD,155800.0,176300.0,False,0.0,14:16:59
47000.0,300,0.0,0.0,SD,155800.0,175300.0,False,0.0,14:16:59
47000.0,1000,0.0,0.0,SD,155800.0,175000.0,False,0.0,14:16:59
47000.0,1000,0.0,0.0,SD,155800.0,174000.0,False,0.0,14:16:59
47000.0,200,0.0,0.0,SD,155800.0,173000.0,False,-50.0,14:16:59
47050.0,5000,50.0,0.0,BU,155800.0,172800.0,True,0.0,14:16:47
47050.0,200,50.0,0.0,BU,150800.0,172800.0,False,0.0,14:16:12
47050.0,100,50.0,0.0,SD,150600.0,172800.0,False,0.0,14:15:46
47050.0,400,50.0,0.0,SD,150600.0,172700.0,False,0.0,14:15:10
47050.0,500,50.0,0.0,SD,150600.0,172300.0,False,0.0,14:15:10
47050.0,700,50.0,0.0,SD,150600.0,171800.0,False,0.0,14:15:10
47050.0,100,50.0,0.0,SD,150600.0,171100.0,False,0.0,14:15:10
47050.0,1000,50.0,0.0,SD,150600.0,171000.0,False,0.0,14:15:10
47050.0,2100,50.0,0.0,SD,150600.0,170000.0,False,-50.0,14:15:10
47100.0,200,100.0,0.0,SD,150600.0,167900.0,False,50.0,14:15:10
47050.0,900,50.0,0.0,SD,150600.0,167700.0,False,0.0,14:14:33
47050.0,500,50.0,0.0,SD,150600.0,166800.0,False,-50.0,14:14:33
47100.0,500,100.0,0.0,BU,150600.0,166300.0,False,0.0,14:14:33
47100.0,500,100.0,0.0,BU,150100.0,166300.0,False,0.0,14:14:33
47100.0,100,100.0,0.0,SD,149600.0,166300.0,False,0.0,14:14:33
47100.0,200,100.0,0.0,SD,149600.0,166200.0,False,0.0,14:14:33
47100.0,200,100.0,0.0,SD,149600.0,166000.0,False,0.0,14:14:33
47100.0,500,100.0,0.0,SD,149600.0,165800.0,False,-50.0,14:14:33
47150.0,200,150.0,0.0,SD,149600.0,165300.0,False,0.0,14:14:33
47150.0,1400,150.0,0.0,SD,149600.0,165100.0,False,0.0,14:14:33
47150.0,100,150.0,0.0,BU,149600.0,163700.0,False,0.0,14:13:06
47150.0,5000,150.0,0.0,BU,149500.0,163700.0,True,0.0,14:13:06
47150.0,500,150.0,0.0,BU,144500.0,163700.0,False,0.0,14:13:06
47150.0,200,150.0,0.0,BU,144000.0,163700.0,False,0.0,14:12:24
47150.0,100,150.0,0.0,BU,143800.0,163700.0,False,0.0,14:11:43
47150.0,200,150.0,0.0,BU,143700.0,163700.0,False,0.0,14:11:08
47150.0,100,150.0,0.0,BU,143500.0,163700.0,False,0.0,14:10:53
47150.0,200,150.0,0.0,BU,143400.0,163700.0,False,0.0,14:09:52
47150.0,2100,150.0,0.0,BU,143200.0,163700.0,False,50.0,14:09:46
47100.0,1600,100.0,0.0,BU,141100.0,163700.0,False,0.0,14:09:46
47100.0,300,100.0,0.0,SD,139500.0,163700.0,False,0.0,14:09:23
47100.0,300,100.0,0.0,SD,139500.0,163400.0,False,0.0,14:09:23
47100.0,300,100.0,0.0,SD,139500.0,163100.0,False,0.0,14:09:23
47100.0,100,100.0,0.0,SD,139500.0,162800.0,False,0.0,14:09:23
47100.0,500,100.0,0.0,SD,139500.0,162700.0,False,0.0,14:09:23
47100.0,1000,100.0,0.0,SD,139500.0,162200.0,False,0.0,14:09:23
