p,v,cp,rcp,a,ba,sa,hl,pcp,t
7300.0,100,100.0,0.0,BU,2300.0,2500.0,False,0.0,14:06:41
7300.0,100,100.0,0.0,BU,2200.0,2500.0,False,0.0,14:01:05
7300.0,1000,100.0,0.0,BU,2100.0,2500.0,False,-300.0,14:00:36
7600.0,100,400.0,0.1,BU,1100.0,2500.0,False,0.0,11:27:19
7600.0,900,400.0,0.1,SD,1000.0,2500.0,False,0.0,11:13:16
7600.0,1000,400.0,0.1,BU,1000.0,1600.0,False,0.0,10:58:33
7600.0,400,400.0,0.1,SD,0.0,1600.0,False,-100.0,09:47:18
7700.0,300,500.0,0.1,SD,0.0,1200.0,False,0.0,09:45:32
7700.0,700,500.0,0.1,SD,0.0,900.0,False,0.0,09:44:17
7700.0,200,500.0,0.1,SD,0.0,200.0,False,0.0,09:38:18
