p,v,cp,rcp,a,ba,sa,hl,pcp,t
62200.0,100,700.0,0.0,SD,2200.0,7100.0,False,100.0,14:12:22
62100.0,4600,600.0,0.0,SD,2200.0,7000.0,True,-200.0,14:04:07
62300.0,400,800.0,0.0,SD,2200.0,2400.0,False,0.0,14:04:07
62300.0,300,800.0,0.0,SD,2200.0,2000.0,False,-100.0,14:01:41
62400.0,200,900.0,0.0,BU,2200.0,1700.0,False,0.0,13:55:19
62400.0,300,900.0,0.0,BU,2000.0,1700.0,False,-100.0,13:53:33
62500.0,500,1000.0,0.0,BU,1700.0,1700.0,False,0.0,13:41:45
62500.0,400,1000.0,0.0,BU,1200.0,1700.0,False,0.0,13:41:45
62500.0,100,1000.0,0.0,BU,800.0,1700.0,False,100.0,13:41:45
62400.0,100,900.0,0.0,BU,700.0,1700.0,False,300.0,13:41:28
62100.0,100,600.0,0.0,SD,600.0,1700.0,False,-200.0,13:34:42
62300.0,100,800.0,0.0,BU,600.0,1600.0,False,300.0,13:21:02
62000.0,100,500.0,0.0,BU,500.0,1600.0,False,0.0,13:12:45
62000.0,400,500.0,0.0,BU,400.0,1600.0,False,200.0,13:12:45
61800.0,100,300.0,0.0,SD,0.0,1600.0,False,0.0,13:11:27
61800.0,100,300.0,0.0,SD,0.0,1500.0,False,0.0,13:04:14
61800.0,100,300.0,0.0,SD,0.0,1400.0,False,-200.0,13:04:09
62000.0,300,500.0,0.0,SD,0.0,1300.0,False,0.0,13:00:02
62000.0,100,500.0,0.0,SD,0.0,1000.0,False,400.0,10:14:27
61600.0,900,100.0,0.0,SD,0.0,900.0,False,0.0,09:47:15
