p,v,cp,rcp,a,ba,sa,hl,pcp,t
88500.0,200,-400.0,0.0,BU,700.0,600.0,False,0.0,14:29:30
88500.0,100,-400.0,0.0,BU,500.0,600.0,False,0.0,14:20:41
88500.0,100,-400.0,0.0,SD,400.0,600.0,False,0.0,14:13:27
88500.0,100,-400.0,0.0,SD,400.0,500.0,False,0.0,14:13:27
88500.0,100,-400.0,0.0,BU,400.0,400.0,False,0.0,11:25:30
88500.0,200,-400.0,0.0,BU,300.0,400.0,False,0.0,11:25:30
88500.0,100,-400.0,0.0,SD,100.0,400.0,False,-900.0,10:00:30
89400.0,100,500.0,0.0,BU,100.0,300.0,False,1000.0,09:54:55
88400.0,100,-500.0,0.0,SD,0.0,300.0,False,0.0,09:31:18
88400.0,100,-500.0,0.0,SD,0.0,200.0,False,0.0,09:31:12
88400.0,100,-500.0,0.0,SD,0.0,100.0,False,0.0,09:28:46
