p,v,cp,rcp,a,ba,sa,hl,pcp,t
17600.0,200,-300.0,0.0,BU,2600.0,3700.0,False,100.0,14:27:17
17500.0,100,-400.0,0.0,SD,2400.0,3700.0,False,-100.0,14:26:21
17600.0,1000,-300.0,0.0,BU,2400.0,3600.0,False,-800.0,14:18:09
18400.0,100,500.0,0.0,SD,1400.0,3600.0,False,900.0,14:10:33
17500.0,900,-400.0,0.0,BU,1400.0,3500.0,False,0.0,13:56:27
17500.0,100,-400.0,0.0,BU,500.0,3500.0,False,0.0,13:37:57
17500.0,1400,-400.0,0.0,SD,400.0,3500.0,False,0.0,13:37:33
17500.0,1000,-400.0,0.0,SD,400.0,2100.0,False,-100.0,13:36:17
17600.0,100,-300.0,0.0,BU,400.0,1100.0,False,0.0,13:32:22
17600.0,100,-300.0,0.0,BU,300.0,1100.0,False,0.0,13:28:50
17600.0,100,-300.0,0.0,SD,200.0,1100.0,False,-100.0,13:26:20
17700.0,1000,-200.0,0.0,SD,200.0,1000.0,False,-200.0,13:22:31
17900.0,100,0.0,0.0,BU,200.0,0.0,False,-100.0,13:06:11
18000.0,100,100.0,0.0,BU,100.0,0.0,False,0.0,09:17:06
