p,v,cp,rcp,a,ba,sa,hl,pcp,t
51500.0,18000,-200.0,0.0,,20800.0,39300.0,False,700.0,14:45:02
50800.0,400,-900.0,0.0,SD,20800.0,39300.0,False,-200.0,14:23:43
51000.0,200,-700.0,0.0,SD,20800.0,38900.0,False,0.0,14:21:40
51000.0,500,-700.0,0.0,SD,20800.0,38700.0,False,0.0,14:20:21
51000.0,100,-700.0,0.0,SD,20800.0,38200.0,False,0.0,14:17:50
51000.0,200,-700.0,0.0,BU,20800.0,38100.0,False,-300.0,14:17:08
51300.0,200,-400.0,0.0,BU,20600.0,38100.0,False,400.0,14:16:32
50900.0,300,-800.0,0.0,BU,20400.0,38100.0,False,-100.0,14:14:13
51000.0,100,-700.0,0.0,BU,20100.0,38100.0,False,0.0,14:14:01
51000.0,500,-700.0,0.0,SD,20000.0,38100.0,False,0.0,14:13:49
51000.0,500,-700.0,0.0,SD,20000.0,37600.0,False,0.0,14:13:25
51000.0,200,-700.0,0.0,SD,20000.0,37100.0,False,200.0,14:12:39
50800.0,300,-900.0,0.0,BU,20000.0,36900.0,False,0.0,13:58:00
50800.0,100,-900.0,0.0,SD,19700.0,36900.0,False,0.0,13:56:33
50800.0,100,-900.0,0.0,SD,19700.0,36800.0,False,0.0,13:56:22
50800.0,100,-900.0,0.0,BU,19700.0,36700.0,False,100.0,13:54:43
50700.0,1500,-1000.0,0.0,SD,19600.0,36700.0,False,-700.0,13:52:39
51400.0,300,-300.0,0.0,BU,19600.0,35200.0,False,600.0,13:50:22
50800.0,100,-900.0,0.0,SD,19300.0,35200.0,False,0.0,13:49:15
50800.0,200,-900.0,0.0,SD,19300.0,35100.0,False,0.0,13:49:03
50800.0,1000,-900.0,0.0,SD,19300.0,34900.0,False,0.0,13:48:50
50800.0,600,-900.0,0.0,BU,19300.0,33900.0,False,0.0,13:45:39
50800.0,300,-900.0,0.0,BU,18700.0,33900.0,False,0.0,13:41:08
50800.0,200,-900.0,0.0,BU,18400.0,33900.0,False,100.0,13:39:06
50700.0,300,-1000.0,0.0,SD,18200.0,33900.0,False,0.0,13:36:49
50700.0,200,-1000.0,0.0,SD,18200.0,33600.0,False,0.0,13:36:36
50700.0,100,-1000.0,0.0,SD,18200.0,33400.0,False,0.0,13:35:15
50700.0,300,-1000.0,0.0,SD,18200.0,33300.0,False,0.0,13:34:37
50700.0,10000,-1000.0,0.0,SD,18200.0,33000.0,True,-200.0,13:25:32
50900.0,200,-800.0,0.0,SD,18200.0,23000.0,False,0.0,13:25:31
50900.0,300,-800.0,0.0,SD,18200.0,22800.0,False,-100.0,13:20:17
51000.0,100,-700.0,0.0,BU,18200.0,22500.0,False,0.0,13:14:39
51000.0,500,-700.0,0.0,BU,18100.0,22500.0,False,0.0,13:14:15
51000.0,100,-700.0,0.0,SD,17600.0,22500.0,False,100.0,13:07:44
50900.0,900,-800.0,0.0,SD,17600.0,22400.0,False,-100.0,13:05:40
51000.0,100,-700.0,0.0,SD,17600.0,21500.0,False,0.0,13:03:21
51000.0,700,-700.0,0.0,SD,17600.0,21400.0,False,0.0,13:03:08
51000.0,600,-700.0,0.0,SD,17600.0,20700.0,False,0.0,13:00:10
51000.0,600,-700.0,0.0,SD,17600.0,20100.0,False,0.0,13:00:09
51000.0,300,-700.0,0.0,SD,17600.0,19500.0,False,0.0,11:26:23
51000.0,5500,-700.0,0.0,SD,17600.0,19200.0,True,0.0,11:23:11
51000.0,300,-700.0,0.0,SD,17600.0,13700.0,False,0.0,11:21:53
51000.0,200,-700.0,0.0,SD,17600.0,13400.0,False,-100.0,11:17:12
51100.0,200,-600.0,0.0,BU,17600.0,13200.0,False,100.0,11:12:57
51000.0,100,-700.0,0.0,SD,17400.0,13200.0,False,0.0,11:07:45
51000.0,200,-700.0,0.0,SD,17400.0,13100.0,False,0.0,11:00:46
51000.0,300,-700.0,0.0,SD,17400.0,12900.0,False,0.0,10:58:02
51000.0,300,-700.0,0.0,SD,17400.0,12600.0,False,0.0,10:52:37
51000.0,300,-700.0,0.0,SD,17400.0,12300.0,False,0.0,10:50:47
51000.0,3700,-700.0,0.0,BU,17400.0,12000.0,False,0.0,10:50:02
51000.0,200,-700.0,0.0,SD,13700.0,12000.0,False,-100.0,10:49:40
51100.0,1000,-600.0,0.0,BU,13700.0,11800.0,False,0.0,10:48:54
51100.0,500,-600.0,0.0,SD,12700.0,11800.0,False,0.0,10:42:52
51100.0,200,-600.0,0.0,SD,12700.0,11300.0,False,0.0,10:42:34
51100.0,100,-600.0,0.0,BU,12700.0,11100.0,False,0.0,10:41:42
