p,v,cp,rcp,a,ba,sa,hl,pcp,t
29050.0,100,-50.0,0.0,,8400.0,9800.0,False,-50.0,14:45:00
29100.0,500,0.0,0.0,BU,8400.0,9800.0,False,0.0,14:15:14
29100.0,300,0.0,0.0,BU,7900.0,9800.0,False,0.0,14:15:14
29100.0,9700,0.0,0.0,SD,7600.0,9800.0,True,-100.0,14:14:25
29200.0,300,100.0,0.0,BU,7600.0,100.0,False,0.0,14:14:25
29200.0,100,100.0,0.0,SD,7300.0,100.0,False,-200.0,13:32:33
29400.0,400,300.0,0.0,BU,7300.0,0.0,False,0.0,11:20:46
29400.0,1000,300.0,0.0,BU,6900.0,0.0,False,0.0,11:20:37
29400.0,5000,300.0,0.0,BU,5900.0,0.0,False,-500.0,11:20:23
29900.0,900,800.0,0.0,BU,900.0,0.0,False,800.0,10:09:11
29100.0,100,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
