p,v,cp,rcp,a,ba,sa,hl,pcp,t
33900.0,5200,-1100.0,0.0,,15600.0,20600.0,False,0.0,14:45:00
33900.0,900,-1100.0,0.0,SD,15600.0,20600.0,False,0.0,14:27:16
33900.0,1000,-1100.0,0.0,SD,15600.0,19700.0,False,0.0,14:27:16
33900.0,100,-1100.0,0.0,SD,15600.0,18700.0,False,0.0,14:27:16
33900.0,900,-1100.0,0.0,SD,15600.0,18600.0,False,0.0,14:15:26
33900.0,300,-1100.0,0.0,SD,15600.0,17700.0,False,-400.0,14:15:26
34300.0,200,-700.0,0.0,BU,15600.0,17400.0,False,50.0,14:11:23
34250.0,1600,-750.0,0.0,BU,15400.0,17400.0,False,0.0,14:06:55
34250.0,100,-750.0,0.0,BU,13800.0,17400.0,False,400.0,14:06:55
33850.0,100,-1150.0,0.0,SD,13700.0,17400.0,False,0.0,13:52:35
33850.0,100,-1150.0,0.0,BU,13700.0,17300.0,False,0.0,13:52:22
33850.0,1000,-1150.0,0.0,BU,13600.0,17300.0,False,0.0,13:52:02
33850.0,200,-1150.0,0.0,BU,12600.0,17300.0,False,0.0,13:51:29
33850.0,1000,-1150.0,0.0,BU,12400.0,17300.0,False,0.0,13:51:29
33850.0,300,-1150.0,0.0,BU,11400.0,17300.0,False,0.0,13:51:29
33850.0,400,-1150.0,0.0,BU,11100.0,17300.0,False,50.0,13:51:29
33800.0,1300,-1200.0,0.0,SD,10700.0,17300.0,False,0.0,13:30:52
33800.0,300,-1200.0,0.0,SD,10700.0,16000.0,False,0.0,13:30:52
33800.0,400,-1200.0,0.0,SD,10700.0,15700.0,False,0.0,13:30:52
33800.0,600,-1200.0,0.0,SD,10700.0,15300.0,False,0.0,13:30:33
33800.0,100,-1200.0,0.0,SD,10700.0,14700.0,False,0.0,13:30:33
33800.0,100,-1200.0,0.0,SD,10700.0,14600.0,False,-50.0,13:30:33
33850.0,100,-1150.0,0.0,SD,10700.0,14500.0,False,0.0,13:30:33
33850.0,100,-1150.0,0.0,SD,10700.0,14400.0,False,0.0,13:30:33
33850.0,600,-1150.0,0.0,SD,10700.0,14300.0,False,0.0,13:30:33
33850.0,100,-1150.0,0.0,SD,10700.0,13700.0,False,0.0,13:30:33
33850.0,300,-1150.0,0.0,SD,10700.0,13600.0,False,0.0,13:30:33
33850.0,200,-1150.0,0.0,SD,10700.0,13300.0,False,0.0,13:19:38
33850.0,100,-1150.0,0.0,SD,10700.0,13100.0,False,-150.0,13:19:38
34000.0,100,-1000.0,0.0,SD,10700.0,13000.0,False,0.0,13:19:38
34000.0,600,-1000.0,0.0,SD,10700.0,12900.0,False,0.0,13:19:38
34000.0,400,-1000.0,0.0,BU,10700.0,12300.0,False,50.0,13:10:19
33950.0,100,-1050.0,0.0,BU,10300.0,12300.0,False,100.0,13:03:44
33850.0,400,-1150.0,0.0,SD,10200.0,12300.0,False,0.0,13:01:15
33850.0,400,-1150.0,0.0,SD,10200.0,11900.0,False,0.0,13:01:15
33850.0,200,-1150.0,0.0,SD,10200.0,11500.0,False,0.0,13:00:38
33850.0,400,-1150.0,0.0,SD,10200.0,11300.0,False,0.0,11:21:43
33850.0,100,-1150.0,0.0,SD,10200.0,10900.0,False,0.0,11:21:43
33850.0,1300,-1150.0,0.0,SD,10200.0,10800.0,False,0.0,11:21:43
33850.0,100,-1150.0,0.0,SD,10200.0,9500.0,False,0.0,11:21:43
33850.0,100,-1150.0,0.0,SD,10200.0,9400.0,False,0.0,11:21:43
33850.0,200,-1150.0,0.0,SD,10200.0,9300.0,False,-50.0,11:16:21
33900.0,100,-1100.0,0.0,BU,10200.0,9100.0,False,0.0,11:16:21
33900.0,200,-1100.0,0.0,BU,10100.0,9100.0,False,0.0,11:16:21
33900.0,1300,-1100.0,0.0,BU,9900.0,9100.0,False,0.0,11:12:18
33900.0,100,-1100.0,0.0,BU,8600.0,9100.0,False,0.0,11:11:51
33900.0,100,-1100.0,0.0,SD,8500.0,9100.0,False,0.0,11:10:09
33900.0,1000,-1100.0,0.0,SD,8500.0,9000.0,False,0.0,11:10:09
33900.0,500,-1100.0,0.0,SD,8500.0,8000.0,False,-100.0,11:10:09
34000.0,600,-1000.0,0.0,SD,8500.0,7500.0,False,-250.0,11:01:54
34250.0,200,-750.0,0.0,BU,8500.0,6900.0,False,350.0,10:57:51
33900.0,200,-1100.0,0.0,BU,8300.0,6900.0,False,50.0,10:38:11
33850.0,500,-1150.0,0.0,SD,8100.0,6900.0,False,-50.0,10:37:50
33900.0,1000,-1100.0,0.0,BU,8100.0,6400.0,False,0.0,10:37:12
33900.0,800,-1100.0,0.0,SD,7100.0,6400.0,False,0.0,10:36:43
33900.0,200,-1100.0,0.0,SD,7100.0,5600.0,False,0.0,10:36:25
33900.0,800,-1100.0,0.0,SD,7100.0,5400.0,False,0.0,10:36:25
33900.0,200,-1100.0,0.0,SD,7100.0,4600.0,False,-50.0,10:36:17
33950.0,800,-1050.0,0.0,SD,7100.0,4400.0,False,0.0,10:36:17
33950.0,200,-1050.0,0.0,SD,7100.0,3600.0,False,-50.0,10:34:41
34000.0,100,-1000.0,0.0,SD,7100.0,3400.0,False,0.0,10:30:43
34000.0,100,-1000.0,0.0,BU,7100.0,3300.0,False,0.0,10:30:22
34000.0,800,-1000.0,0.0,BU,7000.0,3300.0,False,0.0,10:30:22
34000.0,100,-1000.0,0.0,BU,6200.0,3300.0,False,0.0,10:23:03
34000.0,100,-1000.0,0.0,BU,6100.0,3300.0,False,0.0,10:22:51
34000.0,100,-1000.0,0.0,BU,6000.0,3300.0,False,0.0,10:19:55
34000.0,100,-1000.0,0.0,BU,5900.0,3300.0,False,0.0,10:19:55
34000.0,1000,-1000.0,0.0,BU,5800.0,3300.0,False,0.0,10:19:55
34000.0,200,-1000.0,0.0,BU,4800.0,3300.0,False,0.0,10:19:55
34000.0,1500,-1000.0,0.0,BU,4600.0,3300.0,False,0.0,10:19:55
34000.0,100,-1000.0,0.0,BU,3100.0,3300.0,False,0.0,10:19:55
34000.0,300,-1000.0,0.0,SD,3000.0,3300.0,False,0.0,10:09:20
34000.0,800,-1000.0,0.0,SD,3000.0,3000.0,False,0.0,09:59:54
34000.0,800,-1000.0,0.0,SD,3000.0,2200.0,False,-50.0,09:59:54
34050.0,200,-950.0,0.0,BU,3000.0,1400.0,False,0.0,09:59:54
34050.0,200,-950.0,0.0,BU,2800.0,1400.0,False,0.0,09:59:54
34050.0,1000,-950.0,0.0,BU,2600.0,1400.0,False,50.0,09:55:48
34000.0,200,-1000.0,0.0,SD,1600.0,1400.0,False,0.0,09:52:40
34000.0,100,-1000.0,0.0,SD,1600.0,1200.0,False,-50.0,09:46:45
34050.0,200,-950.0,0.0,BU,1600.0,1100.0,False,-950.0,09:46:45
35000.0,100,0.0,0.0,BU,1400.0,1100.0,False,0.0,09:42:06
35000.0,200,0.0,0.0,BU,1300.0,1100.0,False,0.0,09:37:23
35000.0,300,0.0,0.0,BU,1100.0,1100.0,False,0.0,09:35:26
35000.0,600,0.0,0.0,BU,800.0,1100.0,False,1200.0,09:35:26
33800.0,1000,-1200.0,0.0,SD,200.0,1100.0,False,0.0,09:28:41
33800.0,100,-1200.0,0.0,SD,200.0,100.0,False,-1200.0,09:28:41
35000.0,200,0.0,0.0,BU,200.0,0.0,False,0.0,09:22:29
