p,v,cp,rcp,a,ba,sa,hl,pcp,t
6350.0,18800,-150.0,0.0,,163100.0,493200.0,False,180.0,14:45:01
6170.0,200,-330.0,-0.1,SD,163100.0,493200.0,False,0.0,14:29:56
6170.0,1600,-330.0,-0.1,SD,163100.0,493000.0,False,0.0,14:29:56
6170.0,100,-330.0,-0.1,SD,163100.0,491400.0,False,0.0,14:29:55
6170.0,100,-330.0,-0.1,BU,163100.0,491300.0,False,0.0,14:29:50
6170.0,13200,-330.0,-0.1,BU,163000.0,491300.0,False,20.0,14:29:50
6150.0,4700,-350.0,-0.1,SD,149800.0,491300.0,False,0.0,14:29:02
6150.0,600,-350.0,-0.1,SD,149800.0,486600.0,False,0.0,14:29:02
6150.0,100,-350.0,-0.1,SD,149800.0,486000.0,False,0.0,14:28:58
6150.0,1300,-350.0,-0.1,SD,149800.0,485900.0,False,0.0,14:28:52
6150.0,500,-350.0,-0.1,SD,149800.0,484600.0,False,0.0,14:28:52
6150.0,13500,-350.0,-0.1,SD,149800.0,484100.0,False,-20.0,14:28:52
6170.0,5000,-330.0,-0.1,BU,149800.0,470600.0,False,0.0,14:28:15
6170.0,10000,-330.0,-0.1,BU,144800.0,470600.0,False,20.0,14:27:47
6150.0,6500,-350.0,-0.1,SD,134800.0,470600.0,False,-10.0,14:27:28
6160.0,1000,-340.0,-0.1,SD,134800.0,464100.0,False,0.0,14:27:28
6160.0,1000,-340.0,-0.1,SD,134800.0,463100.0,False,0.0,14:27:28
6160.0,1000,-340.0,-0.1,SD,134800.0,462100.0,False,0.0,14:27:28
6160.0,5000,-340.0,-0.1,SD,134800.0,461100.0,False,0.0,14:27:28
6160.0,500,-340.0,-0.1,SD,134800.0,456100.0,False,-10.0,14:27:28
6170.0,1800,-330.0,-0.1,SD,134800.0,455600.0,False,0.0,14:27:23
6170.0,5000,-330.0,-0.1,SD,134800.0,453800.0,False,0.0,14:27:08
6170.0,3000,-330.0,-0.1,SD,134800.0,448800.0,False,0.0,14:27:01
6170.0,200,-330.0,-0.1,SD,134800.0,445800.0,False,0.0,14:26:41
6170.0,100,-330.0,-0.1,SD,134800.0,445600.0,False,0.0,14:26:26
6170.0,1000,-330.0,-0.1,SD,134800.0,445500.0,False,-10.0,14:26:26
6180.0,2500,-320.0,0.0,SD,134800.0,444500.0,False,-10.0,14:25:21
6190.0,100,-310.0,0.0,SD,134800.0,442000.0,False,10.0,14:24:31
6180.0,2500,-320.0,0.0,SD,134800.0,441900.0,False,-10.0,14:23:57
6190.0,1000,-310.0,0.0,BU,134800.0,439400.0,False,0.0,14:23:49
6190.0,500,-310.0,0.0,BU,133800.0,439400.0,False,0.0,14:23:43
6190.0,200,-310.0,0.0,SD,133300.0,439400.0,False,0.0,14:23:05
6190.0,200,-310.0,0.0,SD,133300.0,439200.0,False,-10.0,14:22:57
6200.0,700,-300.0,0.0,SD,133300.0,439000.0,False,0.0,14:22:01
6200.0,4000,-300.0,0.0,SD,133300.0,438300.0,False,0.0,14:22:01
6200.0,4000,-300.0,0.0,SD,133300.0,434300.0,False,0.0,14:21:57
6200.0,900,-300.0,0.0,SD,133300.0,430300.0,False,0.0,14:21:57
6200.0,900,-300.0,0.0,SD,133300.0,429400.0,False,0.0,14:21:04
6200.0,100,-300.0,0.0,SD,133300.0,428500.0,False,0.0,14:21:04
6200.0,1700,-300.0,0.0,SD,133300.0,428400.0,False,0.0,14:21:04
6200.0,200,-300.0,0.0,SD,133300.0,426700.0,False,0.0,14:20:58
6200.0,100,-300.0,0.0,SD,133300.0,426500.0,False,0.0,14:20:39
6200.0,3000,-300.0,0.0,SD,133300.0,426400.0,False,0.0,14:18:56
6200.0,500,-300.0,0.0,SD,133300.0,423400.0,False,0.0,14:18:56
6200.0,100,-300.0,0.0,SD,133300.0,422900.0,False,0.0,14:18:56
6200.0,600,-300.0,0.0,SD,133300.0,422800.0,False,0.0,14:18:56
6200.0,800,-300.0,0.0,SD,133300.0,422200.0,False,0.0,14:18:56
6200.0,1200,-300.0,0.0,SD,133300.0,421400.0,False,0.0,14:17:21
6200.0,3300,-300.0,0.0,SD,133300.0,420200.0,False,-20.0,14:17:21
6220.0,500,-280.0,0.0,BU,133300.0,416900.0,False,-10.0,14:14:23
6230.0,1000,-270.0,0.0,BU,132800.0,416900.0,False,0.0,14:14:23
6230.0,3500,-270.0,0.0,SD,131800.0,416900.0,False,0.0,14:14:23
6230.0,1500,-270.0,0.0,SD,131800.0,413400.0,False,0.0,14:14:03
6230.0,1000,-270.0,0.0,SD,131800.0,411900.0,False,-10.0,14:14:03
6240.0,500,-260.0,0.0,SD,131800.0,410900.0,False,0.0,14:13:37
6240.0,1500,-260.0,0.0,SD,131800.0,410400.0,False,0.0,14:13:14
6240.0,500,-260.0,0.0,SD,131800.0,408900.0,False,-10.0,14:13:14
6250.0,1000,-250.0,0.0,SD,131800.0,408400.0,False,-40.0,14:13:14
6290.0,100,-210.0,0.0,BU,131800.0,407400.0,False,-10.0,14:13:02
6300.0,100,-200.0,0.0,SD,131700.0,407400.0,False,0.0,14:10:48
6300.0,100,-200.0,0.0,SD,131700.0,407300.0,False,-30.0,14:10:48
6330.0,200,-170.0,0.0,BU,131700.0,407200.0,False,30.0,14:09:24
6300.0,900,-200.0,0.0,BU,131500.0,407200.0,False,0.0,14:06:02
6300.0,100,-200.0,0.0,BU,130600.0,407200.0,False,20.0,14:06:02
6280.0,3000,-220.0,0.0,BU,130500.0,407200.0,False,0.0,14:04:54
6280.0,2000,-220.0,0.0,BU,127500.0,407200.0,False,0.0,14:04:24
6280.0,3000,-220.0,0.0,BU,125500.0,407200.0,False,50.0,14:03:48
6230.0,200,-270.0,0.0,BU,122500.0,407200.0,False,0.0,14:03:15
6230.0,100,-270.0,0.0,BU,122300.0,407200.0,False,0.0,14:02:56
6230.0,500,-270.0,0.0,BU,122200.0,407200.0,False,10.0,14:02:28
6220.0,200,-280.0,0.0,BU,121700.0,407200.0,False,0.0,14:01:57
6220.0,500,-280.0,0.0,BU,121500.0,407200.0,False,10.0,14:01:41
6210.0,1500,-290.0,0.0,SD,121000.0,407200.0,False,10.0,14:01:02
6200.0,200,-300.0,0.0,SD,121000.0,405700.0,False,-10.0,14:00:44
6210.0,100,-290.0,0.0,SD,121000.0,405500.0,False,0.0,14:00:44
6210.0,300,-290.0,0.0,SD,121000.0,405400.0,False,0.0,13:59:55
6210.0,100,-290.0,0.0,SD,121000.0,405100.0,False,-10.0,13:59:55
6220.0,500,-280.0,0.0,BU,121000.0,405000.0,False,0.0,13:59:37
6220.0,1600,-280.0,0.0,BU,120500.0,405000.0,False,0.0,13:59:12
6220.0,3400,-280.0,0.0,BU,118900.0,405000.0,False,0.0,13:59:12
6220.0,1000,-280.0,0.0,BU,115500.0,405000.0,False,10.0,13:59:03
6210.0,100,-290.0,0.0,SD,114500.0,405000.0,False,0.0,13:58:44
6210.0,800,-290.0,0.0,SD,114500.0,404900.0,False,10.0,13:58:43
