p,v,cp,rcp,a,ba,sa,hl,pcp,t
24400.0,200,-500.0,0.0,BU,175500.0,253000.0,False,200.0,14:53:40
24200.0,4000,-700.0,0.0,SD,175300.0,253000.0,False,0.0,14:53:37
24200.0,10000,-700.0,0.0,SD,175300.0,249000.0,True,-100.0,14:53:18
24300.0,100,-600.0,0.0,SD,175300.0,239000.0,False,0.0,14:52:12
24300.0,900,-600.0,0.0,SD,175300.0,238900.0,False,0.0,14:52:05
24300.0,1000,-600.0,0.0,SD,175300.0,238000.0,False,0.0,14:51:52
24300.0,5000,-600.0,0.0,SD,175300.0,237000.0,False,0.0,14:51:45
24300.0,5000,-600.0,0.0,SD,175300.0,232000.0,False,0.0,14:51:12
24300.0,5200,-600.0,0.0,SD,175300.0,227000.0,False,-100.0,14:46:15
24400.0,200,-500.0,0.0,BU,175300.0,221800.0,False,0.0,14:45:36
24400.0,300,-500.0,0.0,BU,175100.0,221800.0,False,0.0,14:45:28
24400.0,300,-500.0,0.0,BU,174800.0,221800.0,False,0.0,14:43:28
24400.0,2000,-500.0,0.0,BU,174500.0,221800.0,False,100.0,14:43:23
24300.0,100,-600.0,0.0,BU,172500.0,221800.0,False,0.0,14:40:07
24300.0,3000,-600.0,0.0,BU,172400.0,221800.0,False,0.0,14:39:47
24300.0,100,-600.0,0.0,BU,169400.0,221800.0,False,0.0,14:39:23
24300.0,300,-600.0,0.0,BU,169300.0,221800.0,False,0.0,14:38:16
24300.0,200,-600.0,0.0,BU,169000.0,221800.0,False,0.0,14:38:08
24300.0,300,-600.0,0.0,BU,168800.0,221800.0,False,0.0,14:38:03
24300.0,3300,-600.0,0.0,BU,168500.0,221800.0,False,0.0,14:37:23
24300.0,1000,-600.0,0.0,BU,165200.0,221800.0,False,0.0,14:36:39
24300.0,13700,-600.0,0.0,BU,164200.0,221800.0,True,-100.0,14:36:12
24400.0,100,-500.0,0.0,BU,150500.0,221800.0,False,0.0,14:35:46
24400.0,1700,-500.0,0.0,BU,150400.0,221800.0,False,100.0,14:35:29
24300.0,1000,-600.0,0.0,SD,148700.0,221800.0,False,0.0,14:32:37
24300.0,500,-600.0,0.0,SD,148700.0,220800.0,False,-100.0,14:31:19
24400.0,100,-500.0,0.0,BU,148700.0,220300.0,False,100.0,14:31:18
24300.0,1000,-600.0,0.0,SD,148600.0,220300.0,False,-100.0,14:30:23
24400.0,100,-500.0,0.0,BU,148600.0,219300.0,False,0.0,14:30:18
24400.0,200,-500.0,0.0,BU,148500.0,219300.0,False,0.0,14:29:30
24400.0,200,-500.0,0.0,BU,148300.0,219300.0,False,0.0,14:29:21
24400.0,300,-500.0,0.0,BU,148100.0,219300.0,False,100.0,14:28:49
24300.0,2500,-600.0,0.0,SD,147800.0,219300.0,False,0.0,14:28:24
24300.0,1800,-600.0,0.0,SD,147800.0,216800.0,False,-100.0,14:27:42
24400.0,500,-500.0,0.0,BU,147800.0,215000.0,False,0.0,14:26:53
24400.0,1700,-500.0,0.0,BU,147300.0,215000.0,False,0.0,14:25:55
24400.0,300,-500.0,0.0,BU,145600.0,215000.0,False,0.0,14:25:47
24400.0,2000,-500.0,0.0,BU,145300.0,215000.0,False,0.0,14:25:37
24400.0,1200,-500.0,0.0,BU,143300.0,215000.0,False,0.0,14:24:53
24400.0,300,-500.0,0.0,SD,142100.0,215000.0,False,0.0,14:24:24
24400.0,2000,-500.0,0.0,SD,142100.0,214700.0,False,0.0,14:23:14
24400.0,3000,-500.0,0.0,SD,142100.0,212700.0,False,0.0,14:23:13
24400.0,5000,-500.0,0.0,SD,142100.0,209700.0,False,-100.0,14:22:20
24500.0,3000,-400.0,0.0,SD,142100.0,204700.0,False,0.0,14:22:17
24500.0,1000,-400.0,0.0,SD,142100.0,201700.0,False,0.0,14:21:25
24500.0,6000,-400.0,0.0,SD,142100.0,200700.0,False,0.0,14:21:07
24500.0,2300,-400.0,0.0,SD,142100.0,194700.0,False,0.0,14:19:18
24500.0,1000,-400.0,0.0,SD,142100.0,192400.0,False,0.0,14:17:05
24500.0,100,-400.0,0.0,SD,142100.0,191400.0,False,0.0,14:15:24
24500.0,500,-400.0,0.0,SD,142100.0,191300.0,False,-100.0,14:15:05
24600.0,100,-300.0,0.0,BU,142100.0,190800.0,False,0.0,14:13:47
24600.0,100,-300.0,0.0,SD,142000.0,190800.0,False,100.0,14:09:50
24500.0,100,-400.0,0.0,SD,142000.0,190700.0,False,0.0,14:08:57
24500.0,4000,-400.0,0.0,SD,142000.0,190600.0,False,-100.0,14:07:39
24600.0,200,-300.0,0.0,BU,142000.0,186600.0,False,0.0,14:07:24
24600.0,1000,-300.0,0.0,SD,141800.0,186600.0,False,0.0,14:06:22
24600.0,100,-300.0,0.0,BU,141800.0,185600.0,False,0.0,14:04:59
24600.0,200,-300.0,0.0,SD,141700.0,185600.0,False,0.0,14:02:43
24600.0,900,-300.0,0.0,BU,141700.0,185400.0,False,0.0,14:01:29
24600.0,2000,-300.0,0.0,BU,140800.0,185400.0,False,0.0,14:01:03
24600.0,1000,-300.0,0.0,BU,138800.0,185400.0,False,0.0,14:00:16
24600.0,200,-300.0,0.0,BU,137800.0,185400.0,False,100.0,13:59:48
24500.0,2600,-400.0,0.0,SD,137600.0,185400.0,False,100.0,13:56:27
