p,v,cp,rcp,a,ba,sa,hl,pcp,t
19300.0,1640300,-700.0,0.0,,12657700.0,25904400.0,False,-150.0,14:45:00
19450.0,200,-550.0,0.0,BU,12657700.0,25904400.0,False,0.0,14:29:59
19450.0,2000,-550.0,0.0,BU,12657500.0,25904400.0,False,0.0,14:29:58
19450.0,100,-550.0,0.0,BU,12655500.0,25904400.0,False,0.0,14:29:57
19450.0,200,-550.0,0.0,BU,12655400.0,25904400.0,False,50.0,14:29:57
19400.0,1000,-600.0,0.0,SD,12655200.0,25904400.0,False,0.0,14:29:54
19400.0,300,-600.0,0.0,SD,12655200.0,25903400.0,False,0.0,14:29:54
19400.0,1700,-600.0,0.0,SD,12655200.0,25903100.0,False,-50.0,14:29:54
19450.0,300,-550.0,0.0,BU,12655200.0,25901400.0,False,0.0,14:29:51
19450.0,2000,-550.0,0.0,BU,12654900.0,25901400.0,False,0.0,14:29:51
19450.0,300,-550.0,0.0,BU,12652900.0,25901400.0,False,0.0,14:29:51
19450.0,2000,-550.0,0.0,BU,12652600.0,25901400.0,False,0.0,14:29:51
19450.0,500,-550.0,0.0,BU,12650600.0,25901400.0,False,0.0,14:29:51
19450.0,500,-550.0,0.0,BU,12650100.0,25901400.0,False,0.0,14:29:51
19450.0,4000,-550.0,0.0,BU,12649600.0,25901400.0,False,0.0,14:29:51
19450.0,400,-550.0,0.0,BU,12645600.0,25901400.0,False,50.0,14:29:51
19400.0,600,-600.0,0.0,SD,12645200.0,25901400.0,False,0.0,14:29:51
19400.0,300,-600.0,0.0,SD,12645200.0,25900800.0,False,0.0,14:29:50
19400.0,7700,-600.0,0.0,SD,12645200.0,25900500.0,False,0.0,14:29:50
19400.0,8700,-600.0,0.0,SD,12645200.0,25892800.0,False,0.0,14:29:50
19400.0,800,-600.0,0.0,SD,12645200.0,25884100.0,False,0.0,14:29:50
19400.0,200,-600.0,0.0,SD,12645200.0,25883300.0,False,0.0,14:29:50
19400.0,200,-600.0,0.0,SD,12645200.0,25883100.0,False,0.0,14:29:50
19400.0,200,-600.0,0.0,SD,12645200.0,25882900.0,False,0.0,14:29:50
19400.0,800,-600.0,0.0,SD,12645200.0,25882700.0,False,0.0,14:29:50
19400.0,500,-600.0,0.0,SD,12645200.0,25881900.0,False,-50.0,14:29:50
19450.0,100,-550.0,0.0,BU,12645200.0,25881400.0,False,50.0,14:29:50
19400.0,5000,-600.0,0.0,SD,12645100.0,25881400.0,False,0.0,14:29:49
19400.0,3700,-600.0,0.0,SD,12645100.0,25876400.0,False,0.0,14:29:44
19400.0,1000,-600.0,0.0,SD,12645100.0,25872700.0,False,0.0,14:29:44
19400.0,10000,-600.0,0.0,SD,12645100.0,25871700.0,False,0.0,14:29:44
19400.0,1000,-600.0,0.0,SD,12645100.0,25861700.0,False,0.0,14:29:44
19400.0,100,-600.0,0.0,SD,12645100.0,25860700.0,False,0.0,14:29:44
19400.0,400,-600.0,0.0,SD,12645100.0,25860600.0,False,0.0,14:29:43
19400.0,4600,-600.0,0.0,SD,12645100.0,25860200.0,False,0.0,14:29:43
19400.0,400,-600.0,0.0,SD,12645100.0,25855600.0,False,0.0,14:29:37
19400.0,100,-600.0,0.0,SD,12645100.0,25855200.0,False,0.0,14:29:37
19400.0,400,-600.0,0.0,BU,12645100.0,25855100.0,False,0.0,14:29:36
19400.0,4200,-600.0,0.0,BU,12644700.0,25855100.0,False,0.0,14:29:36
19400.0,10000,-600.0,0.0,BU,12640500.0,25855100.0,False,0.0,14:29:35
19400.0,800,-600.0,0.0,BU,12630500.0,25855100.0,False,0.0,14:29:35
19400.0,4000,-600.0,0.0,BU,12629700.0,25855100.0,False,0.0,14:29:35
19400.0,5000,-600.0,0.0,BU,12625700.0,25855100.0,False,0.0,14:29:35
19400.0,3000,-600.0,0.0,BU,12620700.0,25855100.0,False,0.0,14:29:35
19400.0,500,-600.0,0.0,BU,12617700.0,25855100.0,False,0.0,14:29:35
19400.0,100,-600.0,0.0,BU,12617200.0,25855100.0,False,0.0,14:29:35
19400.0,300,-600.0,0.0,BU,12617100.0,25855100.0,False,0.0,14:29:35
19400.0,100,-600.0,0.0,BU,12616800.0,25855100.0,False,0.0,14:29:35
19400.0,10000,-600.0,0.0,BU,12616700.0,25855100.0,False,0.0,14:29:35
19400.0,2200,-600.0,0.0,BU,12606700.0,25855100.0,False,0.0,14:29:35
19400.0,1000,-600.0,0.0,BU,12604500.0,25855100.0,False,0.0,14:29:35
19400.0,1000,-600.0,0.0,BU,12603500.0,25855100.0,False,0.0,14:29:35
19400.0,1800,-600.0,0.0,BU,12602500.0,25855100.0,False,0.0,14:29:33
19400.0,2200,-600.0,0.0,BU,12600700.0,25855100.0,False,0.0,14:29:33
19400.0,100,-600.0,0.0,BU,12598500.0,25855100.0,False,50.0,14:29:32
19350.0,700,-650.0,0.0,SD,12598400.0,25855100.0,False,-50.0,14:29:32
19400.0,2700,-600.0,0.0,BU,12598400.0,25854400.0,False,0.0,14:29:31
19400.0,400,-600.0,0.0,BU,12595700.0,25854400.0,False,0.0,14:29:31
19400.0,100,-600.0,0.0,BU,12595300.0,25854400.0,False,0.0,14:29:30
19400.0,200,-600.0,0.0,BU,12595200.0,25854400.0,False,0.0,14:29:30
19400.0,1700,-600.0,0.0,BU,12595000.0,25854400.0,False,50.0,14:29:30
