p,v,cp,rcp,a,ba,sa,hl,pcp,t
59500.0,157100,-1900.0,0.0,,1160700.0,1820700.0,False,-400.0,14:45:00
59900.0,6000,-1500.0,0.0,SD,1160700.0,1820700.0,True,0.0,14:29:58
59900.0,1000,-1500.0,0.0,SD,1160700.0,1814700.0,False,0.0,14:29:50
59900.0,10000,-1500.0,0.0,SD,1160700.0,1813700.0,True,0.0,14:29:50
59900.0,200,-1500.0,0.0,BU,1160700.0,1803700.0,False,0.0,14:29:48
59900.0,200,-1500.0,0.0,BU,1160500.0,1803700.0,False,0.0,14:29:48
59900.0,100,-1500.0,0.0,BU,1160300.0,1803700.0,False,0.0,14:29:48
59900.0,300,-1500.0,0.0,BU,1160200.0,1803700.0,False,100.0,14:29:41
59800.0,100,-1600.0,0.0,SD,1159900.0,1803700.0,False,0.0,14:29:40
59800.0,100,-1600.0,0.0,SD,1159900.0,1803600.0,False,0.0,14:29:40
59800.0,500,-1600.0,0.0,SD,1159900.0,1803500.0,False,0.0,14:29:40
59800.0,100,-1600.0,0.0,SD,1159900.0,1803000.0,False,0.0,14:29:40
59800.0,200,-1600.0,0.0,SD,1159900.0,1802900.0,False,-100.0,14:29:40
59900.0,100,-1500.0,0.0,BU,1159900.0,1802700.0,False,0.0,14:29:40
59900.0,5000,-1500.0,0.0,BU,1159800.0,1802700.0,True,0.0,14:29:37
59900.0,200,-1500.0,0.0,BU,1154800.0,1802700.0,False,0.0,14:29:36
59900.0,100,-1500.0,0.0,BU,1154600.0,1802700.0,False,100.0,14:29:29
59800.0,1800,-1600.0,0.0,SD,1154500.0,1802700.0,False,0.0,14:29:18
59800.0,200,-1600.0,0.0,SD,1154500.0,1800900.0,False,0.0,14:29:18
59800.0,300,-1600.0,0.0,SD,1154500.0,1800700.0,False,0.0,14:29:18
59800.0,200,-1600.0,0.0,SD,1154500.0,1800400.0,False,0.0,14:29:18
59800.0,100,-1600.0,0.0,SD,1154500.0,1800200.0,False,0.0,14:29:18
59800.0,200,-1600.0,0.0,SD,1154500.0,1800100.0,False,0.0,14:29:18
59800.0,100,-1600.0,0.0,SD,1154500.0,1799900.0,False,0.0,14:29:18
59800.0,3900,-1600.0,0.0,SD,1154500.0,1799800.0,True,0.0,14:29:18
59800.0,3200,-1600.0,0.0,SD,1154500.0,1795900.0,False,0.0,14:29:18
59800.0,600,-1600.0,0.0,SD,1154500.0,1792700.0,False,-100.0,14:29:16
59900.0,1000,-1500.0,0.0,BU,1154500.0,1792100.0,False,100.0,14:29:13
59800.0,100,-1600.0,0.0,SD,1153500.0,1792100.0,False,0.0,14:29:01
59800.0,100,-1600.0,0.0,SD,1153500.0,1792000.0,False,0.0,14:28:58
59800.0,2800,-1600.0,0.0,SD,1153500.0,1791900.0,False,0.0,14:28:58
59800.0,100,-1600.0,0.0,SD,1153500.0,1789100.0,False,0.0,14:28:58
59800.0,500,-1600.0,0.0,SD,1153500.0,1789000.0,False,0.0,14:28:58
