p,v,cp,rcp,a,ba,sa,hl,pcp,t
55000.0,8100,-1700.0,0.0,,41900.0,85900.0,False,-200.0,14:45:00
55200.0,500,-1500.0,0.0,BU,41900.0,85900.0,False,0.0,14:29:59
55200.0,300,-1500.0,0.0,BU,41400.0,85900.0,False,0.0,14:29:44
55200.0,100,-1500.0,0.0,SD,41100.0,85900.0,False,-100.0,14:29:38
55300.0,1000,-1400.0,0.0,BU,41100.0,85800.0,False,0.0,14:28:05
55300.0,300,-1400.0,0.0,BU,40100.0,85800.0,False,0.0,14:25:29
55300.0,500,-1400.0,0.0,BU,39800.0,85800.0,False,0.0,14:24:35
55300.0,100,-1400.0,0.0,BU,39300.0,85800.0,False,0.0,14:24:35
55300.0,500,-1400.0,0.0,BU,39200.0,85800.0,False,0.0,14:24:35
55300.0,900,-1400.0,0.0,BU,38700.0,85800.0,False,0.0,14:24:35
55300.0,1300,-1400.0,0.0,BU,37800.0,85800.0,False,0.0,14:24:35
55300.0,700,-1400.0,0.0,SD,36500.0,85800.0,False,-100.0,14:20:39
55400.0,300,-1300.0,0.0,BU,36500.0,85100.0,False,100.0,14:20:39
55300.0,3000,-1400.0,0.0,SD,36200.0,85100.0,False,-100.0,14:14:21
55400.0,100,-1300.0,0.0,SD,36200.0,82100.0,False,0.0,14:11:36
55400.0,100,-1300.0,0.0,SD,36200.0,82000.0,False,100.0,14:11:36
55300.0,300,-1400.0,0.0,SD,36200.0,81900.0,False,0.0,14:09:15
55300.0,2000,-1400.0,0.0,SD,36200.0,81600.0,False,0.0,14:06:55
55300.0,500,-1400.0,0.0,BU,36200.0,79600.0,False,0.0,14:04:00
55300.0,1000,-1400.0,0.0,BU,35700.0,79600.0,False,0.0,14:03:50
55300.0,1000,-1400.0,0.0,BU,34700.0,79600.0,False,0.0,14:03:17
55300.0,3000,-1400.0,0.0,BU,33700.0,79600.0,False,300.0,14:01:55
55000.0,1200,-1700.0,0.0,SD,30700.0,79600.0,False,0.0,14:01:13
55000.0,2800,-1700.0,0.0,SD,30700.0,78400.0,False,-100.0,14:01:13
55100.0,100,-1600.0,0.0,BU,30700.0,75600.0,False,0.0,14:00:21
55100.0,500,-1600.0,0.0,BU,30600.0,75600.0,False,0.0,13:58:52
55100.0,500,-1600.0,0.0,BU,30100.0,75600.0,False,0.0,13:58:36
