p,v,cp,rcp,a,ba,sa,hl,pcp,t
5800.0,263800,-240.0,0.0,,1290300.0,2612400.0,False,-20.0,14:45:01
5820.0,400,-220.0,0.0,SD,1290300.0,2612400.0,False,-10.0,14:29:59
5830.0,1000,-210.0,0.0,BU,1290300.0,2612000.0,False,10.0,14:29:49
5820.0,2600,-220.0,0.0,SD,1289300.0,2612000.0,False,0.0,14:29:47
5820.0,1000,-220.0,0.0,SD,1289300.0,2609400.0,False,0.0,14:29:47
5820.0,300,-220.0,0.0,SD,1289300.0,2608400.0,False,0.0,14:29:47
5820.0,2000,-220.0,0.0,SD,1289300.0,2608100.0,False,0.0,14:29:47
5820.0,100,-220.0,0.0,SD,1289300.0,2606100.0,False,0.0,14:29:47
5820.0,3000,-220.0,0.0,SD,1289300.0,2606000.0,False,-10.0,14:29:47
5830.0,100,-210.0,0.0,BU,1289300.0,2603000.0,False,0.0,14:29:43
5830.0,100,-210.0,0.0,BU,1289200.0,2603000.0,False,0.0,14:29:35
5830.0,3000,-210.0,0.0,BU,1289100.0,2603000.0,False,0.0,14:29:34
5830.0,10000,-210.0,0.0,BU,1286100.0,2603000.0,False,10.0,14:29:32
5820.0,1000,-220.0,0.0,SD,1276100.0,2603000.0,False,-10.0,14:29:31
5830.0,2000,-210.0,0.0,BU,1276100.0,2602000.0,False,0.0,14:29:26
5830.0,7100,-210.0,0.0,BU,1274100.0,2602000.0,False,0.0,14:29:17
5830.0,1900,-210.0,0.0,BU,1267000.0,2602000.0,False,10.0,14:29:17
5820.0,1000,-220.0,0.0,SD,1265100.0,2602000.0,False,0.0,14:28:58
5820.0,6000,-220.0,0.0,SD,1265100.0,2601000.0,False,0.0,14:28:58
5820.0,8000,-220.0,0.0,SD,1265100.0,2595000.0,False,-10.0,14:28:58
5830.0,7000,-210.0,0.0,BU,1265100.0,2587000.0,False,0.0,14:28:54
5830.0,100,-210.0,0.0,BU,1258100.0,2587000.0,False,0.0,14:28:51
5830.0,1000,-210.0,0.0,BU,1258000.0,2587000.0,False,-10.0,14:28:45
5840.0,500,-200.0,0.0,BU,1257000.0,2587000.0,False,0.0,14:28:22
5840.0,1700,-200.0,0.0,BU,1256500.0,2587000.0,False,20.0,14:28:20
5820.0,1300,-220.0,0.0,BU,1254800.0,2587000.0,False,0.0,14:28:20
5820.0,100,-220.0,0.0,BU,1253500.0,2587000.0,False,0.0,14:28:16
5820.0,2000,-220.0,0.0,SD,1253400.0,2587000.0,False,0.0,14:28:11
5820.0,500,-220.0,0.0,SD,1253400.0,2585000.0,False,0.0,14:28:11
5820.0,100,-220.0,0.0,SD,1253400.0,2584500.0,False,0.0,14:28:11
5820.0,5000,-220.0,0.0,SD,1253400.0,2584400.0,False,0.0,14:28:11
5820.0,10000,-220.0,0.0,SD,1253400.0,2579400.0,False,0.0,14:28:11
5820.0,400,-220.0,0.0,SD,1253400.0,2569400.0,False,0.0,14:28:11
5820.0,10000,-220.0,0.0,SD,1253400.0,2569000.0,False,0.0,14:28:11
5820.0,600,-220.0,0.0,SD,1253400.0,2559000.0,False,0.0,14:28:11
5820.0,400,-220.0,0.0,SD,1253400.0,2558400.0,False,0.0,14:28:08
5820.0,500,-220.0,0.0,SD,1253400.0,2558000.0,False,0.0,14:28:08
5820.0,5000,-220.0,0.0,SD,1253400.0,2557500.0,False,0.0,14:28:08
