p,v,cp,rcp,a,ba,sa,hl,pcp,t
49900.0,7500,-1400.0,0.0,,28900.0,21600.0,False,-400.0,14:45:00
50300.0,100,-1000.0,0.0,BU,28900.0,21600.0,False,0.0,14:29:14
50300.0,900,-1000.0,0.0,SD,28800.0,21600.0,False,0.0,14:28:43
50300.0,200,-1000.0,0.0,SD,28800.0,20700.0,False,-400.0,14:28:00
50700.0,200,-600.0,0.0,BU,28800.0,20500.0,False,300.0,14:06:56
50400.0,300,-900.0,0.0,BU,28600.0,20500.0,False,-100.0,14:06:56
50500.0,2900,-800.0,0.0,SD,28300.0,20500.0,False,0.0,14:06:52
50500.0,100,-800.0,0.0,SD,28300.0,17600.0,False,0.0,14:04:27
50500.0,100,-800.0,0.0,BU,28300.0,17500.0,False,100.0,14:03:56
50400.0,1000,-900.0,0.0,BU,28200.0,17500.0,False,0.0,14:02:25
50400.0,500,-900.0,0.0,BU,27200.0,17500.0,False,300.0,14:02:25
50100.0,1000,-1200.0,0.0,BU,26700.0,17500.0,False,0.0,13:58:34
50100.0,500,-1200.0,0.0,BU,25700.0,17500.0,False,0.0,13:57:35
50100.0,2000,-1200.0,0.0,BU,25200.0,17500.0,False,100.0,13:57:00
50000.0,100,-1300.0,0.0,SD,23200.0,17500.0,False,0.0,13:51:46
50000.0,100,-1300.0,0.0,SD,23200.0,17400.0,False,0.0,13:51:46
50000.0,100,-1300.0,0.0,SD,23200.0,17300.0,False,0.0,13:49:39
50000.0,400,-1300.0,0.0,SD,23200.0,17200.0,False,0.0,13:49:39
50000.0,600,-1300.0,0.0,SD,23200.0,16800.0,False,0.0,13:48:54
50000.0,400,-1300.0,0.0,SD,23200.0,16200.0,False,0.0,13:48:54
50000.0,100,-1300.0,0.0,SD,23200.0,15800.0,False,0.0,13:47:17
50000.0,500,-1300.0,0.0,SD,23200.0,15700.0,False,0.0,13:47:17
50000.0,100,-1300.0,0.0,SD,23200.0,15200.0,False,0.0,13:47:17
50000.0,100,-1300.0,0.0,SD,23200.0,15100.0,False,0.0,13:47:17
50000.0,100,-1300.0,0.0,SD,23200.0,15000.0,False,0.0,13:47:16
50000.0,200,-1300.0,0.0,SD,23200.0,14900.0,False,0.0,13:47:16
50000.0,200,-1300.0,0.0,SD,23200.0,14700.0,False,-100.0,13:47:16
50100.0,500,-1200.0,0.0,SD,23200.0,14500.0,False,0.0,13:47:06
50100.0,1000,-1200.0,0.0,SD,23200.0,14000.0,False,100.0,13:47:06
50000.0,800,-1300.0,0.0,SD,23200.0,13000.0,False,-100.0,13:33:32
50100.0,100,-1200.0,0.0,BU,23200.0,12200.0,False,0.0,13:33:32
50100.0,1000,-1200.0,0.0,BU,23100.0,12200.0,False,-100.0,13:33:32
50200.0,300,-1100.0,0.0,BU,22100.0,12200.0,False,0.0,13:33:32
50200.0,100,-1100.0,0.0,BU,21800.0,12200.0,False,0.0,13:33:32
50200.0,200,-1100.0,0.0,BU,21700.0,12200.0,False,0.0,13:33:32
50200.0,300,-1100.0,0.0,BU,21500.0,12200.0,False,0.0,13:33:32
50200.0,500,-1100.0,0.0,SD,21200.0,12200.0,False,0.0,13:32:25
50200.0,100,-1100.0,0.0,SD,21200.0,11700.0,False,0.0,13:31:28
50200.0,100,-1100.0,0.0,SD,21200.0,11600.0,False,0.0,13:28:06
50200.0,900,-1100.0,0.0,SD,21200.0,11500.0,False,-100.0,13:28:06
50300.0,100,-1000.0,0.0,SD,21200.0,10600.0,False,-100.0,13:27:55
50400.0,500,-900.0,0.0,BU,21200.0,10500.0,False,100.0,13:23:40
50300.0,100,-1000.0,0.0,SD,20700.0,10500.0,False,0.0,13:23:21
50300.0,100,-1000.0,0.0,SD,20700.0,10400.0,False,0.0,13:23:21
50300.0,300,-1000.0,0.0,SD,20700.0,10300.0,False,0.0,13:23:19
50300.0,100,-1000.0,0.0,SD,20700.0,10000.0,False,0.0,13:23:19
50300.0,600,-1000.0,0.0,SD,20700.0,9900.0,False,-100.0,13:23:19
50400.0,100,-900.0,0.0,BU,20700.0,9300.0,False,0.0,13:16:21
50400.0,300,-900.0,0.0,BU,20600.0,9300.0,False,100.0,13:15:33
50300.0,100,-1000.0,0.0,SD,20300.0,9300.0,False,0.0,13:14:26
50300.0,200,-1000.0,0.0,SD,20300.0,9200.0,False,0.0,13:10:09
50300.0,100,-1000.0,0.0,SD,20300.0,9000.0,False,-100.0,13:09:29
50400.0,100,-900.0,0.0,SD,20300.0,8900.0,False,0.0,13:00:34
50400.0,100,-900.0,0.0,SD,20300.0,8800.0,False,0.0,13:00:34
50400.0,1000,-900.0,0.0,SD,20300.0,8700.0,False,0.0,13:00:01
50400.0,100,-900.0,0.0,SD,20300.0,7700.0,False,0.0,11:16:54
50400.0,200,-900.0,0.0,SD,20300.0,7600.0,False,0.0,11:16:54
50400.0,100,-900.0,0.0,SD,20300.0,7400.0,False,0.0,11:16:54
50400.0,100,-900.0,0.0,SD,20300.0,7300.0,False,0.0,11:16:54
50400.0,100,-900.0,0.0,SD,20300.0,7200.0,False,0.0,11:16:54
50400.0,200,-900.0,0.0,SD,20300.0,7100.0,False,0.0,11:16:54
50400.0,200,-900.0,0.0,SD,20300.0,6900.0,False,0.0,11:16:54
50400.0,800,-900.0,0.0,SD,20300.0,6700.0,False,0.0,11:16:54
50400.0,500,-900.0,0.0,SD,20300.0,5900.0,False,0.0,11:11:41
50400.0,500,-900.0,0.0,SD,20300.0,5400.0,False,0.0,11:06:43
50400.0,200,-900.0,0.0,SD,20300.0,4900.0,False,0.0,11:04:46
50400.0,100,-900.0,0.0,SD,20300.0,4700.0,False,0.0,11:04:46
50400.0,100,-900.0,0.0,BU,20300.0,4600.0,False,0.0,10:57:00
50400.0,100,-900.0,0.0,BU,20200.0,4600.0,False,0.0,10:56:37
50400.0,200,-900.0,0.0,BU,20100.0,4600.0,False,0.0,10:56:34
50400.0,400,-900.0,0.0,BU,19900.0,4600.0,False,0.0,10:56:30
50400.0,2000,-900.0,0.0,BU,19500.0,4600.0,False,0.0,10:54:42
50400.0,100,-900.0,0.0,BU,17500.0,4600.0,False,0.0,10:53:29
50400.0,300,-900.0,0.0,BU,17400.0,4600.0,False,0.0,10:52:40
50400.0,2000,-900.0,0.0,BU,17100.0,4600.0,False,0.0,10:52:20
50400.0,600,-900.0,0.0,BU,15100.0,4600.0,False,0.0,10:50:46
50400.0,100,-900.0,0.0,BU,14500.0,4600.0,False,0.0,10:50:10
50400.0,1000,-900.0,0.0,BU,14400.0,4600.0,False,0.0,10:46:26
50400.0,200,-900.0,0.0,BU,13400.0,4600.0,False,0.0,10:46:14
50400.0,500,-900.0,0.0,BU,13200.0,4600.0,False,0.0,10:45:06
50400.0,200,-900.0,0.0,BU,12700.0,4600.0,False,0.0,10:43:50
50400.0,500,-900.0,0.0,BU,12500.0,4600.0,False,0.0,10:43:41
50400.0,1000,-900.0,0.0,BU,12000.0,4600.0,False,0.0,10:42:57
50400.0,200,-900.0,0.0,BU,11000.0,4600.0,False,0.0,10:41:34
50400.0,1400,-900.0,0.0,BU,10800.0,4600.0,False,-100.0,10:40:32
50500.0,100,-800.0,0.0,BU,9400.0,4600.0,False,300.0,10:38:52
50200.0,100,-1100.0,0.0,SD,9300.0,4600.0,False,-300.0,10:38:52
50500.0,100,-800.0,0.0,BU,9300.0,4500.0,False,-100.0,10:38:52
50600.0,300,-700.0,0.0,BU,9200.0,4500.0,False,0.0,10:38:52
50600.0,100,-700.0,0.0,BU,8900.0,4500.0,False,-100.0,10:38:52
50700.0,200,-600.0,0.0,BU,8800.0,4500.0,False,0.0,10:38:52
50700.0,100,-600.0,0.0,BU,8600.0,4500.0,False,0.0,10:38:52
50700.0,100,-600.0,0.0,BU,8500.0,4500.0,False,-300.0,10:38:52
51000.0,400,-300.0,0.0,BU,8400.0,4500.0,False,0.0,10:33:34
51000.0,300,-300.0,0.0,SD,8000.0,4500.0,False,0.0,10:19:34
51000.0,700,-300.0,0.0,BU,8000.0,4200.0,False,0.0,10:15:58
51000.0,100,-300.0,0.0,SD,7300.0,4200.0,False,0.0,10:15:05
51000.0,2000,-300.0,0.0,SD,7300.0,4100.0,False,0.0,10:15:05
51000.0,200,-300.0,0.0,SD,7300.0,2100.0,False,0.0,10:15:05
51000.0,100,-300.0,0.0,SD,7300.0,1900.0,False,0.0,10:11:05
51000.0,100,-300.0,0.0,SD,7300.0,1800.0,False,0.0,10:11:05
51000.0,100,-300.0,0.0,SD,7300.0,1700.0,False,-100.0,10:10:33
51100.0,100,-200.0,0.0,SD,7300.0,1600.0,False,0.0,10:10:33
51100.0,100,-200.0,0.0,SD,7300.0,1500.0,False,-100.0,10:09:19
51200.0,500,-100.0,0.0,SD,7300.0,1400.0,False,0.0,10:08:44
51200.0,200,-100.0,0.0,SD,7300.0,900.0,False,-100.0,10:08:44
51300.0,300,0.0,0.0,SD,7300.0,700.0,False,0.0,10:08:08
51300.0,200,0.0,0.0,SD,7300.0,400.0,False,0.0,10:02:02
51300.0,1700,0.0,0.0,BU,7300.0,200.0,False,0.0,09:58:49
51300.0,1000,0.0,0.0,BU,5600.0,200.0,False,200.0,09:57:29
51100.0,100,-200.0,0.0,SD,4600.0,200.0,False,-200.0,09:56:47
51300.0,100,0.0,0.0,SD,4600.0,100.0,False,0.0,09:56:21
51300.0,500,0.0,0.0,BU,4600.0,0.0,False,-100.0,09:56:02
