p,v,cp,rcp,a,ba,sa,hl,pcp,t
17500.0,152800,50.0,0.0,,3197800.0,3443900.0,False,50.0,14:45:00
17450.0,200,0.0,0.0,SD,3197800.0,3443900.0,False,0.0,14:29:59
17450.0,500,0.0,0.0,SD,3197800.0,3443700.0,False,0.0,14:29:59
17450.0,300,0.0,0.0,BU,3197800.0,3443200.0,False,0.0,14:29:48
17450.0,2000,0.0,0.0,BU,3197500.0,3443200.0,False,0.0,14:29:48
17450.0,600,0.0,0.0,BU,3195500.0,3443200.0,False,0.0,14:29:48
17450.0,1400,0.0,0.0,BU,3194900.0,3443200.0,False,0.0,14:29:26
17450.0,500,0.0,0.0,BU,3193500.0,3443200.0,False,0.0,14:29:26
17450.0,100,0.0,0.0,BU,3193000.0,3443200.0,False,0.0,14:29:26
17450.0,3000,0.0,0.0,BU,3192900.0,3443200.0,False,50.0,14:29:26
17400.0,13000,-50.0,0.0,BU,3189900.0,3443200.0,True,0.0,14:29:11
17400.0,200,-50.0,0.0,BU,3176900.0,3443200.0,False,0.0,14:29:11
17400.0,3400,-50.0,0.0,BU,3176700.0,3443200.0,False,0.0,14:29:02
17400.0,500,-50.0,0.0,SD,3173300.0,3443200.0,False,-50.0,14:28:56
17450.0,5900,0.0,0.0,BU,3173300.0,3442700.0,False,0.0,14:27:55
17450.0,600,0.0,0.0,SD,3167400.0,3442700.0,False,0.0,14:27:37
17450.0,200,0.0,0.0,SD,3167400.0,3442100.0,False,0.0,14:27:15
17450.0,1000,0.0,0.0,SD,3167400.0,3441900.0,False,0.0,14:27:12
17450.0,1500,0.0,0.0,SD,3167400.0,3440900.0,False,-50.0,14:27:01
17500.0,25100,50.0,0.0,BU,3167400.0,3439400.0,True,0.0,14:26:55
17500.0,600,50.0,0.0,BU,3142300.0,3439400.0,False,0.0,14:26:55
17500.0,100,50.0,0.0,BU,3141700.0,3439400.0,False,50.0,14:26:55
17450.0,500,0.0,0.0,SD,3141600.0,3439400.0,False,0.0,14:26:29
17450.0,300,0.0,0.0,SD,3141600.0,3438900.0,False,-50.0,14:26:21
17500.0,300,50.0,0.0,BU,3141600.0,3438600.0,False,0.0,14:26:20
17500.0,200,50.0,0.0,BU,3141300.0,3438600.0,False,0.0,14:26:20
17500.0,100,50.0,0.0,BU,3141100.0,3438600.0,False,0.0,14:26:20
17500.0,800,50.0,0.0,BU,3141000.0,3438600.0,False,0.0,14:26:20
17500.0,600,50.0,0.0,BU,3140200.0,3438600.0,False,0.0,14:26:20
17500.0,100,50.0,0.0,BU,3139600.0,3438600.0,False,0.0,14:26:01
17500.0,3500,50.0,0.0,BU,3139500.0,3438600.0,False,0.0,14:26:01
17500.0,100,50.0,0.0,BU,3136000.0,3438600.0,False,0.0,14:26:01
17500.0,800,50.0,0.0,BU,3135900.0,3438600.0,False,0.0,14:26:01
17500.0,100,50.0,0.0,BU,3135100.0,3438600.0,False,0.0,14:26:01
17500.0,1000,50.0,0.0,BU,3135000.0,3438600.0,False,50.0,14:26:01
17450.0,200,0.0,0.0,SD,3134000.0,3438600.0,False,0.0,14:25:37
17450.0,1000,0.0,0.0,BU,3134000.0,3438400.0,False,0.0,14:25:34
17450.0,5500,0.0,0.0,BU,3133000.0,3438400.0,False,0.0,14:25:34
17450.0,500,0.0,0.0,BU,3127500.0,3438400.0,False,0.0,14:25:26
17450.0,100,0.0,0.0,BU,3127000.0,3438400.0,False,0.0,14:25:26
17450.0,700,0.0,0.0,BU,3126900.0,3438400.0,False,0.0,14:25:26
17450.0,2000,0.0,0.0,BU,3126200.0,3438400.0,False,0.0,14:25:26
17450.0,500,0.0,0.0,BU,3124200.0,3438400.0,False,0.0,14:25:26
17450.0,1000,0.0,0.0,BU,3123700.0,3438400.0,False,0.0,14:25:26
