p,v,cp,rcp,a,ba,sa,hl,pcp,t
16000.0,114500,-350.0,0.0,,757600.0,1613000.0,False,-50.0,14:45:01
16050.0,100,-300.0,0.0,SD,757600.0,1613000.0,False,0.0,14:29:51
16050.0,5000,-300.0,0.0,SD,757600.0,1612900.0,False,0.0,14:29:51
16050.0,600,-300.0,0.0,SD,757600.0,1607900.0,False,0.0,14:29:51
16050.0,300,-300.0,0.0,SD,757600.0,1607300.0,False,0.0,14:29:41
16050.0,2100,-300.0,0.0,SD,757600.0,1607000.0,False,0.0,14:29:41
16050.0,600,-300.0,0.0,BU,757600.0,1604900.0,False,50.0,14:29:25
16000.0,2000,-350.0,0.0,SD,757000.0,1604900.0,False,-50.0,14:29:00
16050.0,200,-300.0,0.0,BU,757000.0,1602900.0,False,50.0,14:28:48
16000.0,1800,-350.0,0.0,SD,756800.0,1602900.0,False,0.0,14:28:46
16000.0,5000,-350.0,0.0,SD,756800.0,1601100.0,False,-50.0,14:28:23
16050.0,6600,-300.0,0.0,BU,756800.0,1596100.0,False,0.0,14:28:19
16050.0,5000,-300.0,0.0,BU,750200.0,1596100.0,False,0.0,14:28:19
16050.0,8400,-300.0,0.0,BU,745200.0,1596100.0,False,50.0,14:28:19
16000.0,100,-350.0,0.0,SD,736800.0,1596100.0,False,0.0,14:28:00
16000.0,900,-350.0,0.0,SD,736800.0,1596000.0,False,0.0,14:27:42
16000.0,100,-350.0,0.0,SD,736800.0,1595100.0,False,0.0,14:27:42
16000.0,400,-350.0,0.0,SD,736800.0,1595000.0,False,-50.0,14:27:19
16050.0,7600,-300.0,0.0,SD,736800.0,1594600.0,False,0.0,14:27:00
16050.0,100,-300.0,0.0,SD,736800.0,1587000.0,False,0.0,14:26:58
16050.0,100,-300.0,0.0,SD,736800.0,1586900.0,False,0.0,14:26:54
16050.0,2200,-300.0,0.0,BU,736800.0,1586800.0,False,0.0,14:26:54
16050.0,2800,-300.0,0.0,BU,734600.0,1586800.0,False,0.0,14:26:25
16050.0,5000,-300.0,0.0,BU,731800.0,1586800.0,False,0.0,14:26:25
16050.0,2000,-300.0,0.0,BU,726800.0,1586800.0,False,0.0,14:26:25
16050.0,200,-300.0,0.0,BU,724800.0,1586800.0,False,50.0,14:26:25
16000.0,500,-350.0,0.0,SD,724600.0,1586800.0,False,0.0,14:26:10
16000.0,4400,-350.0,0.0,SD,724600.0,1586300.0,False,0.0,14:25:48
16000.0,600,-350.0,0.0,SD,724600.0,1581900.0,False,0.0,14:25:48
16000.0,400,-350.0,0.0,BU,724600.0,1581300.0,False,0.0,14:25:42
16000.0,900,-350.0,0.0,SD,724200.0,1581300.0,False,0.0,14:25:19
16000.0,100,-350.0,0.0,SD,724200.0,1580400.0,False,0.0,14:25:11
16000.0,500,-350.0,0.0,SD,724200.0,1580300.0,False,0.0,14:25:11
16000.0,1000,-350.0,0.0,SD,724200.0,1579800.0,False,0.0,14:25:11
16000.0,400,-350.0,0.0,SD,724200.0,1578800.0,False,0.0,14:25:11
16000.0,5500,-350.0,0.0,SD,724200.0,1578400.0,False,0.0,14:25:03
16000.0,3000,-350.0,0.0,SD,724200.0,1572900.0,False,0.0,14:25:02
16000.0,1100,-350.0,0.0,BU,724200.0,1569900.0,False,0.0,14:24:51
16000.0,500,-350.0,0.0,SD,723100.0,1569900.0,False,0.0,14:24:46
16000.0,1000,-350.0,0.0,SD,723100.0,1569400.0,False,0.0,14:24:46
16000.0,1000,-350.0,0.0,SD,723100.0,1568400.0,False,0.0,14:24:46
16000.0,1000,-350.0,0.0,SD,723100.0,1567400.0,False,0.0,14:24:46
16000.0,1000,-350.0,0.0,SD,723100.0,1566400.0,False,0.0,14:24:46
16000.0,100,-350.0,0.0,SD,723100.0,1565400.0,False,0.0,14:24:46
16000.0,2600,-350.0,0.0,SD,723100.0,1565300.0,False,-50.0,14:24:46
16050.0,300,-300.0,0.0,BU,723100.0,1562700.0,False,50.0,14:24:43
16000.0,3000,-350.0,0.0,SD,722800.0,1562700.0,False,0.0,14:24:11
16000.0,1000,-350.0,0.0,SD,722800.0,1559700.0,False,0.0,14:24:04
16000.0,3400,-350.0,0.0,SD,722800.0,1558700.0,False,0.0,14:24:02
16000.0,100,-350.0,0.0,SD,722800.0,1555300.0,False,0.0,14:24:02
16000.0,500,-350.0,0.0,SD,722800.0,1555200.0,False,0.0,14:24:02
16000.0,3000,-350.0,0.0,SD,722800.0,1554700.0,False,0.0,14:24:02
16000.0,100,-350.0,0.0,SD,722800.0,1551700.0,False,0.0,14:24:02
16000.0,100,-350.0,0.0,SD,722800.0,1551600.0,False,0.0,14:24:02
16000.0,1000,-350.0,0.0,SD,722800.0,1551500.0,False,0.0,14:23:48
16000.0,900,-350.0,0.0,SD,722800.0,1550500.0,False,0.0,14:23:46
16000.0,100,-350.0,0.0,SD,722800.0,1549600.0,False,0.0,14:23:46
16000.0,1000,-350.0,0.0,SD,722800.0,1549500.0,False,0.0,14:23:46
