p,v,cp,rcp,a,ba,sa,hl,pcp,t
4880.0,22800,-240.0,0.0,,215900.0,192800.0,False,-70.0,14:45:00
4950.0,200,-170.0,0.0,SD,215900.0,192800.0,False,0.0,14:28:37
4950.0,300,-170.0,0.0,SD,215900.0,192600.0,False,-30.0,14:28:37
4980.0,100,-140.0,0.0,SD,215900.0,192300.0,False,-20.0,14:26:24
5000.0,5000,-120.0,0.0,BU,215900.0,192200.0,False,0.0,14:23:41
5000.0,1800,-120.0,0.0,BU,210900.0,192200.0,False,0.0,14:23:14
5000.0,700,-120.0,0.0,BU,209100.0,192200.0,False,0.0,14:22:57
5000.0,1300,-120.0,0.0,BU,208400.0,192200.0,False,0.0,14:22:57
5000.0,700,-120.0,0.0,BU,207100.0,192200.0,False,10.0,14:21:26
4990.0,2700,-130.0,0.0,BU,206400.0,192200.0,False,0.0,14:21:26
4990.0,600,-130.0,0.0,BU,203700.0,192200.0,False,10.0,14:21:26
4980.0,1900,-140.0,0.0,BU,203100.0,192200.0,False,0.0,14:21:26
4980.0,1300,-140.0,0.0,BU,201200.0,192200.0,False,10.0,14:21:26
4970.0,100,-150.0,0.0,BU,199900.0,192200.0,False,0.0,14:21:26
4970.0,2000,-150.0,0.0,BU,199800.0,192200.0,False,20.0,14:21:26
4950.0,700,-170.0,0.0,BU,197800.0,192200.0,False,0.0,14:21:26
4950.0,1000,-170.0,0.0,BU,197100.0,192200.0,False,0.0,14:19:54
4950.0,1000,-170.0,0.0,BU,196100.0,192200.0,False,0.0,14:18:50
4950.0,1000,-170.0,0.0,BU,195100.0,192200.0,False,20.0,14:18:28
4930.0,3200,-190.0,0.0,BU,194100.0,192200.0,False,0.0,14:17:09
4930.0,200,-190.0,0.0,BU,190900.0,192200.0,False,-20.0,14:16:44
4950.0,5000,-170.0,0.0,BU,190700.0,192200.0,False,0.0,14:14:17
4950.0,1000,-170.0,0.0,BU,185700.0,192200.0,False,-20.0,14:14:17
4970.0,300,-150.0,0.0,BU,184700.0,192200.0,False,-10.0,14:14:17
4980.0,100,-140.0,0.0,BU,184400.0,192200.0,False,0.0,14:14:01
4980.0,1000,-140.0,0.0,BU,184300.0,192200.0,False,10.0,14:13:52
4970.0,200,-150.0,0.0,SD,183300.0,192200.0,False,50.0,14:13:46
4920.0,100,-200.0,0.0,SD,183300.0,192000.0,False,0.0,14:12:43
4920.0,1900,-200.0,0.0,SD,183300.0,191900.0,False,-10.0,14:12:43
4930.0,1000,-190.0,0.0,BU,183300.0,190000.0,False,-50.0,14:12:43
4980.0,2000,-140.0,0.0,SD,182300.0,190000.0,False,-10.0,14:12:04
4990.0,100,-130.0,0.0,BU,182300.0,188000.0,False,0.0,14:11:53
4990.0,1000,-130.0,0.0,SD,182200.0,188000.0,False,40.0,14:10:22
4950.0,1900,-170.0,0.0,BU,182200.0,187000.0,False,-40.0,14:09:45
4990.0,1000,-130.0,0.0,BU,180300.0,187000.0,False,10.0,14:09:45
4980.0,1800,-140.0,0.0,BU,179300.0,187000.0,False,30.0,14:09:45
4950.0,100,-170.0,0.0,BU,177500.0,187000.0,False,0.0,14:09:45
4950.0,300,-170.0,0.0,BU,177400.0,187000.0,False,0.0,14:09:45
4950.0,100,-170.0,0.0,BU,177100.0,187000.0,False,50.0,14:09:02
4900.0,100,-220.0,0.0,BU,177000.0,187000.0,False,0.0,14:05:31
4900.0,1000,-220.0,0.0,BU,176900.0,187000.0,False,0.0,14:05:30
4900.0,100,-220.0,0.0,BU,175900.0,187000.0,False,0.0,14:05:24
4900.0,3000,-220.0,0.0,BU,175800.0,187000.0,False,0.0,14:05:23
4900.0,1000,-220.0,0.0,BU,172800.0,187000.0,False,0.0,14:05:20
4900.0,2000,-220.0,0.0,BU,171800.0,187000.0,False,0.0,14:05:12
4900.0,6500,-220.0,0.0,BU,169800.0,187000.0,False,0.0,14:05:09
4900.0,500,-220.0,0.0,BU,163300.0,187000.0,False,0.0,14:05:08
4900.0,1000,-220.0,0.0,BU,162800.0,187000.0,False,0.0,14:05:06
4900.0,800,-220.0,0.0,BU,161800.0,187000.0,False,0.0,14:04:56
4900.0,1000,-220.0,0.0,BU,161000.0,187000.0,False,0.0,14:04:39
4900.0,5000,-220.0,0.0,BU,160000.0,187000.0,False,0.0,14:04:38
4900.0,200,-220.0,0.0,BU,155000.0,187000.0,False,0.0,14:04:29
4900.0,1000,-220.0,0.0,BU,154800.0,187000.0,False,0.0,14:04:22
4900.0,400,-220.0,0.0,BU,153800.0,187000.0,False,0.0,14:04:01
4900.0,1100,-220.0,0.0,BU,153400.0,187000.0,False,0.0,14:04:00
4900.0,5000,-220.0,0.0,BU,152300.0,187000.0,False,0.0,14:03:53
4900.0,200,-220.0,0.0,BU,147300.0,187000.0,False,0.0,14:03:36
4900.0,500,-220.0,0.0,BU,147100.0,187000.0,False,0.0,14:03:21
4900.0,5000,-220.0,0.0,BU,146600.0,187000.0,False,0.0,14:03:12
4900.0,500,-220.0,0.0,BU,141600.0,187000.0,False,0.0,14:03:11
4900.0,5000,-220.0,0.0,BU,141100.0,187000.0,False,0.0,14:03:07
4900.0,2000,-220.0,0.0,BU,136100.0,187000.0,False,0.0,14:03:06
4900.0,15000,-220.0,0.0,BU,134100.0,187000.0,False,0.0,14:02:43
