p,v,cp,rcp,a,ba,sa,hl,pcp,t
8390.0,251300,-290.0,0.0,,1810800.0,4183800.0,False,-10.0,14:45:01
8400.0,200,-280.0,0.0,SD,1810800.0,4183800.0,False,0.0,14:29:59
8400.0,200,-280.0,0.0,SD,1810800.0,4183600.0,False,0.0,14:29:58
8400.0,300,-280.0,0.0,SD,1810800.0,4183400.0,False,0.0,14:29:58
8400.0,200,-280.0,0.0,BU,1810800.0,4183100.0,False,10.0,14:29:49
8390.0,200,-290.0,0.0,SD,1810600.0,4183100.0,False,0.0,14:29:46
8390.0,1000,-290.0,0.0,SD,1810600.0,4182900.0,False,0.0,14:29:46
8390.0,100,-290.0,0.0,SD,1810600.0,4181900.0,False,0.0,14:29:46
8390.0,500,-290.0,0.0,SD,1810600.0,4181800.0,False,0.0,14:29:46
8390.0,100,-290.0,0.0,SD,1810600.0,4181300.0,False,0.0,14:29:46
8390.0,100,-290.0,0.0,SD,1810600.0,4181200.0,False,-10.0,14:29:46
8400.0,100,-280.0,0.0,BU,1810600.0,4181100.0,False,0.0,14:29:28
8400.0,100,-280.0,0.0,BU,1810500.0,4181100.0,False,0.0,14:29:26
8400.0,500,-280.0,0.0,BU,1810400.0,4181100.0,False,0.0,14:29:23
8400.0,1000,-280.0,0.0,BU,1809900.0,4181100.0,False,0.0,14:29:22
8400.0,100,-280.0,0.0,BU,1808900.0,4181100.0,False,10.0,14:29:21
8390.0,4900,-290.0,0.0,SD,1808800.0,4181100.0,False,0.0,14:29:19
8390.0,100,-290.0,0.0,SD,1808800.0,4176200.0,False,-10.0,14:29:19
8400.0,3000,-280.0,0.0,BU,1808800.0,4176100.0,False,10.0,14:29:07
8390.0,300,-290.0,0.0,SD,1805800.0,4176100.0,False,0.0,14:29:04
8390.0,600,-290.0,0.0,SD,1805800.0,4175800.0,False,0.0,14:29:04
8390.0,300,-290.0,0.0,SD,1805800.0,4175200.0,False,0.0,14:29:02
8390.0,1100,-290.0,0.0,SD,1805800.0,4174900.0,False,0.0,14:28:57
8390.0,100,-290.0,0.0,SD,1805800.0,4173800.0,False,0.0,14:28:57
8390.0,100,-290.0,0.0,SD,1805800.0,4173700.0,False,-10.0,14:28:57
8400.0,2900,-280.0,0.0,SD,1805800.0,4173600.0,False,0.0,14:28:57
8400.0,800,-280.0,0.0,SD,1805800.0,4170700.0,False,0.0,14:28:57
8400.0,200,-280.0,0.0,BU,1805800.0,4169900.0,False,0.0,14:28:54
8400.0,1000,-280.0,0.0,BU,1805600.0,4169900.0,False,0.0,14:28:53
8400.0,1100,-280.0,0.0,BU,1804600.0,4169900.0,False,0.0,14:28:46
8400.0,900,-280.0,0.0,BU,1803500.0,4169900.0,False,0.0,14:28:46
8400.0,1100,-280.0,0.0,BU,1802600.0,4169900.0,False,0.0,14:28:44
8400.0,300,-280.0,0.0,BU,1801500.0,4169900.0,False,0.0,14:28:44
8400.0,1200,-280.0,0.0,BU,1801200.0,4169900.0,False,0.0,14:28:44
8400.0,1000,-280.0,0.0,BU,1800000.0,4169900.0,False,0.0,14:28:41
8400.0,100,-280.0,0.0,BU,1799000.0,4169900.0,False,10.0,14:28:41
8390.0,100,-290.0,0.0,SD,1798900.0,4169900.0,False,0.0,14:28:38
8390.0,100,-290.0,0.0,SD,1798900.0,4169800.0,False,0.0,14:28:29
8390.0,100,-290.0,0.0,SD,1798900.0,4169700.0,False,0.0,14:28:29
8390.0,1000,-290.0,0.0,SD,1798900.0,4169600.0,False,0.0,14:28:29
8390.0,4000,-290.0,0.0,SD,1798900.0,4168600.0,False,0.0,14:28:29
8390.0,100,-290.0,0.0,SD,1798900.0,4164600.0,False,0.0,14:28:29
8390.0,2000,-290.0,0.0,SD,1798900.0,4164500.0,False,0.0,14:28:29
8390.0,7800,-290.0,0.0,SD,1798900.0,4162500.0,False,-10.0,14:28:29
8400.0,1000,-280.0,0.0,BU,1798900.0,4154700.0,False,0.0,14:28:26
8400.0,200,-280.0,0.0,BU,1797900.0,4154700.0,False,0.0,14:28:22
8400.0,500,-280.0,0.0,BU,1797700.0,4154700.0,False,0.0,14:28:16
8400.0,200,-280.0,0.0,BU,1797200.0,4154700.0,False,0.0,14:28:16
8400.0,900,-280.0,0.0,BU,1797000.0,4154700.0,False,0.0,14:28:16
8400.0,700,-280.0,0.0,BU,1796100.0,4154700.0,False,10.0,14:28:16
8390.0,1000,-290.0,0.0,SD,1795400.0,4154700.0,False,-10.0,14:28:16
8400.0,300,-280.0,0.0,BU,1795400.0,4153700.0,False,0.0,14:28:09
8400.0,200,-280.0,0.0,BU,1795100.0,4153700.0,False,0.0,14:28:09
8400.0,200,-280.0,0.0,BU,1794900.0,4153700.0,False,0.0,14:28:08
8400.0,9600,-280.0,0.0,SD,1794700.0,4153700.0,False,0.0,14:27:59
8400.0,400,-280.0,0.0,SD,1794700.0,4144100.0,False,0.0,14:27:58
