p,v,cp,rcp,a,ba,sa,hl,pcp,t
19700.0,100,-200.0,0.0,BU,44600.0,68600.0,False,0.0,14:59:09
19700.0,100,-200.0,0.0,BU,44500.0,68600.0,False,100.0,14:56:11
19600.0,100,-300.0,0.0,SD,44400.0,68600.0,False,0.0,14:55:47
19600.0,200,-300.0,0.0,BU,44400.0,68500.0,False,0.0,14:55:31
19600.0,1200,-300.0,0.0,BU,44200.0,68500.0,False,0.0,14:54:47
19600.0,300,-300.0,0.0,BU,43000.0,68500.0,False,0.0,14:49:39
19600.0,800,-300.0,0.0,BU,42700.0,68500.0,False,0.0,14:49:04
19600.0,300,-300.0,0.0,BU,41900.0,68500.0,False,0.0,14:36:20
19600.0,2000,-300.0,0.0,BU,41600.0,68500.0,False,0.0,14:34:25
19600.0,3300,-300.0,0.0,BU,39600.0,68500.0,False,-100.0,14:33:37
19700.0,200,-200.0,0.0,BU,36300.0,68500.0,False,0.0,14:31:59
19700.0,200,-200.0,0.0,BU,36100.0,68500.0,False,0.0,14:29:57
19700.0,200,-200.0,0.0,BU,35900.0,68500.0,False,0.0,14:28:28
19700.0,300,-200.0,0.0,BU,35700.0,68500.0,False,100.0,14:24:59
19600.0,4100,-300.0,0.0,SD,35400.0,68500.0,False,-100.0,14:24:52
19700.0,200,-200.0,0.0,BU,35400.0,64400.0,False,0.0,14:18:28
19700.0,1700,-200.0,0.0,BU,35200.0,64400.0,False,0.0,14:14:14
19700.0,100,-200.0,0.0,SD,33500.0,64400.0,False,0.0,14:13:01
19700.0,100,-200.0,0.0,BU,33500.0,64300.0,False,0.0,14:07:36
19700.0,200,-200.0,0.0,BU,33400.0,64300.0,False,0.0,14:07:12
19700.0,400,-200.0,0.0,BU,33200.0,64300.0,False,0.0,14:07:03
19700.0,300,-200.0,0.0,BU,32800.0,64300.0,False,0.0,14:06:40
19700.0,200,-200.0,0.0,BU,32500.0,64300.0,False,0.0,14:05:56
19700.0,200,-200.0,0.0,BU,32300.0,64300.0,False,0.0,14:04:49
19700.0,100,-200.0,0.0,BU,32100.0,64300.0,False,0.0,14:04:35
19700.0,1400,-200.0,0.0,BU,32000.0,64300.0,False,0.0,14:04:00
19700.0,2500,-200.0,0.0,BU,30600.0,64300.0,False,200.0,14:00:14
19500.0,10000,-400.0,0.0,SD,28100.0,64300.0,False,-100.0,13:48:08
