p,v,cp,rcp,a,ba,sa,hl,pcp,t
15300.0,11000,-200.0,0.0,,3500.0,25800.0,False,300.0,14:45:00
15000.0,400,-500.0,0.0,SD,3500.0,25800.0,False,0.0,14:29:55
15000.0,500,-500.0,0.0,SD,3500.0,25400.0,False,50.0,14:25:22
14950.0,200,-550.0,0.0,SD,3500.0,24900.0,False,150.0,14:11:41
14800.0,1600,-700.0,0.0,SD,3500.0,24700.0,False,100.0,13:42:28
14700.0,1100,-800.0,-0.1,BU,3500.0,23100.0,False,0.0,13:36:01
14700.0,2000,-800.0,-0.1,SD,2400.0,23100.0,False,-100.0,13:35:44
14800.0,500,-700.0,0.0,SD,2400.0,21100.0,False,0.0,13:35:44
14800.0,300,-700.0,0.0,SD,2400.0,20600.0,False,0.0,13:35:44
14800.0,200,-700.0,0.0,SD,2400.0,20300.0,False,-100.0,13:35:44
14900.0,500,-600.0,0.0,SD,2400.0,20100.0,False,0.0,13:35:44
14900.0,100,-600.0,0.0,SD,2400.0,19600.0,False,0.0,13:35:44
14900.0,300,-600.0,0.0,SD,2400.0,19500.0,False,0.0,13:35:44
14900.0,800,-600.0,0.0,SD,2400.0,19200.0,False,0.0,13:27:56
14900.0,1000,-600.0,0.0,SD,2400.0,18400.0,False,0.0,13:27:36
14900.0,400,-600.0,0.0,SD,2400.0,17400.0,False,0.0,13:27:36
14900.0,500,-600.0,0.0,SD,2400.0,17000.0,False,0.0,13:27:36
14900.0,200,-600.0,0.0,SD,2400.0,16500.0,False,0.0,13:27:36
14900.0,500,-600.0,0.0,SD,2400.0,16300.0,False,0.0,13:27:36
14900.0,100,-600.0,0.0,SD,2400.0,15800.0,False,0.0,13:27:36
14900.0,1000,-600.0,0.0,SD,2400.0,15700.0,False,0.0,13:27:36
14900.0,1000,-600.0,0.0,SD,2400.0,14700.0,False,0.0,13:27:36
14900.0,1000,-600.0,0.0,SD,2400.0,13700.0,False,-50.0,13:27:36
14950.0,100,-550.0,0.0,BU,2400.0,12700.0,False,0.0,13:27:36
14950.0,100,-550.0,0.0,BU,2300.0,12700.0,False,0.0,13:27:36
14950.0,100,-550.0,0.0,BU,2200.0,12700.0,False,0.0,13:27:36
14950.0,600,-550.0,0.0,BU,2100.0,12700.0,False,0.0,13:27:36
14950.0,200,-550.0,0.0,BU,1500.0,12700.0,False,0.0,13:27:36
14950.0,1000,-550.0,0.0,BU,1300.0,12700.0,False,0.0,13:27:36
14950.0,200,-550.0,0.0,BU,300.0,12700.0,False,0.0,13:27:36
14950.0,100,-550.0,0.0,SD,100.0,12700.0,False,0.0,10:52:06
14950.0,300,-550.0,0.0,SD,100.0,12600.0,False,-50.0,10:52:06
15000.0,100,-500.0,0.0,SD,100.0,12300.0,False,0.0,10:52:06
15000.0,100,-500.0,0.0,SD,100.0,12200.0,False,0.0,10:52:06
15000.0,900,-500.0,0.0,SD,100.0,12100.0,False,0.0,10:35:52
15000.0,500,-500.0,0.0,SD,100.0,11200.0,False,0.0,10:35:52
15000.0,1100,-500.0,0.0,SD,100.0,10700.0,False,0.0,10:35:52
15000.0,3900,-500.0,0.0,SD,100.0,9600.0,False,-100.0,10:26:05
15100.0,100,-400.0,0.0,SD,100.0,5700.0,False,100.0,10:26:05
15000.0,100,-500.0,0.0,SD,100.0,5600.0,False,0.0,10:11:28
15000.0,800,-500.0,0.0,SD,100.0,5500.0,False,0.0,10:08:42
15000.0,600,-500.0,0.0,SD,100.0,4700.0,False,0.0,10:08:42
15000.0,1000,-500.0,0.0,SD,100.0,4100.0,False,-50.0,10:08:42
15050.0,500,-450.0,0.0,SD,100.0,3100.0,False,0.0,10:08:27
15050.0,100,-450.0,0.0,SD,100.0,2600.0,False,0.0,10:08:27
15050.0,100,-450.0,0.0,SD,100.0,2500.0,False,150.0,09:53:56
14900.0,200,-600.0,0.0,SD,100.0,2400.0,False,0.0,09:36:20
14900.0,400,-600.0,0.0,SD,100.0,2200.0,False,-150.0,09:36:20
15050.0,600,-450.0,0.0,SD,100.0,1800.0,False,150.0,09:36:20
14900.0,200,-600.0,0.0,SD,100.0,1200.0,False,-100.0,09:36:20
15000.0,1000,-500.0,0.0,SD,100.0,1000.0,False,-500.0,09:36:20
15500.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,09:33:19
