p,v,cp,rcp,a,ba,sa,hl,pcp,t
20500.0,186400,-700.0,0.0,,1244100.0,1598300.0,False,0.0,14:45:01
20500.0,8800,-700.0,0.0,BU,1244100.0,1598300.0,False,0.0,14:29:37
20500.0,300,-700.0,0.0,BU,1235300.0,1598300.0,False,0.0,14:29:36
20500.0,5000,-700.0,0.0,BU,1235000.0,1598300.0,False,0.0,14:29:34
20500.0,500,-700.0,0.0,BU,1230000.0,1598300.0,False,0.0,14:29:24
20500.0,2000,-700.0,0.0,BU,1229500.0,1598300.0,False,0.0,14:29:18
20500.0,100,-700.0,0.0,BU,1227500.0,1598300.0,False,0.0,14:29:00
20500.0,3000,-700.0,0.0,BU,1227400.0,1598300.0,False,0.0,14:28:53
20500.0,100,-700.0,0.0,BU,1224400.0,1598300.0,False,0.0,14:28:48
20500.0,1600,-700.0,0.0,BU,1224300.0,1598300.0,False,0.0,14:28:47
20500.0,1100,-700.0,0.0,BU,1222700.0,1598300.0,False,0.0,14:28:40
20500.0,100,-700.0,0.0,BU,1221600.0,1598300.0,False,0.0,14:28:20
20500.0,300,-700.0,0.0,BU,1221500.0,1598300.0,False,0.0,14:28:19
20500.0,1000,-700.0,0.0,BU,1221200.0,1598300.0,False,100.0,14:28:07
20400.0,600,-800.0,0.0,SD,1220200.0,1598300.0,False,0.0,14:27:48
20400.0,200,-800.0,0.0,SD,1220200.0,1597700.0,False,0.0,14:27:30
20400.0,10000,-800.0,0.0,SD,1220200.0,1597500.0,True,-100.0,14:26:45
20500.0,500,-700.0,0.0,BU,1220200.0,1587500.0,False,100.0,14:26:43
20400.0,10000,-800.0,0.0,SD,1219700.0,1587500.0,True,0.0,14:26:33
20400.0,1000,-800.0,0.0,SD,1219700.0,1577500.0,False,0.0,14:26:12
20400.0,800,-800.0,0.0,SD,1219700.0,1576500.0,False,-100.0,14:25:49
20500.0,1000,-700.0,0.0,BU,1219700.0,1575700.0,False,0.0,14:25:28
20500.0,200,-700.0,0.0,BU,1218700.0,1575700.0,False,0.0,14:25:20
20500.0,10800,-700.0,0.0,SD,1218500.0,1575700.0,True,0.0,14:25:11
20500.0,10000,-700.0,0.0,SD,1218500.0,1564900.0,True,0.0,14:25:10
20500.0,1000,-700.0,0.0,SD,1218500.0,1554900.0,False,0.0,14:25:00
20500.0,1700,-700.0,0.0,SD,1218500.0,1553900.0,False,0.0,14:24:58
20500.0,2000,-700.0,0.0,SD,1218500.0,1552200.0,False,-100.0,14:24:57
20600.0,100,-600.0,0.0,BU,1218500.0,1550200.0,False,100.0,14:24:56
20500.0,1000,-700.0,0.0,SD,1218400.0,1550200.0,False,0.0,14:24:53
20500.0,400,-700.0,0.0,SD,1218400.0,1549200.0,False,0.0,14:24:46
20500.0,2000,-700.0,0.0,SD,1218400.0,1548800.0,False,-100.0,14:24:26
20600.0,1000,-600.0,0.0,BU,1218400.0,1546800.0,False,100.0,14:24:20
20500.0,5800,-700.0,0.0,SD,1217400.0,1546800.0,False,0.0,14:24:18
20500.0,200,-700.0,0.0,SD,1217400.0,1541000.0,False,0.0,14:24:15
20500.0,100,-700.0,0.0,SD,1217400.0,1540800.0,False,-100.0,14:24:07
20600.0,1600,-600.0,0.0,BU,1217400.0,1540700.0,False,0.0,14:23:19
20600.0,200,-600.0,0.0,BU,1215800.0,1540700.0,False,0.0,14:23:16
20600.0,2000,-600.0,0.0,BU,1215600.0,1540700.0,False,100.0,14:23:09
20500.0,4000,-700.0,0.0,SD,1213600.0,1540700.0,False,-100.0,14:22:44
20600.0,1000,-600.0,0.0,BU,1213600.0,1536700.0,False,0.0,14:22:36
20600.0,100,-600.0,0.0,BU,1212600.0,1536700.0,False,0.0,14:22:19
20600.0,6100,-600.0,0.0,BU,1212500.0,1536700.0,False,0.0,14:21:56
20600.0,300,-600.0,0.0,BU,1206400.0,1536700.0,False,0.0,14:20:47
20600.0,200,-600.0,0.0,BU,1206100.0,1536700.0,False,0.0,14:20:44
20600.0,2500,-600.0,0.0,SD,1205900.0,1536700.0,False,0.0,14:20:41
20600.0,2400,-600.0,0.0,SD,1205900.0,1534200.0,False,0.0,14:20:36
20600.0,10000,-600.0,0.0,SD,1205900.0,1531800.0,True,0.0,14:20:31
20600.0,1500,-600.0,0.0,SD,1205900.0,1521800.0,False,0.0,14:19:50
20600.0,3000,-600.0,0.0,SD,1205900.0,1520300.0,False,0.0,14:19:37
20600.0,2000,-600.0,0.0,SD,1205900.0,1517300.0,False,0.0,14:19:27
20600.0,1500,-600.0,0.0,SD,1205900.0,1515300.0,False,0.0,14:19:11
20600.0,500,-600.0,0.0,SD,1205900.0,1513800.0,False,0.0,14:19:08
20600.0,3000,-600.0,0.0,SD,1205900.0,1513300.0,False,0.0,14:18:51
20600.0,6800,-600.0,0.0,SD,1205900.0,1510300.0,False,0.0,14:18:47
20600.0,9200,-600.0,0.0,BU,1205900.0,1503500.0,False,0.0,14:18:44
20600.0,300,-600.0,0.0,BU,1196700.0,1503500.0,False,0.0,14:18:42
